,ENSEBUT00000009428_ENSEBUG00000005756,ENSPVIT00000041072_ENSPVIG00000024543,ENSACAT00000009790_ENSACAG00000009772,ENSNSUT00000014645_ENSNSUG00000010213,ENSSMRT00000021605_ENSSMRG00000014344,ENSCPGT00000013773_ENSCPGG00000008922,ENSCPUT00000027619_ENSCPUG00000015900,ENSMUNT00000002885_ENSMUNG00000002159,ENSMUNT00000002886_ENSMUNG00000002159,ENSZALT00000010655_ENSZALG00000006619,ENSJHYT00000028548_ENSJHYG00000017804,ENSSCAT00000017018_ENSSCAG00000011098
ENSEBUT00000009428_ENSEBUG00000005756,1.0,0.42,0.42,0.41,0.41,0.42,0.42,0.42,0.42,0.41,0.42,0.42
ENSPVIT00000041072_ENSPVIG00000024543,0.42,1.0,0.83,0.79,0.81,0.75,0.75,0.75,0.72,0.74,0.73,0.74
ENSACAT00000009790_ENSACAG00000009772,0.42,0.83,1.0,0.79,0.8,0.76,0.76,0.76,0.73,0.75,0.73,0.75
ENSNSUT00000014645_ENSNSUG00000010213,0.41,0.79,0.79,1.0,0.76,0.71,0.7,0.71,0.69,0.71,0.71,0.72
ENSSMRT00000021605_ENSSMRG00000014344,0.41,0.81,0.8,0.76,1.0,0.74,0.74,0.74,0.7,0.72,0.71,0.73
ENSCPGT00000013773_ENSCPGG00000008922,0.42,0.75,0.76,0.71,0.74,1.0,0.97,0.89,0.85,0.89,0.86,0.87
ENSCPUT00000027619_ENSCPUG00000015900,0.42,0.75,0.76,0.7,0.74,0.97,1.0,0.89,0.85,0.88,0.86,0.87
ENSMUNT00000002885_ENSMUNG00000002159,0.42,0.75,0.76,0.71,0.74,0.89,0.89,1.0,0.95,0.86,0.84,0.85
ENSMUNT00000002886_ENSMUNG00000002159,0.42,0.72,0.73,0.69,0.7,0.85,0.85,0.95,1.0,0.81,0.82,0.84
ENSZALT00000010655_ENSZALG00000006619,0.41,0.74,0.75,0.71,0.72,0.89,0.88,0.86,0.81,1.0,0.94,0.92
ENSJHYT00000028548_ENSJHYG00000017804,0.42,0.73,0.73,0.71,0.71,0.86,0.86,0.84,0.82,0.94,1.0,0.92
ENSSCAT00000017018_ENSSCAG00000011098,0.42,0.74,0.75,0.72,0.73,0.87,0.87,0.85,0.84,0.92,0.92,1.0
