,ENSNGAT00000027331_ENSNGAG00000020773,ENSJJAT00000016013_ENSJJAG00000013392,ENSSTOT00000011174_ENSSTOG00000011176,ENSSDAT00000005288_ENSSDAG00000004330,ENSFDAT00000017727_ENSFDAG00000013436,ENSMLET00000018777_ENSMLEG00000017189,ENSPPYT00000003403_ENSPPYG00000002825,ENSANAT00000052563_ENSANAG00000034866,ENSCCNT00000039264_ENSCCNG00000029747,ENSDORT00000032977_ENSDORG00000029292,ENSTSYT00000050213_ENSTSYG00000032087
ENSNGAT00000027331_ENSNGAG00000020773,1.0,0.65,0.47,0.62,0.46,0.48,0.89,0.47,0.47,0.88,0.51
ENSJJAT00000016013_ENSJJAG00000013392,0.65,1.0,0.66,0.9,0.63,0.58,0.65,0.66,0.65,0.62,0.5
ENSSTOT00000011174_ENSSTOG00000011176,0.47,0.66,1.0,0.74,0.91,0.66,0.49,0.83,0.9,0.46,0.68
ENSSDAT00000005288_ENSSDAG00000004330,0.62,0.9,0.74,1.0,0.64,0.56,0.64,0.65,0.64,0.61,0.5
ENSFDAT00000017727_ENSFDAG00000013436,0.46,0.63,0.91,0.64,1.0,0.66,0.48,0.82,0.88,0.47,0.66
ENSMLET00000018777_ENSMLEG00000017189,0.48,0.58,0.66,0.56,0.66,1.0,0.57,0.81,0.65,0.46,0.66
ENSPPYT00000003403_ENSPPYG00000002825,0.89,0.65,0.49,0.64,0.48,0.57,1.0,0.54,0.48,0.86,0.53
ENSANAT00000052563_ENSANAG00000034866,0.47,0.66,0.83,0.65,0.82,0.81,0.54,1.0,0.8,0.46,0.75
ENSCCNT00000039264_ENSCCNG00000029747,0.47,0.65,0.9,0.64,0.88,0.65,0.48,0.8,1.0,0.47,0.67
ENSDORT00000032977_ENSDORG00000029292,0.88,0.62,0.46,0.61,0.47,0.46,0.86,0.46,0.47,1.0,0.53
ENSTSYT00000050213_ENSTSYG00000032087,0.51,0.5,0.68,0.5,0.66,0.66,0.53,0.75,0.67,0.53,1.0
