,ENSMNET00000042435_ENSMNEG00000033051,ENSMLET00000031228_ENSMLEG00000028068,ENSCATT00000047984_ENSCATG00000035436,ENSRBIT00000061008_ENSRBIG00000042105,ENSRROT00000022185_ENSRROG00000020038,ENSPTET00000051090_ENSPTEG00000035302,ENSPTRT00000103009_ENSPTRG00000043811,ENSPPAT00000031987_ENSPPAG00000027893,ENST00000331105_ENSG00000197446,ENSGGOT00000009756_ENSGGOG00000009716,ENSCJAT00000028991_ENSCJAG00000034902
ENSMNET00000042435_ENSMNEG00000033051,1.0,0.84,0.89,0.84,0.85,0.83,0.88,0.76,0.88,0.86,0.86
ENSMLET00000031228_ENSMLEG00000028068,0.84,1.0,0.85,0.83,0.82,0.81,0.83,0.73,0.82,0.84,0.81
ENSCATT00000047984_ENSCATG00000035436,0.89,0.85,1.0,0.87,0.9,0.87,0.93,0.8,0.92,0.91,0.9
ENSRBIT00000061008_ENSRBIG00000042105,0.84,0.83,0.87,1.0,0.91,0.86,0.87,0.73,0.86,0.84,0.84
ENSRROT00000022185_ENSRROG00000020038,0.85,0.82,0.9,0.91,1.0,0.88,0.9,0.77,0.89,0.88,0.87
ENSPTET00000051090_ENSPTEG00000035302,0.83,0.81,0.87,0.86,0.88,1.0,0.87,0.76,0.87,0.85,0.84
ENSPTRT00000103009_ENSPTRG00000043811,0.88,0.83,0.93,0.87,0.9,0.87,1.0,0.82,0.94,0.93,0.91
ENSPPAT00000031987_ENSPPAG00000027893,0.76,0.73,0.8,0.73,0.77,0.76,0.82,1.0,0.81,0.82,0.78
ENST00000331105_ENSG00000197446,0.88,0.82,0.92,0.86,0.89,0.87,0.94,0.81,1.0,0.92,0.9
ENSGGOT00000009756_ENSGGOG00000009716,0.86,0.84,0.91,0.84,0.88,0.85,0.93,0.82,0.92,1.0,0.88
ENSCJAT00000028991_ENSCJAG00000034902,0.86,0.81,0.9,0.84,0.87,0.84,0.91,0.78,0.9,0.88,1.0
