,ENST00000335021_ENSG00000186572,ENST00000355602_ENSG00000198129,ENSPTRT00000036997_ENSPTRG00000019959,ENSGGOT00000003657_ENSGGOG00000003640,ENSNLET00000059391_ENSNLEG00000031786,ENSNLET00000047370_ENSNLEG00000029204,ENSMMUT00000102797_ENSMMUG00000062195,ENSMNET00000036347_ENSMNEG00000030386,ENSMFAT00000015865_ENSMFAG00000041532,ENSPANT00000017760_ENSPANG00000008565,ENSCATT00000014734_ENSCATG00000013104,ENSCSAT00000015062_ENSCSAG00000016965
ENST00000335021_ENSG00000186572,1.0,1.0,0.98,0.97,0.97,0.97,0.95,0.95,0.95,0.95,0.95,0.91
ENST00000355602_ENSG00000198129,1.0,1.0,0.98,0.97,0.97,0.97,0.95,0.95,0.95,0.95,0.95,0.91
ENSPTRT00000036997_ENSPTRG00000019959,0.98,0.98,1.0,0.97,0.98,0.97,0.96,0.96,0.96,0.96,0.96,0.91
ENSGGOT00000003657_ENSGGOG00000003640,0.97,0.97,0.97,1.0,0.98,0.98,0.96,0.96,0.96,0.96,0.96,0.92
ENSNLET00000059391_ENSNLEG00000031786,0.97,0.97,0.98,0.98,1.0,0.99,0.97,0.97,0.97,0.97,0.97,0.92
ENSNLET00000047370_ENSNLEG00000029204,0.97,0.97,0.97,0.98,0.99,1.0,0.96,0.96,0.96,0.96,0.96,0.92
ENSMMUT00000102797_ENSMMUG00000062195,0.95,0.95,0.96,0.96,0.97,0.96,1.0,1.0,1.0,1.0,1.0,0.92
ENSMNET00000036347_ENSMNEG00000030386,0.95,0.95,0.96,0.96,0.97,0.96,1.0,1.0,1.0,1.0,1.0,0.92
ENSMFAT00000015865_ENSMFAG00000041532,0.95,0.95,0.96,0.96,0.97,0.96,1.0,1.0,1.0,1.0,1.0,0.92
ENSPANT00000017760_ENSPANG00000008565,0.95,0.95,0.96,0.96,0.97,0.96,1.0,1.0,1.0,1.0,1.0,0.92
ENSCATT00000014734_ENSCATG00000013104,0.95,0.95,0.96,0.96,0.97,0.96,1.0,1.0,1.0,1.0,1.0,0.92
ENSCSAT00000015062_ENSCSAG00000016965,0.91,0.91,0.91,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,1.0
