,ENSTNIT00000007517_ENSTNIG00000004706,ENSTRUT00000001331_ENSTRUG00000000559,ENSPRNT00000017646_ENSPRNG00000008797,ENSXCOT00000006782_ENSXCOG00000005189,ENSSMAT00000028863_ENSSMAG00000017446,ENSCGOT00000017785_ENSCGOG00000007925,ENSPMGT00000006228_ENSPMGG00000004941,ENSGWIT00000041345_ENSGWIG00000019468,ENSCSET00000031758_ENSCSEG00000020079,ENSBSLT00000026857_ENSBSLG00000012258,ENSPMET00000001690_ENSPMEG00000010696,ENSPFOT00000002112_ENSPFOG00000002242,ENSPRET00000007572_ENSPREG00000005142,ENSPRET00000007586_ENSPREG00000005142,ENSXMAT00000037554_ENSXMAG00000026867,ENSFHET00000008437_ENSFHEG00000000144,ENSKMAT00000020512_ENSKMAG00000015049,ENSORLT00000014848_ENSORLG00000011851
ENSTNIT00000007517_ENSTNIG00000004706,1.0,0.79,0.64,0.62,0.72,0.67,0.66,0.65,0.69,0.67,0.58,0.62,0.62,0.63,0.61,0.66,0.61,0.59
ENSTRUT00000001331_ENSTRUG00000000559,0.79,1.0,0.62,0.64,0.72,0.68,0.64,0.65,0.7,0.67,0.59,0.63,0.63,0.64,0.62,0.67,0.63,0.61
ENSPRNT00000017646_ENSPRNG00000008797,0.64,0.62,1.0,0.68,0.65,0.7,0.62,0.73,0.67,0.63,0.66,0.68,0.67,0.68,0.67,0.67,0.71,0.67
ENSXCOT00000006782_ENSXCOG00000005189,0.62,0.64,0.68,1.0,0.65,0.69,0.6,0.66,0.63,0.6,0.69,0.73,0.73,0.72,0.76,0.68,0.67,0.66
ENSSMAT00000028863_ENSSMAG00000017446,0.72,0.72,0.65,0.65,1.0,0.68,0.64,0.67,0.73,0.7,0.62,0.63,0.63,0.64,0.63,0.68,0.63,0.63
ENSCGOT00000017785_ENSCGOG00000007925,0.67,0.68,0.7,0.69,0.68,1.0,0.66,0.7,0.67,0.65,0.63,0.68,0.67,0.68,0.68,0.68,0.69,0.66
ENSPMGT00000006228_ENSPMGG00000004941,0.66,0.64,0.62,0.6,0.64,0.66,1.0,0.63,0.62,0.61,0.59,0.61,0.61,0.6,0.6,0.64,0.59,0.59
ENSGWIT00000041345_ENSGWIG00000019468,0.65,0.65,0.73,0.66,0.67,0.7,0.63,1.0,0.68,0.59,0.62,0.64,0.64,0.64,0.63,0.62,0.65,0.63
ENSCSET00000031758_ENSCSEG00000020079,0.69,0.7,0.67,0.63,0.73,0.67,0.62,0.68,1.0,0.62,0.59,0.62,0.61,0.61,0.6,0.61,0.61,0.58
ENSBSLT00000026857_ENSBSLG00000012258,0.67,0.67,0.63,0.6,0.7,0.65,0.61,0.59,0.62,1.0,0.69,0.74,0.75,0.75,0.74,0.77,0.74,0.72
ENSPMET00000001690_ENSPMEG00000010696,0.58,0.59,0.66,0.69,0.62,0.63,0.59,0.62,0.59,0.69,1.0,0.9,0.9,0.9,0.89,0.83,0.79,0.75
ENSPFOT00000002112_ENSPFOG00000002242,0.62,0.63,0.68,0.73,0.63,0.68,0.61,0.64,0.62,0.74,0.9,1.0,0.95,0.95,0.94,0.88,0.84,0.81
ENSPRET00000007572_ENSPREG00000005142,0.62,0.63,0.67,0.73,0.63,0.67,0.61,0.64,0.61,0.75,0.9,0.95,1.0,0.99,0.96,0.9,0.86,0.82
ENSPRET00000007586_ENSPREG00000005142,0.63,0.64,0.68,0.72,0.64,0.68,0.6,0.64,0.61,0.75,0.9,0.95,0.99,1.0,0.96,0.9,0.86,0.82
ENSXMAT00000037554_ENSXMAG00000026867,0.61,0.62,0.67,0.76,0.63,0.68,0.6,0.63,0.6,0.74,0.89,0.94,0.96,0.96,1.0,0.89,0.86,0.83
ENSFHET00000008437_ENSFHEG00000000144,0.66,0.67,0.67,0.68,0.68,0.68,0.64,0.62,0.61,0.77,0.83,0.88,0.9,0.9,0.89,1.0,0.85,0.82
ENSKMAT00000020512_ENSKMAG00000015049,0.61,0.63,0.71,0.67,0.63,0.69,0.59,0.65,0.61,0.74,0.79,0.84,0.86,0.86,0.86,0.85,1.0,0.84
ENSORLT00000014848_ENSORLG00000011851,0.59,0.61,0.67,0.66,0.63,0.66,0.59,0.63,0.58,0.72,0.75,0.81,0.82,0.82,0.83,0.82,0.84,1.0
