,ENSPLAT00000010373_ENSPLAG00000005611,ENSPFOT00000021954_ENSPFOG00000022468,ENSPFOT00000022260_ENSPFOG00000022468,ENSPFOT00000023231_ENSPFOG00000022468,ENSPFOT00000018225_ENSPFOG00000018112,ENSPMET00000028360_ENSPMEG00000022040,ENSPFOT00000017066_ENSPFOG00000016984,ENSPFOT00000023141_ENSPFOG00000016984,ENSPFOT00000000265_ENSPFOG00000000299,ENSPFOT00000011865_ENSPFOG00000011873,ENSPFOT00000021951_ENSPFOG00000011873,ENSPRET00000022673_ENSPREG00000015152
ENSPLAT00000010373_ENSPLAG00000005611,1.0,0.77,0.77,0.77,0.77,0.34,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
ENSPFOT00000021954_ENSPFOG00000022468,0.77,1.0,0.89,0.89,0.75,0.77,0.58,0.59,0.45,0.59,0.6,0.59
ENSPFOT00000022260_ENSPFOG00000022468,0.77,0.89,1.0,0.86,0.75,0.77,0.58,0.59,0.44,0.56,0.6,0.58
ENSPFOT00000023231_ENSPFOG00000022468,0.77,0.89,0.86,1.0,0.74,0.77,0.61,0.62,0.45,0.63,0.63,0.62
ENSPFOT00000018225_ENSPFOG00000018112,0.77,0.75,0.75,0.74,1.0,1e-18,0.53,0.54,0.52,0.53,0.54,0.46
ENSPMET00000028360_ENSPMEG00000022040,0.34,0.77,0.77,0.77,1e-18,1.0,0.66,0.65,0.39,0.67,0.66,0.67
ENSPFOT00000017066_ENSPFOG00000016984,1e-18,0.58,0.58,0.61,0.53,0.66,1.0,0.83,0.55,0.7,0.69,0.67
ENSPFOT00000023141_ENSPFOG00000016984,1e-18,0.59,0.59,0.62,0.54,0.65,0.83,1.0,0.54,0.68,0.76,0.68
ENSPFOT00000000265_ENSPFOG00000000299,1e-18,0.45,0.44,0.45,0.52,0.39,0.55,0.54,1.0,0.58,0.57,0.57
ENSPFOT00000011865_ENSPFOG00000011873,1e-18,0.59,0.56,0.63,0.53,0.67,0.7,0.68,0.58,1.0,0.83,0.75
ENSPFOT00000021951_ENSPFOG00000011873,1e-18,0.6,0.6,0.63,0.54,0.66,0.69,0.76,0.57,0.83,1.0,0.79
ENSPRET00000022673_ENSPREG00000015152,1e-18,0.59,0.58,0.62,0.46,0.67,0.67,0.68,0.57,0.75,0.79,1.0
