,ENSHHUT00000031812_ENSHHUG00000019461,ENSHHUT00000031820_ENSHHUG00000019461,ENSHHUT00000035366_ENSHHUG00000021442,ENSHHUT00000031829_ENSHHUG00000019468,ENSELUT00000002036_ENSELUG00000010981,ENSELUT00000002075_ENSELUG00000010981,ENSLOCT00000018050_ENSLOCG00000014638,ENSECRT00000014846_ENSECRG00000009746,ENSECRT00000014856_ENSECRG00000009746,ENSPCIT00000067832_ENSPCIG00000012582,ENSPCIT00000020116_ENSPCIG00000012582,ENSPCIT00000061021_ENSPCIG00000012582,ENSPCIT00000052102_ENSPCIG00000012582,ENSVURT00010033585_ENSVURG00010022556,ENSPCIT00000056433_ENSPCIG00000035206,ENSPCIT00000052114_ENSPCIG00000030770,ENSVURT00010015941_ENSVURG00010010750,ENSVURT00010015923_ENSVURG00010010736,ENSVURT00010015925_ENSVURG00010010736,ENSVURT00010017130_ENSVURG00010011531,ENSMODT00000034314_ENSMODG00000010882
ENSHHUT00000031812_ENSHHUG00000019461,1.0,0.93,0.23,0.25,0.67,1e-18,0.28,0.34,0.34,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.24,0.24,0.24,0.24,0.24
ENSHHUT00000031820_ENSHHUG00000019461,0.93,1.0,0.23,0.25,0.69,1e-18,0.28,0.34,0.34,0.24,0.25,0.25,0.25,0.24,0.24,0.23,0.24,0.24,0.24,0.24,0.23
ENSHHUT00000035366_ENSHHUG00000021442,0.23,0.23,1.0,0.57,0.32,0.56,0.46,0.32,0.32,0.29,0.27,0.29,0.29,0.27,0.26,0.29,0.28,0.28,0.3,0.28,0.29
ENSHHUT00000031829_ENSHHUG00000019468,0.25,0.25,0.57,1.0,0.29,0.57,0.42,0.3,0.3,0.25,0.24,0.24,0.24,0.25,0.26,0.27,0.26,0.26,0.26,0.26,0.26
ENSELUT00000002036_ENSELUG00000010981,0.67,0.69,0.32,0.29,1.0,1e-18,0.28,0.3,0.3,0.22,0.23,0.23,0.23,0.23,0.23,0.24,0.23,0.23,0.23,0.23,0.25
ENSELUT00000002075_ENSELUG00000010981,1e-18,1e-18,0.56,0.57,1e-18,1.0,0.41,0.36,0.36,0.26,0.22,0.26,0.26,0.24,0.2,0.24,0.24,0.24,0.25,0.23,0.23
ENSLOCT00000018050_ENSLOCG00000014638,0.28,0.28,0.46,0.42,0.28,0.41,1.0,0.35,0.35,0.33,0.31,0.33,0.33,0.3,0.3,0.32,0.3,0.3,0.32,0.3,0.32
ENSECRT00000014846_ENSECRG00000009746,0.34,0.34,0.32,0.3,0.3,0.36,0.35,1.0,0.93,0.37,0.36,0.37,0.37,0.36,0.31,0.35,0.36,0.36,0.36,0.37,0.36
ENSECRT00000014856_ENSECRG00000009746,0.34,0.34,0.32,0.3,0.3,0.36,0.35,0.93,1.0,0.38,0.37,0.38,0.38,0.37,0.32,0.35,0.37,0.37,0.37,0.38,0.36
ENSPCIT00000067832_ENSPCIG00000012582,0.25,0.24,0.29,0.25,0.22,0.26,0.33,0.37,0.38,1.0,0.9,0.9,0.88,0.83,0.8,0.81,0.78,0.77,0.77,0.76,0.72
ENSPCIT00000020116_ENSPCIG00000012582,0.25,0.25,0.27,0.24,0.23,0.22,0.31,0.36,0.37,0.9,1.0,0.89,0.87,0.84,0.81,0.82,0.79,0.78,0.76,0.77,0.74
ENSPCIT00000061021_ENSPCIG00000012582,0.25,0.25,0.29,0.24,0.23,0.26,0.33,0.37,0.38,0.9,0.89,1.0,0.9,0.81,0.8,0.81,0.76,0.76,0.77,0.77,0.71
ENSPCIT00000052102_ENSPCIG00000012582,0.25,0.25,0.29,0.24,0.23,0.26,0.33,0.37,0.38,0.88,0.87,0.9,1.0,0.82,0.78,0.79,0.76,0.76,0.77,0.77,0.72
ENSVURT00010033585_ENSVURG00010022556,0.24,0.24,0.27,0.25,0.23,0.24,0.3,0.36,0.37,0.83,0.84,0.81,0.82,1.0,0.77,0.79,0.79,0.79,0.78,0.79,0.73
ENSPCIT00000056433_ENSPCIG00000035206,0.24,0.24,0.26,0.26,0.23,0.2,0.3,0.31,0.32,0.8,0.81,0.8,0.78,0.77,1.0,0.84,0.77,0.76,0.75,0.74,0.67
ENSPCIT00000052114_ENSPCIG00000030770,0.23,0.23,0.29,0.27,0.24,0.24,0.32,0.35,0.35,0.81,0.82,0.81,0.79,0.79,0.84,1.0,0.77,0.76,0.75,0.75,0.69
ENSVURT00010015941_ENSVURG00010010750,0.24,0.24,0.28,0.26,0.23,0.24,0.3,0.36,0.37,0.78,0.79,0.76,0.76,0.79,0.77,0.77,1.0,0.92,0.88,0.87,0.73
ENSVURT00010015923_ENSVURG00010010736,0.24,0.24,0.28,0.26,0.23,0.24,0.3,0.36,0.37,0.77,0.78,0.76,0.76,0.79,0.76,0.76,0.92,1.0,0.88,0.87,0.73
ENSVURT00010015925_ENSVURG00010010736,0.24,0.24,0.3,0.26,0.23,0.25,0.32,0.36,0.37,0.77,0.76,0.77,0.77,0.78,0.75,0.75,0.88,0.88,1.0,0.87,0.71
ENSVURT00010017130_ENSVURG00010011531,0.24,0.24,0.28,0.26,0.23,0.23,0.3,0.37,0.38,0.76,0.77,0.77,0.77,0.79,0.74,0.75,0.87,0.87,0.87,1.0,0.72
ENSMODT00000034314_ENSMODG00000010882,0.24,0.23,0.29,0.26,0.25,0.23,0.32,0.36,0.36,0.72,0.74,0.71,0.72,0.73,0.67,0.69,0.73,0.73,0.71,0.72,1.0
