,FBtr0074686_FBgn0052536,ZK154.4.1_WBGene00022666,ENSPKIT00000036094_ENSPKIG00000004494,ENSPKIT00000036116_ENSPKIG00000004494,ENSSFOT00015015537_ENSSFOG00015009882,ENSSFOT00015015544_ENSSFOG00015009882,ENSPKIT00000013735_ENSPKIG00000012789,ENSSFOT00015018563_ENSSFOG00015011777,ENSSFOT00015018578_ENSSFOG00015011777,ENSSFOT00015018594_ENSSFOG00015011777,ENSDCDT00000060355_ENSDCDG00000030099,ENSDCDT00000060359_ENSDCDG00000030099,ENSCHAT00000045689_ENSCHAG00000019705
FBtr0074686_FBgn0052536,1.0,0.27,0.27,0.27,0.24,0.24,0.27,0.3,0.3,0.29,0.28,0.27,0.26
ZK154.4.1_WBGene00022666,0.27,1.0,0.32,0.32,0.3,0.3,0.3,0.3,0.3,0.3,0.32,0.29,0.27
ENSPKIT00000036094_ENSPKIG00000004494,0.27,0.32,1.0,0.95,0.77,0.77,0.72,0.7,0.7,0.66,0.63,0.71,0.73
ENSPKIT00000036116_ENSPKIG00000004494,0.27,0.32,0.95,1.0,0.77,0.77,0.72,0.7,0.7,0.66,0.63,0.71,0.73
ENSSFOT00015015537_ENSSFOG00015009882,0.24,0.3,0.77,0.77,1.0,0.95,0.68,0.68,0.68,0.64,0.62,0.7,0.72
ENSSFOT00015015544_ENSSFOG00015009882,0.24,0.3,0.77,0.77,0.95,1.0,0.68,0.68,0.68,0.64,0.62,0.7,0.72
ENSPKIT00000013735_ENSPKIG00000012789,0.27,0.3,0.72,0.72,0.68,0.68,1.0,0.7,0.7,0.67,0.62,0.71,0.69
ENSSFOT00015018563_ENSSFOG00015011777,0.3,0.3,0.7,0.7,0.68,0.68,0.7,1.0,0.95,0.9,0.59,0.68,0.68
ENSSFOT00015018578_ENSSFOG00015011777,0.3,0.3,0.7,0.7,0.68,0.68,0.7,0.95,1.0,0.9,0.59,0.68,0.68
ENSSFOT00015018594_ENSSFOG00015011777,0.29,0.3,0.66,0.66,0.64,0.64,0.67,0.9,0.9,1.0,0.58,0.65,0.64
ENSDCDT00000060355_ENSDCDG00000030099,0.28,0.32,0.63,0.63,0.62,0.62,0.62,0.59,0.59,0.58,1.0,0.88,0.68
ENSDCDT00000060359_ENSDCDG00000030099,0.27,0.29,0.71,0.71,0.7,0.7,0.71,0.68,0.68,0.65,0.88,1.0,0.76
ENSCHAT00000045689_ENSCHAG00000019705,0.26,0.27,0.73,0.73,0.72,0.72,0.69,0.68,0.68,0.64,0.68,0.76,1.0
