,ENSSFOT00015034970_ENSSFOG00015022045,ENSSFOT00015034984_ENSSFOG00015022045,ENSSFOT00015035002_ENSSFOG00015022045,ENSSFOT00015035017_ENSSFOG00015022045,ENSPKIT00000003981_ENSPKIG00000006972,ENSPKIT00000004012_ENSPKIG00000006972,ENSPKIT00000004044_ENSPKIG00000006972,ENSPKIT00000032867_ENSPKIG00000024133,ENSPKIT00000032885_ENSPKIG00000024133,ENSPKIT00000032895_ENSPKIG00000024133,ENSPKIT00000032904_ENSPKIG00000024133,ENSPKIT00000032915_ENSPKIG00000024133,ENSSFOT00015002307_ENSSFOG00015001533,ENSCHAT00000049246_ENSCHAG00000020156,ENSCHAT00000049262_ENSCHAG00000020156,ENSCHAT00000049303_ENSCHAG00000020156,ENSCHAT00000049332_ENSCHAG00000020156,ENSCHAT00000049372_ENSCHAG00000020156,ENSCHAT00000049399_ENSCHAG00000020156,ENSCHAT00000049432_ENSCHAG00000020156,ENSCHAT00000049457_ENSCHAG00000020156,ENSCHAT00000049485_ENSCHAG00000020156,ENSDCDT00000014588_ENSDCDG00000004583,ENSDCDT00000014602_ENSDCDG00000004583,ENSDCDT00000014606_ENSDCDG00000004583,ENSDCDT00000014613_ENSDCDG00000004583,ENSDCDT00000014803_ENSDCDG00000004583,ENSDCDT00000014868_ENSDCDG00000004583,ENSDCDT00000014987_ENSDCDG00000004583,ENSDART00000161289_ENSDARG00000102730,ENSDART00000159899_ENSDARG00000102730,ENSDART00000162834_ENSDARG00000102730,ENSDART00000160711_ENSDARG00000102730,ENSDART00000161753_ENSDARG00000102730,ENSELUT00000032269_ENSELUG00000020634,ENSELUT00000032274_ENSELUG00000020634,ENSHHUT00000041931_ENSHHUG00000024945,ENSHHUT00000083238_ENSHHUG00000045800,ENSHHUT00000083269_ENSHHUG00000045800,ENSHHUT00000083285_ENSHHUG00000045800,ENSHHUT00000083288_ENSHHUG00000045800,ENSHHUT00000083468_ENSHHUG00000045800,ENSHHUT00000083476_ENSHHUG00000045800,ENSHHUT00000083481_ENSHHUG00000045800,ENSHHUT00000083501_ENSHHUG00000045800,ENSAMXT00000048268_ENSAMXG00000030412,ENSAMXT00000033115_ENSAMXG00000030412,ENSPNAT00000021936_ENSPNAG00000020204,ENSPNAT00000022015_ENSPNAG00000020204,ENSPNAT00000037238_ENSPNAG00000020204,ENSPNAT00000037256_ENSPNAG00000020204,ENSEEET00000035044_ENSEEEG00000016475,ENSIPUT00000024496_ENSIPUG00000015786,ENSIPUT00000024528_ENSIPUG00000015786,ENSIPUT00000024565_ENSIPUG00000015786,ENSIPUT00000024581_ENSIPUG00000015786,ENSIPUT00000024611_ENSIPUG00000015786
ENSSFOT00015034970_ENSSFOG00015022045,1.0,0.94,0.95,0.94,0.8,0.78,0.79,0.76,0.75,0.75,0.75,0.76,0.45,0.77,0.79,0.76,0.78,0.75,0.75,0.8,0.76,0.76,0.77,0.77,0.77,0.75,0.79,0.77,0.78,0.8,0.76,0.79,0.8,0.76,0.74,0.71,0.71,0.82,0.81,0.77,0.82,0.76,0.75,0.77,0.77,0.73,0.67,0.71,0.76,0.75,0.69,0.71,0.75,0.74,0.75,0.76,0.75
ENSSFOT00015034984_ENSSFOG00015022045,0.94,1.0,0.93,0.91,0.82,0.8,0.8,0.77,0.76,0.76,0.76,0.77,0.45,0.79,0.77,0.77,0.79,0.77,0.76,0.82,0.78,0.77,0.79,0.78,0.79,0.77,0.81,0.79,0.79,0.79,0.77,0.77,0.78,0.77,0.75,0.72,0.71,0.8,0.78,0.78,0.79,0.77,0.77,0.78,0.79,0.74,0.68,0.72,0.76,0.76,0.69,0.72,0.74,0.75,0.77,0.75,0.76
ENSSFOT00015035002_ENSSFOG00015022045,0.95,0.93,1.0,0.95,0.81,0.79,0.8,0.77,0.75,0.75,0.75,0.77,0.45,0.76,0.8,0.77,0.76,0.76,0.75,0.79,0.77,0.77,0.78,0.77,0.78,0.76,0.77,0.78,0.79,0.78,0.77,0.77,0.78,0.77,0.73,0.72,0.71,0.81,0.79,0.75,0.8,0.76,0.76,0.75,0.76,0.74,0.68,0.72,0.74,0.73,0.67,0.7,0.76,0.75,0.76,0.77,0.75
ENSSFOT00015035017_ENSSFOG00015022045,0.94,0.91,0.95,1.0,0.82,0.8,0.8,0.78,0.76,0.76,0.76,0.78,0.48,0.77,0.82,0.78,0.77,0.77,0.76,0.77,0.78,0.77,0.79,0.78,0.79,0.77,0.78,0.79,0.8,0.77,0.77,0.78,0.79,0.77,0.7,0.72,0.72,0.8,0.78,0.76,0.79,0.77,0.77,0.76,0.77,0.74,0.68,0.72,0.74,0.74,0.66,0.7,0.77,0.75,0.77,0.78,0.76
ENSPKIT00000003981_ENSPKIG00000006972,0.8,0.82,0.81,0.82,1.0,0.93,0.94,0.78,0.76,0.76,0.76,0.78,0.48,0.76,0.77,0.77,0.76,0.76,0.76,0.77,0.77,0.77,0.8,0.79,0.8,0.78,0.78,0.8,0.8,0.76,0.79,0.76,0.77,0.79,0.71,0.73,0.73,0.76,0.74,0.77,0.75,0.78,0.77,0.76,0.77,0.72,0.65,0.72,0.72,0.72,0.69,0.69,0.74,0.76,0.77,0.75,0.76
ENSPKIT00000004012_ENSPKIG00000006972,0.78,0.8,0.79,0.8,0.93,1.0,0.92,0.76,0.74,0.74,0.74,0.76,0.48,0.74,0.75,0.8,0.74,0.76,0.74,0.75,0.75,0.74,0.78,0.82,0.8,0.76,0.77,0.78,0.78,0.74,0.77,0.75,0.75,0.77,0.71,0.72,0.73,0.74,0.76,0.79,0.75,0.76,0.76,0.75,0.76,0.72,0.68,0.72,0.71,0.7,0.69,0.69,0.76,0.78,0.76,0.75,0.79
ENSPKIT00000004044_ENSPKIG00000006972,0.79,0.8,0.8,0.8,0.94,0.92,1.0,0.76,0.75,0.75,0.75,0.76,0.48,0.74,0.75,0.75,0.74,0.74,0.74,0.75,0.75,0.74,0.78,0.76,0.78,0.75,0.77,0.77,0.78,0.74,0.77,0.75,0.75,0.77,0.71,0.72,0.71,0.74,0.73,0.75,0.74,0.76,0.76,0.75,0.76,0.71,0.64,0.7,0.7,0.7,0.69,0.66,0.72,0.73,0.75,0.73,0.74
ENSPKIT00000032867_ENSPKIG00000024133,0.76,0.77,0.77,0.78,0.78,0.76,0.76,1.0,0.93,0.93,0.93,0.95,0.48,0.75,0.76,0.76,0.75,0.75,0.76,0.76,0.77,0.76,0.77,0.74,0.75,0.74,0.74,0.75,0.76,0.74,0.78,0.75,0.75,0.78,0.64,0.73,0.71,0.74,0.72,0.74,0.73,0.76,0.75,0.75,0.75,0.71,0.66,0.71,0.73,0.72,0.66,0.7,0.72,0.73,0.75,0.73,0.74
ENSPKIT00000032885_ENSPKIG00000024133,0.75,0.76,0.75,0.76,0.76,0.74,0.75,0.93,1.0,0.95,0.95,0.93,0.48,0.74,0.74,0.74,0.73,0.73,0.76,0.74,0.75,0.75,0.75,0.73,0.74,0.75,0.73,0.73,0.74,0.72,0.76,0.73,0.73,0.76,0.64,0.73,0.71,0.72,0.71,0.73,0.71,0.75,0.76,0.75,0.74,0.7,0.67,0.72,0.74,0.73,0.66,0.7,0.72,0.73,0.75,0.72,0.73
ENSPKIT00000032895_ENSPKIG00000024133,0.75,0.76,0.75,0.76,0.76,0.74,0.75,0.93,0.95,1.0,0.95,0.93,0.48,0.74,0.74,0.74,0.73,0.73,0.76,0.74,0.75,0.75,0.75,0.73,0.74,0.75,0.73,0.73,0.74,0.72,0.76,0.73,0.73,0.76,0.64,0.73,0.71,0.72,0.71,0.73,0.71,0.75,0.76,0.75,0.74,0.7,0.67,0.72,0.74,0.73,0.66,0.7,0.72,0.73,0.75,0.72,0.73
