,FBtr0070495_FBgn0000376,FBtr0070496_FBgn0000376,R151.8.1_WBGene00020111,ENSCINT00000036145_ENSCING00000023400,ENSCINT00000034826_ENSCING00000020983,ENSVURT00010016572_ENSVURG00010011179,ENSVURT00010016582_ENSVURG00010011179,ENSPCIT00000028093_ENSPCIG00000017274,ENSSHAT00000014289_ENSSHAG00000012114,ENSSHAT00000014290_ENSSHAG00000012114,ENSMODT00000020539_ENSMODG00000016154,ENSCHIT00000002956_ENSCHIG00000001484,ENSCHIT00000003020_ENSCHIG00000001484,ENSOART00000017469_ENSOARG00000016037
FBtr0070495_FBgn0000376,1.0,0.93,0.26,0.27,0.2,0.34,0.34,0.34,0.34,0.35,0.33,0.34,0.34,0.34
FBtr0070496_FBgn0000376,0.93,1.0,0.26,0.27,0.2,0.34,0.34,0.34,0.34,0.35,0.33,0.34,0.34,0.34
R151.8.1_WBGene00020111,0.26,0.26,1.0,0.3,0.32,0.27,0.27,0.27,0.28,0.28,0.27,0.26,0.26,0.26
ENSCINT00000036145_ENSCING00000023400,0.27,0.27,0.3,1.0,0.09,0.36,0.36,0.36,0.36,0.36,0.35,0.3,0.3,0.3
ENSCINT00000034826_ENSCING00000020983,0.2,0.2,0.32,0.09,1.0,0.22,0.22,0.23,0.21,0.21,0.23,0.2,0.2,0.2
ENSVURT00010016572_ENSVURG00010011179,0.34,0.34,0.27,0.36,0.22,1.0,0.97,0.96,0.9,0.9,0.89,0.68,0.68,0.66
ENSVURT00010016582_ENSVURG00010011179,0.34,0.34,0.27,0.36,0.22,0.97,1.0,0.94,0.89,0.89,0.88,0.66,0.66,0.65
ENSPCIT00000028093_ENSPCIG00000017274,0.34,0.34,0.27,0.36,0.23,0.96,0.94,1.0,0.9,0.9,0.89,0.68,0.68,0.66
ENSSHAT00000014289_ENSSHAG00000012114,0.34,0.34,0.28,0.36,0.21,0.9,0.89,0.9,1.0,0.98,0.9,0.68,0.68,0.67
ENSSHAT00000014290_ENSSHAG00000012114,0.35,0.35,0.28,0.36,0.21,0.9,0.89,0.9,0.98,1.0,0.9,0.68,0.68,0.67
ENSMODT00000020539_ENSMODG00000016154,0.33,0.33,0.27,0.35,0.23,0.89,0.88,0.89,0.9,0.9,1.0,0.69,0.69,0.68
ENSCHIT00000002956_ENSCHIG00000001484,0.34,0.34,0.26,0.3,0.2,0.68,0.66,0.68,0.68,0.68,0.69,1.0,0.97,0.94
ENSCHIT00000003020_ENSCHIG00000001484,0.34,0.34,0.26,0.3,0.2,0.68,0.66,0.68,0.68,0.68,0.69,0.97,1.0,0.94
ENSOART00000017469_ENSOARG00000016037,0.34,0.34,0.26,0.3,0.2,0.66,0.65,0.66,0.67,0.67,0.68,0.94,0.94,1.0
