,ENSVURT00010027957_ENSVURG00010018808,ENSVURT00010027963_ENSVURG00010018808,ENSVURT00010027975_ENSVURG00010018808,ENSVURT00010027994_ENSVURG00010018808,ENSVURT00010028005_ENSVURG00010018808,ENSVURT00010028008_ENSVURG00010018808,ENSPCIT00000042209_ENSPCIG00000025378,ENSPCIT00000042204_ENSPCIG00000025378,ENSPCIT00000042217_ENSPCIG00000025378,ENSPCIT00000042212_ENSPCIG00000025378,ENSSHAT00000009164_ENSSHAG00000007874,ENSSHAT00000009165_ENSSHAG00000007874,ENSMODT00000064087_ENSMODG00000009796,ENSMODT00000080766_ENSMODG00000009796,ENSMODT00000053868_ENSMODG00000009796,ENSMODT00000061257_ENSMODG00000009796,ENSMODT00000064411_ENSMODG00000009796,ENSMODT00000056231_ENSMODG00000009796,ENSMODT00000012469_ENSMODG00000009796
ENSVURT00010027957_ENSVURG00010018808,1.0,0.99,0.98,0.98,0.98,0.98,0.97,0.96,0.95,0.94,0.94,0.94,0.93,0.91,0.91,0.93,0.92,0.89,0.9
ENSVURT00010027963_ENSVURG00010018808,0.99,1.0,0.99,0.99,0.99,0.97,0.96,0.97,0.96,0.96,0.93,0.93,0.91,0.93,0.91,0.92,0.9,0.9,0.91
ENSVURT00010027975_ENSVURG00010018808,0.98,0.99,1.0,0.98,0.98,0.96,0.95,0.96,0.97,0.95,0.92,0.92,0.91,0.92,0.91,0.9,0.89,0.91,0.92
ENSVURT00010027994_ENSVURG00010018808,0.98,0.99,0.98,1.0,0.97,0.96,0.94,0.96,0.95,0.94,0.92,0.92,0.9,0.91,0.89,0.9,0.91,0.91,0.92
ENSVURT00010028005_ENSVURG00010018808,0.98,0.99,0.98,0.97,1.0,0.96,0.94,0.96,0.95,0.97,0.92,0.92,0.91,0.92,0.9,0.93,0.9,0.9,0.9
ENSVURT00010028008_ENSVURG00010018808,0.98,0.97,0.96,0.96,0.96,1.0,0.95,0.94,0.93,0.93,0.92,0.93,0.91,0.9,0.89,0.91,0.9,0.88,0.89
ENSPCIT00000042209_ENSPCIG00000025378,0.97,0.96,0.95,0.94,0.94,0.95,1.0,0.99,0.98,0.98,0.93,0.94,0.93,0.91,0.91,0.93,0.91,0.89,0.9
ENSPCIT00000042204_ENSPCIG00000025378,0.96,0.97,0.96,0.96,0.96,0.94,0.99,1.0,0.99,0.99,0.92,0.92,0.91,0.92,0.9,0.91,0.9,0.9,0.91
ENSPCIT00000042217_ENSPCIG00000025378,0.95,0.96,0.97,0.95,0.95,0.93,0.98,0.99,1.0,0.98,0.91,0.91,0.9,0.91,0.91,0.9,0.89,0.91,0.92
ENSPCIT00000042212_ENSPCIG00000025378,0.94,0.96,0.95,0.94,0.97,0.93,0.98,0.99,0.98,1.0,0.91,0.91,0.91,0.92,0.9,0.92,0.89,0.89,0.9
ENSSHAT00000009164_ENSSHAG00000007874,0.94,0.93,0.92,0.92,0.92,0.92,0.93,0.92,0.91,0.91,1.0,0.98,0.94,0.92,0.92,0.92,0.93,0.9,0.89
ENSSHAT00000009165_ENSSHAG00000007874,0.94,0.93,0.92,0.92,0.92,0.93,0.94,0.92,0.91,0.91,0.98,1.0,0.92,0.91,0.91,0.92,0.91,0.88,0.89
ENSMODT00000064087_ENSMODG00000009796,0.93,0.91,0.91,0.9,0.91,0.91,0.93,0.91,0.9,0.91,0.94,0.92,1.0,0.99,0.99,0.98,0.99,0.97,0.96
ENSMODT00000080766_ENSMODG00000009796,0.91,0.93,0.92,0.91,0.92,0.9,0.91,0.92,0.91,0.92,0.92,0.91,0.99,1.0,0.98,0.97,0.98,0.98,0.97
ENSMODT00000053868_ENSMODG00000009796,0.91,0.91,0.91,0.89,0.9,0.89,0.91,0.9,0.91,0.9,0.92,0.91,0.99,0.98,1.0,0.97,0.98,0.98,0.96
ENSMODT00000061257_ENSMODG00000009796,0.93,0.92,0.9,0.9,0.93,0.91,0.93,0.91,0.9,0.92,0.92,0.92,0.98,0.97,0.97,1.0,0.97,0.95,0.95
ENSMODT00000064411_ENSMODG00000009796,0.92,0.9,0.89,0.91,0.9,0.9,0.91,0.9,0.89,0.89,0.93,0.91,0.99,0.98,0.98,0.97,1.0,0.98,0.96
ENSMODT00000056231_ENSMODG00000009796,0.89,0.9,0.91,0.91,0.9,0.88,0.89,0.9,0.91,0.89,0.9,0.88,0.97,0.98,0.98,0.95,0.98,1.0,0.98
ENSMODT00000012469_ENSMODG00000009796,0.9,0.91,0.92,0.92,0.9,0.89,0.9,0.91,0.92,0.9,0.89,0.89,0.96,0.97,0.96,0.95,0.96,0.98,1.0
