,ENSPVIT00000022269_ENSPVIG00000013709,ENSACAT00000029539_ENSACAG00000028428,ENSSMRT00000017614_ENSSMRG00000011772,ENSSPUT00000010543_ENSSPUG00000007661,ENSMVIT00005028636_ENSMVIG00005017796,ENSMVIT00005028638_ENSMVIG00005017796,ENSLCOT00000000063_ENSLCOG00000000076,ENSLCOT00000000065_ENSLCOG00000000076,ENSCCET00000024858_ENSCCEG00000015077,ENSCCET00000024860_ENSCCEG00000015077,ENSPMJT00000023780_ENSPMJG00000013637,ENSPMJT00000023781_ENSPMJG00000013637
ENSPVIT00000022269_ENSPVIG00000013709,1.0,0.78,0.8,0.71,0.67,0.7,0.63,0.7,0.66,0.69,0.69,0.61
ENSACAT00000029539_ENSACAG00000028428,0.78,1.0,0.74,0.66,0.67,0.71,0.64,0.72,0.66,0.71,0.7,0.63
ENSSMRT00000017614_ENSSMRG00000011772,0.8,0.74,1.0,0.72,0.68,0.71,0.64,0.71,0.66,0.69,0.69,0.62
ENSSPUT00000010543_ENSSPUG00000007661,0.71,0.66,0.72,1.0,0.65,0.69,0.62,0.69,0.65,0.69,0.69,0.62
ENSMVIT00005028636_ENSMVIG00005017796,0.67,0.67,0.68,0.65,1.0,0.92,0.88,0.91,0.93,0.88,0.88,0.84
ENSMVIT00005028638_ENSMVIG00005017796,0.7,0.71,0.71,0.69,0.92,1.0,0.9,0.96,0.88,0.92,0.92,0.86
ENSLCOT00000000063_ENSLCOG00000000076,0.63,0.64,0.64,0.62,0.88,0.9,1.0,0.9,0.84,0.86,0.86,0.88
ENSLCOT00000000065_ENSLCOG00000000076,0.7,0.72,0.71,0.69,0.91,0.96,0.9,1.0,0.88,0.92,0.92,0.86
ENSCCET00000024858_ENSCCEG00000015077,0.66,0.66,0.66,0.65,0.93,0.88,0.84,0.88,1.0,0.92,0.91,0.88
ENSCCET00000024860_ENSCCEG00000015077,0.69,0.71,0.69,0.69,0.88,0.92,0.86,0.92,0.92,1.0,0.96,0.9
ENSPMJT00000023780_ENSPMJG00000013637,0.69,0.7,0.69,0.69,0.88,0.92,0.86,0.92,0.91,0.96,1.0,0.9
ENSPMJT00000023781_ENSPMJG00000013637,0.61,0.63,0.62,0.62,0.84,0.86,0.88,0.86,0.88,0.9,0.9,1.0
