,ENSEBUT00000026435_ENSEBUG00000015942,ENSEBUT00000026444_ENSEBUG00000015942,ENSEBUT00000026452_ENSEBUG00000015942,ENSMALT00000028578_ENSMALG00000019455,ENSMAMT00000033310_ENSMAMG00000021842,ENSMAMT00000033313_ENSMAMG00000021842,ENSMAMT00000033315_ENSMAMG00000021842,ENSMAMT00000033316_ENSMAMG00000021842,ENSATET00000020330_ENSATEG00000013930,ENSMZET00005016476_ENSMZEG00005011987,ENSACLT00000037651_ENSACLG00000024902,ENSHBUT00000019369_ENSHBUG00000000840,ENSNBRT00000020135_ENSNBRG00000015114,ENSONIT00000020720_ENSONIG00000016439,ENSACIT00000017599_ENSACIG00000013362,ENSSDUT00000006216_ENSSDUG00000004500
ENSEBUT00000026435_ENSEBUG00000015942,1.0,0.9,0.79,0.55,0.54,0.61,0.59,0.54,0.54,0.55,0.55,0.55,0.62,0.55,0.61,0.58
ENSEBUT00000026444_ENSEBUG00000015942,0.9,1.0,0.75,0.52,0.51,0.61,0.55,0.51,0.51,0.53,0.53,0.53,0.63,0.53,0.57,0.55
ENSEBUT00000026452_ENSEBUG00000015942,0.79,0.75,1.0,0.5,0.5,0.53,0.53,0.5,0.5,0.5,0.5,0.5,0.53,0.5,0.54,0.5
ENSMALT00000028578_ENSMALG00000019455,0.55,0.52,0.5,1.0,0.8,0.71,0.78,0.92,0.92,0.87,0.87,0.87,0.69,0.91,0.71,0.89
ENSMAMT00000033310_ENSMAMG00000021842,0.54,0.51,0.5,0.8,1.0,0.78,0.85,0.88,0.78,0.75,0.75,0.75,0.69,0.77,0.76,0.76
ENSMAMT00000033313_ENSMAMG00000021842,0.61,0.61,0.53,0.71,0.78,1.0,0.83,0.78,0.7,0.69,0.69,0.69,0.81,0.68,0.73,0.67
ENSMAMT00000033315_ENSMAMG00000021842,0.59,0.55,0.53,0.78,0.85,0.83,1.0,0.85,0.77,0.72,0.72,0.72,0.74,0.75,0.75,0.74
ENSMAMT00000033316_ENSMAMG00000021842,0.54,0.51,0.5,0.92,0.88,0.78,0.85,1.0,0.91,0.87,0.87,0.87,0.69,0.9,0.71,0.88
ENSATET00000020330_ENSATEG00000013930,0.54,0.51,0.5,0.92,0.78,0.7,0.77,0.91,1.0,0.88,0.87,0.88,0.7,0.91,0.71,0.89
ENSMZET00005016476_ENSMZEG00005011987,0.55,0.53,0.5,0.87,0.75,0.69,0.72,0.87,0.88,1.0,0.96,0.96,0.77,0.95,0.72,0.84
ENSACLT00000037651_ENSACLG00000024902,0.55,0.53,0.5,0.87,0.75,0.69,0.72,0.87,0.87,0.96,1.0,0.96,0.77,0.94,0.72,0.84
ENSHBUT00000019369_ENSHBUG00000000840,0.55,0.53,0.5,0.87,0.75,0.69,0.72,0.87,0.88,0.96,0.96,1.0,0.77,0.95,0.72,0.84
ENSNBRT00000020135_ENSNBRG00000015114,0.62,0.63,0.53,0.69,0.69,0.81,0.74,0.69,0.7,0.77,0.77,0.77,1.0,0.76,0.77,0.66
ENSONIT00000020720_ENSONIG00000016439,0.55,0.53,0.5,0.91,0.77,0.68,0.75,0.9,0.91,0.95,0.94,0.95,0.76,1.0,0.75,0.87
ENSACIT00000017599_ENSACIG00000013362,0.61,0.57,0.54,0.71,0.76,0.73,0.75,0.71,0.71,0.72,0.72,0.72,0.77,0.75,1.0,0.69
ENSSDUT00000006216_ENSSDUG00000004500,0.58,0.55,0.5,0.89,0.76,0.67,0.74,0.88,0.89,0.84,0.84,0.84,0.66,0.87,0.69,1.0
