,ENSATET00000012592_ENSATEG00000008650,ENSMAMT00000015759_ENSMAMG00000010392,ENSMAMT00000015764_ENSMAMG00000010392,ENSPRNT00000011509_ENSPRNG00000006089,ENSXCOT00000011927_ENSXCOG00000008913,ENSLBET00000008613_ENSLBEG00000006330,ENSHHUT00000005806_ENSHHUG00000003460,ENSHHUT00000019256_ENSHHUG00000011595,ENSDNVT00000021903_ENSDNVG00000012731,ENSNPET00000011700_ENSNPEG00000008567,ENSAOWT00000015686_ENSAOWG00000009427,ENSAOWT00000015688_ENSAOWG00000009427,ENSARWT00000015738_ENSARWG00000009521,ENSARWT00000015739_ENSARWG00000009521,ENSAHAT00000028317_ENSAHAG00000017927,ENSCPGT00000023148_ENSCPGG00000014762,ENSCPUT00000032154_ENSCPUG00000018386,ENSGALT00000050934_ENSGALG00000029244,ENSGALT00000092477_ENSGALG00000029244,ENSCJPT00005029636_ENSCJPG00005017273,ENSNMET00000011594_ENSNMEG00000007047,ENSNMET00000011596_ENSNMEG00000007047
ENSATET00000012592_ENSATEG00000008650,1.0,0.72,0.72,0.62,0.5,0.55,1e-18,1e-18,0.53,0.54,1e-18,1e-18,0.53,0.52,1e-18,0.57,0.59,0.64,0.64,0.63,0.66,0.66
ENSMAMT00000015759_ENSMAMG00000010392,0.72,1.0,0.85,0.72,0.41,0.55,0.43,0.43,0.5,0.5,0.43,0.45,0.48,0.47,0.45,0.52,0.52,0.52,0.51,0.52,0.49,0.51
ENSMAMT00000015764_ENSMAMG00000010392,0.72,0.85,1.0,0.72,0.44,0.6,1e-18,1e-18,0.53,0.54,0.49,0.49,0.53,0.53,0.49,0.57,0.58,0.56,0.57,0.57,0.57,0.56
ENSPRNT00000011509_ENSPRNG00000006089,0.62,0.72,0.72,1.0,0.44,0.54,1e-18,1e-18,0.5,0.53,1e-18,1e-18,0.5,0.51,1e-18,0.55,0.57,0.61,0.61,0.6,0.63,0.63
ENSXCOT00000011927_ENSXCOG00000008913,0.5,0.41,0.44,0.44,1.0,0.51,1e-18,1e-18,0.45,0.41,0.44,0.44,0.49,0.48,0.44,0.43,0.42,0.43,0.45,0.42,0.46,0.43
ENSLBET00000008613_ENSLBEG00000006330,0.55,0.55,0.6,0.54,0.51,1.0,1e-18,1e-18,0.57,0.57,1e-18,1e-18,0.58,0.51,1e-18,0.62,0.62,0.62,0.62,0.63,0.62,0.62
ENSHHUT00000005806_ENSHHUG00000003460,1e-18,0.43,1e-18,1e-18,1e-18,1e-18,1.0,0.85,0.45,0.44,0.42,0.45,0.44,0.44,0.45,0.47,0.48,0.47,0.47,0.47,0.46,0.46
ENSHHUT00000019256_ENSHHUG00000011595,1e-18,0.43,1e-18,1e-18,1e-18,1e-18,0.85,1.0,0.46,0.45,0.44,0.46,0.45,0.45,0.46,0.48,0.49,0.49,0.49,0.49,0.47,0.47
ENSDNVT00000021903_ENSDNVG00000012731,0.53,0.5,0.53,0.5,0.45,0.57,0.45,0.46,1.0,0.88,0.85,0.89,0.88,0.89,0.88,0.86,0.84,0.82,0.78,0.81,0.76,0.8
ENSNPET00000011700_ENSNPEG00000008567,0.54,0.5,0.54,0.53,0.41,0.57,0.44,0.45,0.88,1.0,0.81,0.85,0.85,0.85,0.85,0.84,0.83,0.81,0.77,0.8,0.75,0.79
ENSAOWT00000015686_ENSAOWG00000009427,1e-18,0.43,0.49,1e-18,0.44,1e-18,0.42,0.44,0.85,0.81,1.0,0.91,0.89,0.9,0.91,0.78,0.77,0.76,0.76,0.75,0.73,0.73
ENSAOWT00000015688_ENSAOWG00000009427,1e-18,0.45,0.49,1e-18,0.44,1e-18,0.45,0.46,0.89,0.85,0.91,1.0,0.92,0.93,0.95,0.82,0.81,0.79,0.79,0.78,0.76,0.76
