,ENSPVIT00000022859_ENSPVIG00000014059,ENSPVIT00000022868_ENSPVIG00000014059,ENSPVIT00000022874_ENSPVIG00000014059,ENSNSUT00000021068_ENSNSUG00000014453,ENSNSUT00000021069_ENSNSUG00000014453,ENSSMRT00000029054_ENSSMRG00000019183,ENSSMRT00000029055_ENSSMRG00000019183,ENSSMRT00000029056_ENSSMRG00000019183,ENSSPUT00000005405_ENSSPUG00000003842,ENSSPUT00000005435_ENSSPUG00000003842,ENSAHAT00000007309_ENSAHAG00000004859,ENSDNVT00000017153_ENSDNVG00000010051,ENSDNVT00000017179_ENSDNVG00000010051,ENSZALT00000019003_ENSZALG00000011609,ENSZALT00000019004_ENSZALG00000011609,ENSSCAT00000006514_ENSSCAG00000004518,ENSSCAT00000006523_ENSSCAG00000004518
ENSPVIT00000022859_ENSPVIG00000014059,1.0,0.96,0.98,0.81,0.8,0.84,0.86,0.85,0.78,0.66,0.76,0.77,0.77,0.76,0.74,0.76,0.75
ENSPVIT00000022868_ENSPVIG00000014059,0.96,1.0,0.97,0.8,0.79,0.81,0.83,0.84,0.77,0.66,0.74,0.76,0.76,0.75,0.75,0.75,0.74
ENSPVIT00000022874_ENSPVIG00000014059,0.98,0.97,1.0,0.8,0.79,0.83,0.85,0.84,0.77,0.66,0.74,0.76,0.76,0.75,0.75,0.75,0.74
ENSNSUT00000021068_ENSNSUG00000014453,0.81,0.8,0.8,1.0,0.96,0.81,0.81,0.82,0.79,0.65,0.76,0.74,0.74,0.72,0.71,0.72,0.71
ENSNSUT00000021069_ENSNSUG00000014453,0.8,0.79,0.79,0.96,1.0,0.8,0.8,0.81,0.76,0.65,0.74,0.73,0.73,0.71,0.7,0.71,0.7
ENSSMRT00000029054_ENSSMRG00000019183,0.84,0.81,0.83,0.81,0.8,1.0,0.97,0.96,0.77,0.65,0.75,0.75,0.75,0.73,0.72,0.73,0.72
ENSSMRT00000029055_ENSSMRG00000019183,0.86,0.83,0.85,0.81,0.8,0.97,1.0,0.98,0.77,0.65,0.75,0.76,0.76,0.75,0.74,0.75,0.74
ENSSMRT00000029056_ENSSMRG00000019183,0.85,0.84,0.84,0.82,0.81,0.96,0.98,1.0,0.78,0.65,0.76,0.78,0.78,0.76,0.75,0.76,0.75
ENSSPUT00000005405_ENSSPUG00000003842,0.78,0.77,0.77,0.79,0.76,0.77,0.77,0.78,1.0,0.84,0.81,0.8,0.8,0.77,0.77,0.78,0.77
ENSSPUT00000005435_ENSSPUG00000003842,0.66,0.66,0.66,0.65,0.65,0.65,0.65,0.65,0.84,1.0,0.66,0.66,0.66,0.64,0.64,0.64,0.64
ENSAHAT00000007309_ENSAHAG00000004859,0.76,0.74,0.74,0.76,0.74,0.75,0.75,0.76,0.81,0.66,1.0,0.94,0.94,0.87,0.86,0.87,0.86
ENSDNVT00000017153_ENSDNVG00000010051,0.77,0.76,0.76,0.74,0.73,0.75,0.76,0.78,0.8,0.66,0.94,1.0,0.99,0.89,0.87,0.88,0.87
ENSDNVT00000017179_ENSDNVG00000010051,0.77,0.76,0.76,0.74,0.73,0.75,0.76,0.78,0.8,0.66,0.94,0.99,1.0,0.89,0.87,0.88,0.87
ENSZALT00000019003_ENSZALG00000011609,0.76,0.75,0.75,0.72,0.71,0.73,0.75,0.76,0.77,0.64,0.87,0.89,0.89,1.0,0.98,0.94,0.93
ENSZALT00000019004_ENSZALG00000011609,0.74,0.75,0.75,0.71,0.7,0.72,0.74,0.75,0.77,0.64,0.86,0.87,0.87,0.98,1.0,0.93,0.92
ENSSCAT00000006514_ENSSCAG00000004518,0.76,0.75,0.75,0.72,0.71,0.73,0.75,0.76,0.78,0.64,0.87,0.88,0.88,0.94,0.93,1.0,0.98
ENSSCAT00000006523_ENSSCAG00000004518,0.75,0.74,0.74,0.71,0.7,0.72,0.74,0.75,0.77,0.64,0.86,0.87,0.87,0.93,0.92,0.98,1.0
