,ENSKMAT00000029772_ENSKMAG00000021773,ENSKMAT00000029785_ENSKMAG00000021773,ENSXMAT00000024542_ENSXMAG00000014115,ENSXMAT00000014181_ENSXMAG00000014115,ENSSPAT00000027515_ENSSPAG00000020364,ENSPRNT00000024105_ENSPRNG00000008469,ENSPRNT00000024456_ENSPRNG00000008469,ENSPRNT00000024480_ENSPRNG00000008469,ENSPRNT00000024522_ENSPRNG00000008469,ENSPRNT00000024537_ENSPRNG00000008469,ENSHHUT00000069093_ENSHHUG00000039422,ENSPSIT00000009625_ENSPSIG00000008708,ENSNPET00000010040_ENSNPEG00000007330,ENSOART00000013625_ENSOARG00000012525
ENSKMAT00000029772_ENSKMAG00000021773,1.0,0.98,0.88,0.87,0.88,0.85,0.84,0.82,0.84,0.85,0.59,0.67,0.69,0.7
ENSKMAT00000029785_ENSKMAG00000021773,0.98,1.0,0.87,0.87,0.87,0.84,0.83,0.81,0.84,0.86,0.59,0.66,0.68,0.69
ENSXMAT00000024542_ENSXMAG00000014115,0.88,0.87,1.0,0.99,0.87,0.84,0.82,0.8,0.83,0.84,0.57,0.67,0.69,0.7
ENSXMAT00000014181_ENSXMAG00000014115,0.87,0.87,0.99,1.0,0.87,0.84,0.82,0.8,0.83,0.85,0.57,0.66,0.69,0.7
ENSSPAT00000027515_ENSSPAG00000020364,0.88,0.87,0.87,0.87,1.0,0.87,0.86,0.84,0.86,0.87,0.6,0.67,0.7,0.69
ENSPRNT00000024105_ENSPRNG00000008469,0.85,0.84,0.84,0.84,0.87,1.0,0.98,0.96,0.98,0.97,0.58,0.69,0.7,0.71
ENSPRNT00000024456_ENSPRNG00000008469,0.84,0.83,0.82,0.82,0.86,0.98,1.0,0.97,0.96,0.98,0.58,0.68,0.68,0.69
ENSPRNT00000024480_ENSPRNG00000008469,0.82,0.81,0.8,0.8,0.84,0.96,0.97,1.0,0.96,0.96,0.58,0.66,0.67,0.67
ENSPRNT00000024522_ENSPRNG00000008469,0.84,0.84,0.83,0.83,0.86,0.98,0.96,0.96,1.0,0.96,0.58,0.69,0.69,0.7
ENSPRNT00000024537_ENSPRNG00000008469,0.85,0.86,0.84,0.85,0.87,0.97,0.98,0.96,0.96,1.0,0.58,0.69,0.69,0.7
ENSHHUT00000069093_ENSHHUG00000039422,0.59,0.59,0.57,0.57,0.6,0.58,0.58,0.58,0.58,0.58,1.0,0.49,0.5,0.46
ENSPSIT00000009625_ENSPSIG00000008708,0.67,0.66,0.67,0.66,0.67,0.69,0.68,0.66,0.69,0.69,0.49,1.0,0.81,0.79
ENSNPET00000010040_ENSNPEG00000007330,0.69,0.68,0.69,0.69,0.7,0.7,0.68,0.67,0.69,0.69,0.5,0.81,1.0,0.78
ENSOART00000013625_ENSOARG00000012525,0.7,0.69,0.7,0.7,0.69,0.71,0.69,0.67,0.7,0.7,0.46,0.79,0.78,1.0
