,ENSSMRT00000022901_ENSSMRG00000015217,ENSSMRT00000022902_ENSSMRG00000015217,ENSPVIT00000003968_ENSPVIG00000002587,ENSPVIT00000003973_ENSPVIG00000002587,ENSPVIT00000003988_ENSPVIG00000002587,ENSSPUT00000002148_ENSSPUG00000001583,ENSSPUT00000002150_ENSSPUG00000001583,ENSMVIT00005008257_ENSMVIG00005005434,ENSLCOT00000018582_ENSLCOG00000012442,ENSPMJT00000006725_ENSPMJG00000004142,ENSPMJT00000006728_ENSPMJG00000004142,ENSCCET00000019047_ENSCCEG00000011829,ENSCCET00000019049_ENSCCEG00000011829,ENSFALT00000013072_ENSFALG00000012471,ENSJHYT00000025367_ENSJHYG00000015906,ENSJHYT00000025369_ENSJHYG00000015906,ENSCPGT00000025056_ENSCPGG00000015900,ENSCPGT00000025058_ENSCPGG00000015900,ENSCPUT00000017848_ENSCPUG00000010488,ENSCPUT00000017849_ENSCPUG00000010488,ENSGALT00000104400_ENSGALG00000047393,ENSGALT00000104695_ENSGALG00000047393,ENSGALT00000103409_ENSGALG00000047393,ENSCJPT00005013401_ENSCJPG00005007893,ENSNMET00000009080_ENSNMEG00000005559,ENSNMET00000009081_ENSNMEG00000005559,ENSMUNT00000008808_ENSMUNG00000006103,ENSARWT00000030511_ENSARWG00000018239,ENSAOWT00000005404_ENSAOWG00000003312,ENSDNVT00000026875_ENSDNVG00000015520,ENSDNVT00000026878_ENSDNVG00000015520
ENSSMRT00000022901_ENSSMRG00000015217,1.0,0.92,0.59,0.55,0.63,0.42,0.42,0.45,0.56,0.45,0.55,0.55,0.47,0.53,0.48,0.55,0.47,0.54,0.47,0.54,0.49,0.49,0.55,0.53,0.5,0.5,0.43,0.38,0.37,0.44,0.42
ENSSMRT00000022902_ENSSMRG00000015217,0.92,1.0,0.6,0.55,0.63,0.51,0.51,0.53,0.57,0.55,0.55,0.55,0.56,0.54,0.55,0.56,0.54,0.55,0.54,0.55,0.55,0.55,0.56,0.54,0.56,0.56,0.5,0.45,0.44,0.52,0.5
ENSPVIT00000003968_ENSPVIG00000002587,0.59,0.6,1.0,0.85,0.86,0.55,0.53,0.57,0.55,0.52,0.53,0.53,0.52,0.58,0.52,0.53,0.5,0.51,0.5,0.51,0.52,0.52,0.53,0.51,0.53,0.53,0.54,0.45,0.43,0.54,0.5
ENSPVIT00000003973_ENSPVIG00000002587,0.55,0.55,0.85,1.0,0.83,0.55,0.54,0.55,0.53,0.51,0.52,0.52,0.52,0.55,0.49,0.5,0.48,0.49,0.49,0.49,0.51,0.51,0.52,0.49,0.52,0.52,0.52,0.45,0.43,0.52,0.49
ENSPVIT00000003988_ENSPVIG00000002587,0.63,0.63,0.86,0.83,1.0,0.55,0.54,0.56,0.57,0.55,0.56,0.54,0.54,0.56,0.55,0.55,0.53,0.53,0.52,0.53,0.55,0.55,0.56,0.54,0.56,0.56,0.52,0.46,0.44,0.53,0.5
ENSSPUT00000002148_ENSSPUG00000001583,0.42,0.51,0.55,0.55,0.55,1.0,0.86,0.51,0.58,0.45,0.54,0.54,0.48,0.55,0.45,0.53,0.5,0.57,0.5,0.58,0.5,0.5,0.58,0.57,0.5,0.5,0.51,0.48,0.48,0.56,0.55
ENSSPUT00000002150_ENSSPUG00000001583,0.42,0.51,0.53,0.54,0.54,0.86,1.0,0.48,0.55,0.43,0.51,0.52,0.46,0.51,0.42,0.5,0.47,0.55,0.47,0.55,0.47,0.47,0.56,0.55,0.47,0.47,0.48,0.45,0.45,0.52,0.55
ENSMVIT00005008257_ENSMVIG00005005434,0.45,0.53,0.57,0.55,0.56,0.51,0.48,1.0,0.84,0.67,0.66,0.66,0.65,0.67,0.66,0.66,0.71,0.71,0.71,0.71,0.67,0.68,0.71,0.68,0.69,0.69,0.72,0.65,0.63,0.71,0.66
ENSLCOT00000018582_ENSLCOG00000012442,0.56,0.57,0.55,0.53,0.57,0.58,0.55,0.84,1.0,0.67,0.68,0.67,0.66,0.65,0.73,0.74,0.75,0.77,0.75,0.77,0.74,0.74,0.76,0.74,0.75,0.75,0.71,0.68,0.66,0.71,0.67
ENSPMJT00000006725_ENSPMJG00000004142,0.45,0.55,0.52,0.51,0.55,0.45,0.43,0.67,0.67,1.0,0.88,0.82,0.83,0.73,0.75,0.73,0.63,0.62,0.63,0.62,0.61,0.62,0.63,0.61,0.63,0.63,0.62,0.55,0.54,0.59,0.56
