,ENSDCDT00000007806_ENSDCDG00000003706,ENSDCDT00000007812_ENSDCDG00000003708,ENSCHAT00000040403_ENSCHAG00000015864,ENSCHAT00000040519_ENSCHAG00000015864,ENSCHAT00000040769_ENSCHAG00000015864,ENSCHAT00000040859_ENSCHAG00000015864,ENSCHAT00000040965_ENSCHAG00000015864,ENSCHAT00000041093_ENSCHAG00000015864,ENSCHAT00000041148_ENSCHAG00000015864,ENSCHAT00000041200_ENSCHAG00000015864,ENSCHAT00000041216_ENSCHAG00000015864,ENSEEET00000033342_ENSEEEG00000015689,ENSAMXT00000017923_ENSAMXG00000017413,ENSAMXT00000030301_ENSAMXG00000017413,ENSAMXT00000038969_ENSAMXG00000017413
ENSDCDT00000007806_ENSDCDG00000003706,1.0,1e-18,0.61,0.61,0.61,0.61,0.62,0.62,0.6,0.6,0.63,0.66,0.56,0.57,0.57
ENSDCDT00000007812_ENSDCDG00000003708,1e-18,1.0,0.68,0.66,0.64,0.63,0.64,0.65,0.66,0.63,0.64,1e-18,0.66,0.67,0.68
ENSCHAT00000040403_ENSCHAG00000015864,0.61,0.68,1.0,0.96,0.91,0.9,0.91,0.94,0.91,0.91,0.9,0.6,0.7,0.75,0.74
ENSCHAT00000040519_ENSCHAG00000015864,0.61,0.66,0.96,1.0,0.91,0.91,0.91,0.96,0.93,0.91,0.9,0.6,0.69,0.73,0.72
ENSCHAT00000040769_ENSCHAG00000015864,0.61,0.64,0.91,0.91,1.0,0.93,0.96,0.9,0.9,0.96,0.95,0.6,0.65,0.67,0.67
ENSCHAT00000040859_ENSCHAG00000015864,0.61,0.63,0.9,0.91,0.93,1.0,0.93,0.9,0.9,0.92,0.92,0.6,0.64,0.67,0.67
ENSCHAT00000040965_ENSCHAG00000015864,0.62,0.64,0.91,0.91,0.96,0.93,1.0,0.9,0.9,0.96,0.95,0.6,0.66,0.68,0.68
ENSCHAT00000041093_ENSCHAG00000015864,0.62,0.65,0.94,0.96,0.9,0.9,0.9,1.0,0.93,0.89,0.89,0.59,0.68,0.71,0.71
ENSCHAT00000041148_ENSCHAG00000015864,0.6,0.66,0.91,0.93,0.9,0.9,0.9,0.93,1.0,0.89,0.89,0.58,0.68,0.68,0.68
ENSCHAT00000041200_ENSCHAG00000015864,0.6,0.63,0.91,0.91,0.96,0.92,0.96,0.89,0.89,1.0,0.95,0.6,0.65,0.67,0.67
ENSCHAT00000041216_ENSCHAG00000015864,0.63,0.64,0.9,0.9,0.95,0.92,0.95,0.89,0.89,0.95,1.0,0.61,0.65,0.67,0.67
ENSEEET00000033342_ENSEEEG00000015689,0.66,1e-18,0.6,0.6,0.6,0.6,0.6,0.59,0.58,0.6,0.61,1.0,0.62,0.65,0.65
ENSAMXT00000017923_ENSAMXG00000017413,0.56,0.66,0.7,0.69,0.65,0.64,0.66,0.68,0.68,0.65,0.65,0.62,1.0,0.93,0.93
ENSAMXT00000030301_ENSAMXG00000017413,0.57,0.67,0.75,0.73,0.67,0.67,0.68,0.71,0.68,0.67,0.67,0.65,0.93,1.0,0.98
ENSAMXT00000038969_ENSAMXG00000017413,0.57,0.68,0.74,0.72,0.67,0.67,0.68,0.71,0.68,0.67,0.67,0.65,0.93,0.98,1.0
