,ENSMVIT00005011686_ENSMVIG00005007534,ENSMVIT00005011692_ENSMVIG00005007534,ENSLCOT00000013880_ENSLCOG00000009454,ENSCCET00000008373_ENSCCEG00000005571,ENSCCET00000008379_ENSCCEG00000005571,ENSPMJT00000006938_ENSPMJG00000004270,ENSLSDT00000022521_ENSLSDG00000014134,ENSLSDT00000022524_ENSLSDG00000014134,ENSJHYT00000003851_ENSJHYG00000002536,ENSZALT00000008017_ENSZALG00000005013,ENSSCAT00000019952_ENSSCAG00000012927,ENSFALT00000005491_ENSFALG00000005250,ENSCPUT00000004652_ENSCPUG00000002906,ENSCPUT00000004660_ENSCPUG00000002906,ENSCPGT00000015157_ENSCPGG00000009790,ENSCPGT00000015172_ENSCPGG00000009790,ENSMUNT00000008898_ENSMUNG00000006156,ENSABRT00000031445_ENSABRG00000018904,ENSAPLT00000009343_ENSAPLG00000008950,ENSAPLT00000043587_ENSAPLG00000008950,ENSGALT00000006810_ENSGALG00000004285,ENSGALT00000092088_ENSGALG00000004285,ENSCJPT00005001615_ENSCJPG00005001004,ENSMGAT00000004447_ENSMGAG00000003970,ENSNMET00000027040_ENSNMEG00000015941,ENSNMET00000027041_ENSNMEG00000015941,ENSAHAT00000000705_ENSAHAG00000000540,ENSAOWT00000007354_ENSAOWG00000004469,ENSARWT00000002375_ENSARWG00000001556,ENSDNVT00000001153_ENSDNVG00000000718,ENSNPET00000015276_ENSNPEG00000011137,ENSCPRT00005019774_ENSCPRG00005011728,ENSCPRT00005019779_ENSCPRG00005011728,ENSGAGT00000034368_ENSGAGG00000021816,ENSCABT00000029879_ENSCABG00000019968,ENSCPBT00000045461_ENSCPBG00000026775,ENSPSIT00000014204_ENSPSIG00000012689,ENSACAT00000016896_ENSACAG00000016803,ENSPVIT00000039503_ENSPVIG00000023647,ENSPVIT00000039505_ENSPVIG00000023647,ENSPVIT00000039506_ENSPVIG00000023647,ENSNSUT00000021502_ENSNSUG00000014724,ENSSMRT00000008579_ENSSMRG00000005888,ENSSPUT00000019084_ENSSPUG00000013849,ENSPEMT00000017645_ENSPEMG00000013465,ENSMOCT00000015888_ENSMOCG00000012352,ENSMOCT00000015894_ENSMOCG00000012352,ENSCGRT00001018808_ENSCGRG00001015386,ENSCGRT00000002622_ENSCGRG00000001884,ENSCGRT00000002623_ENSCGRG00000001884
ENSMVIT00005011686_ENSMVIG00005007534,1.0,0.91,0.9,0.97,0.88,0.88,0.97,0.88,0.87,0.96,0.88,0.87,0.97,0.88,0.97,0.88,0.87,0.87,0.87,0.8,0.87,0.96,0.86,0.86,0.95,0.79,0.87,0.87,0.87,0.86,0.85,0.82,0.8,0.83,0.83,0.85,0.82,0.79,0.88,0.79,0.79,0.78,0.79,0.79,0.79,0.8,0.49,0.79,0.79,0.49
ENSMVIT00005011692_ENSMVIG00005007534,0.91,1.0,0.99,0.88,0.97,0.97,0.88,0.97,0.96,0.87,0.97,0.96,0.88,0.97,0.88,0.97,0.96,0.96,0.96,0.88,0.96,0.87,0.96,0.95,0.86,0.79,0.95,0.95,0.96,0.95,0.94,0.91,0.8,0.92,0.92,0.85,0.92,0.89,0.79,0.79,0.89,0.87,0.89,0.89,0.88,0.89,0.46,0.88,0.88,0.46
ENSLCOT00000013880_ENSLCOG00000009454,0.9,0.99,1.0,0.88,0.97,0.97,0.88,0.97,0.96,0.87,0.96,0.96,0.88,0.97,0.87,0.96,0.96,0.96,0.96,0.88,0.96,0.87,0.95,0.95,0.86,0.79,0.95,0.95,0.95,0.95,0.94,0.91,0.8,0.92,0.92,0.85,0.92,0.88,0.79,0.79,0.89,0.87,0.88,0.88,0.88,0.89,0.46,0.88,0.88,0.46
ENSCCET00000008373_ENSCCEG00000005571,0.97,0.88,0.88,1.0,0.91,0.91,0.99,0.9,0.89,0.98,0.89,0.89,0.96,0.87,0.96,0.87,0.87,0.86,0.86,0.79,0.86,0.95,0.86,0.86,0.95,0.79,0.86,0.86,0.86,0.86,0.85,0.82,0.79,0.83,0.82,0.84,0.82,0.79,0.88,0.79,0.79,0.77,0.78,0.79,0.79,0.79,0.48,0.79,0.79,0.49
ENSCCET00000008379_ENSCCEG00000005571,0.88,0.97,0.97,0.91,1.0,1.0,0.9,0.99,0.98,0.89,0.98,0.98,0.87,0.96,0.87,0.96,0.96,0.95,0.95,0.88,0.95,0.86,0.95,0.95,0.86,0.79,0.95,0.95,0.95,0.95,0.94,0.91,0.79,0.92,0.92,0.84,0.91,0.88,0.79,0.79,0.88,0.86,0.88,0.88,0.88,0.88,0.45,0.88,0.88,0.45
ENSPMJT00000006938_ENSPMJG00000004270,0.88,0.97,0.97,0.91,1.0,1.0,0.89,0.98,0.97,0.88,0.98,0.98,0.87,0.96,0.87,0.96,0.96,0.95,0.95,0.88,0.95,0.86,0.95,0.95,0.86,0.79,0.95,0.95,0.95,0.95,0.94,0.91,0.8,0.92,0.92,0.85,0.91,0.88,0.79,0.79,0.89,0.86,0.88,0.89,0.88,0.88,0.45,0.88,0.88,0.45
ENSLSDT00000022521_ENSLSDG00000014134,0.97,0.88,0.88,0.99,0.9,0.89,1.0,0.91,0.89,0.98,0.89,0.89,0.96,0.86,0.95,0.86,0.86,0.86,0.86,0.79,0.86,0.95,0.85,0.85,0.95,0.78,0.86,0.86,0.86,0.85,0.85,0.82,0.8,0.83,0.83,0.84,0.82,0.79,0.89,0.79,0.79,0.77,0.79,0.79,0.79,0.8,0.49,0.79,0.79,0.49
ENSLSDT00000022524_ENSLSDG00000014134,0.88,0.97,0.97,0.9,0.99,0.98,0.91,1.0,0.98,0.89,0.98,0.98,0.86,0.95,0.86,0.95,0.95,0.95,0.95,0.88,0.95,0.86,0.94,0.95,0.85,0.78,0.95,0.95,0.95,0.95,0.94,0.91,0.8,0.92,0.92,0.84,0.91,0.88,0.79,0.79,0.88,0.86,0.88,0.88,0.88,0.89,0.45,0.88,0.88,0.45
ENSJHYT00000003851_ENSJHYG00000002536,0.87,0.96,0.96,0.89,0.98,0.97,0.89,0.98,1.0,0.91,0.99,0.98,0.86,0.95,0.85,0.94,0.95,0.95,0.95,0.87,0.95,0.86,0.94,0.94,0.85,0.78,0.94,0.94,0.94,0.94,0.93,0.91,0.79,0.91,0.91,0.84,0.91,0.88,0.79,0.79,0.88,0.86,0.88,0.88,0.89,0.89,0.46,0.88,0.88,0.45
ENSZALT00000008017_ENSZALG00000005013,0.96,0.87,0.87,0.98,0.89,0.88,0.98,0.89,0.91,1.0,0.89,0.89,0.95,0.86,0.94,0.85,0.86,0.86,0.86,0.79,0.85,0.95,0.85,0.85,0.94,0.78,0.85,0.85,0.85,0.85,0.84,0.82,0.79,0.82,0.82,0.84,0.82,0.78,0.88,0.79,0.79,0.77,0.79,0.79,0.79,0.8,0.49,0.79,0.79,0.49
