,ENSEEET00000050881_ENSEEEG00000023664,ENSPNAT00000003820_ENSPNAG00000002201,ENSDCDT00000017503_ENSDCDG00000009470,ENSHHUT00000042362_ENSHHUG00000025217,ENSHHUT00000024305_ENSHHUG00000014691,ENSHHUT00000024308_ENSHHUG00000014691,ENSELUT00000034488_ENSELUG00000022198,ENSELUT00000042642_ENSELUG00000022198,ENSLCRT00005066357_ENSLCRG00005023831,ENSCGOT00000041530_ENSCGOG00000017757,ENSCSET00000007843_ENSCSEG00000005001,ENSCSET00000007847_ENSCSEG00000005001,ENSCSET00000007850_ENSCSEG00000005001,ENSMAMT00000031789_ENSMAMG00000020872,ENSMALT00000031329_ENSMALG00000021273,ENSATET00000011724_ENSATEG00000008066,ENSBSLT00000002544_ENSBSLG00000001213,ENSBSLT00000002548_ENSBSLG00000001213,ENSLBET00000012723_ENSLBEG00000009287,ENSLBET00000012737_ENSLBEG00000009287,ENSLBET00000012761_ENSLBEG00000009287,ENSLBET00000012790_ENSLBEG00000009287,ENSLBET00000012818_ENSLBEG00000009287,ENSSDUT00000012158_ENSSDUG00000008688
ENSEEET00000050881_ENSEEEG00000023664,1.0,0.56,0.58,0.73,0.67,0.67,0.65,0.65,0.64,0.62,0.6,0.6,0.6,0.65,0.62,0.65,0.66,0.66,0.03,0.03,0.02,0.66,0.67,0.63
ENSPNAT00000003820_ENSPNAG00000002201,0.56,1.0,0.37,0.48,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.46,0.42,0.46,0.42,0.42,0.4,0.4,0.38,0.43,0.45,0.41
ENSDCDT00000017503_ENSDCDG00000009470,0.58,0.37,1.0,0.43,0.49,0.53,0.52,0.52,0.53,0.53,0.44,0.51,0.44,0.47,0.49,0.43,0.53,0.47,0.42,0.41,0.41,0.43,0.44,0.53
ENSHHUT00000042362_ENSHHUG00000025217,0.73,0.48,0.43,1.0,0.77,0.77,0.68,0.68,0.57,0.57,0.53,0.53,0.53,0.62,0.55,0.66,0.58,0.58,0.59,0.57,0.57,0.61,0.66,0.59
ENSHHUT00000024305_ENSHHUG00000014691,0.67,0.42,0.49,0.77,1.0,0.87,0.75,0.75,0.64,0.64,0.55,0.6,0.55,0.6,0.65,0.55,0.64,0.64,0.55,0.52,0.54,0.56,0.56,0.65
ENSHHUT00000024308_ENSHHUG00000014691,0.67,0.42,0.53,0.77,0.87,1.0,0.78,0.78,0.67,0.68,0.56,0.63,0.56,0.61,0.62,0.55,0.67,0.61,0.55,0.52,0.54,0.56,0.56,0.69
ENSELUT00000034488_ENSELUG00000022198,0.65,0.42,0.52,0.68,0.75,0.78,1.0,0.9,0.65,0.65,0.54,0.61,0.54,0.59,0.6,0.53,0.65,0.59,0.52,0.5,0.52,0.54,0.54,0.67
ENSELUT00000042642_ENSELUG00000022198,0.65,0.42,0.52,0.68,0.75,0.78,0.9,1.0,0.65,0.65,0.54,0.61,0.54,0.59,0.6,0.53,0.65,0.59,0.52,0.5,0.52,0.54,0.54,0.67
ENSLCRT00005066357_ENSLCRG00005023831,0.64,0.42,0.53,0.57,0.64,0.67,0.65,0.65,1.0,0.83,0.67,0.73,0.67,0.75,0.77,0.7,0.79,0.72,0.7,0.68,0.7,0.71,0.71,0.81
ENSCGOT00000041530_ENSCGOG00000017757,0.62,0.41,0.53,0.57,0.64,0.68,0.65,0.65,0.83,1.0,0.67,0.73,0.67,0.75,0.76,0.7,0.79,0.72,0.69,0.67,0.69,0.71,0.71,0.81
