,ENSTRUT00000054122_ENSTRUG00000017712,ENSTRUT00000045557_ENSTRUG00000017712,ENSTNIT00000020292_ENSTNIG00000016941,ENSMMOT00000002084_ENSMMOG00000001702,ENSGWIT00000036868_ENSGWIG00000017454,ENSGWIT00000036873_ENSGWIG00000017454,ENSGWIT00000036909_ENSGWIG00000017454,ENSGWIT00000036951_ENSGWIG00000017454,ENSCGOT00000035777_ENSCGOG00000015449,ENSGACT00000006465_ENSGACG00000004883,ENSSMAT00000024035_ENSSMAG00000014503
ENSTRUT00000054122_ENSTRUG00000017712,1.0,0.95,0.68,0.69,0.62,0.62,0.7,0.71,0.74,0.64,0.73
ENSTRUT00000045557_ENSTRUG00000017712,0.95,1.0,0.68,0.69,0.62,0.62,0.7,0.71,0.74,0.64,0.73
ENSTNIT00000020292_ENSTNIG00000016941,0.68,0.68,1.0,0.62,0.54,0.54,0.58,0.59,0.6,0.57,0.59
ENSMMOT00000002084_ENSMMOG00000001702,0.69,0.69,0.62,1.0,0.64,0.64,0.68,0.69,0.71,0.67,0.72
ENSGWIT00000036868_ENSGWIG00000017454,0.62,0.62,0.54,0.64,1.0,0.88,0.87,0.87,0.63,0.68,0.64
ENSGWIT00000036873_ENSGWIG00000017454,0.62,0.62,0.54,0.64,0.88,1.0,0.87,0.87,0.63,0.64,0.64
ENSGWIT00000036909_ENSGWIG00000017454,0.7,0.7,0.58,0.68,0.87,0.87,1.0,0.95,0.72,0.63,0.72
ENSGWIT00000036951_ENSGWIG00000017454,0.71,0.71,0.59,0.69,0.87,0.87,0.95,1.0,0.73,0.64,0.74
ENSCGOT00000035777_ENSCGOG00000015449,0.74,0.74,0.6,0.71,0.63,0.63,0.72,0.73,1.0,0.69,0.78
ENSGACT00000006465_ENSGACG00000004883,0.64,0.64,0.57,0.67,0.68,0.64,0.63,0.64,0.69,1.0,0.68
ENSSMAT00000024035_ENSSMAG00000014503,0.73,0.73,0.59,0.72,0.64,0.64,0.72,0.74,0.78,0.68,1.0
