,ENSHHUT00000012419_ENSHHUG00000007362,ENSPKIT00000039748_ENSPKIG00000002053,ENSECRT00000015671_ENSECRG00000010275,ENSDCDT00000032702_ENSDCDG00000018262,ENSDCDT00000032878_ENSDCDG00000018262,ENSDCDT00000032899_ENSDCDG00000018262,ENSDCDT00000033241_ENSDCDG00000018262,ENSDCDT00000033352_ENSDCDG00000018262,ENSDCDT00000033353_ENSDCDG00000018262,ENSDCDT00000033387_ENSDCDG00000018262,ENSDCDT00000033391_ENSDCDG00000018262,ENSDCDT00000036979_ENSDCDG00000020168,ENSDCDT00000036980_ENSDCDG00000020168,ENSDCDT00000037034_ENSDCDG00000020168,ENSDCDT00000037108_ENSDCDG00000020168,ENSDCDT00000037171_ENSDCDG00000020168,ENSDCDT00000037172_ENSDCDG00000020168,ENSDCDT00000037193_ENSDCDG00000020168,ENSDCDT00000022111_ENSDCDG00000012757,ENSDCDT00000022133_ENSDCDG00000012757,ENSDCDT00000022291_ENSDCDG00000012757,ENSDCDT00000022317_ENSDCDG00000012757,ENSDCDT00000022327_ENSDCDG00000012757,ENSDCDT00000022354_ENSDCDG00000012757,ENSDCDT00000022358_ENSDCDG00000012757,ENSDCDT00000022366_ENSDCDG00000012757,ENSDCDT00000022385_ENSDCDG00000012757,ENSCHAT00000001924_ENSCHAG00000001231
ENSHHUT00000012419_ENSHHUG00000007362,1.0,0.61,0.62,0.59,0.59,0.59,0.6,0.6,0.6,0.6,0.6,0.62,0.62,0.62,0.63,0.64,0.64,0.64,0.59,0.59,0.6,0.6,0.6,0.59,0.6,0.6,0.6,0.59
ENSPKIT00000039748_ENSPKIG00000002053,0.61,1.0,0.45,0.55,0.53,0.54,0.53,0.53,0.53,0.51,0.55,0.54,0.53,0.56,0.54,0.54,0.54,0.54,0.53,0.53,0.53,0.52,0.53,0.54,0.53,0.51,0.53,0.54
ENSECRT00000015671_ENSECRG00000010275,0.62,0.45,1.0,0.45,0.45,0.45,0.45,0.45,0.47,0.48,0.52,0.43,0.47,0.46,0.45,0.46,0.48,0.48,0.45,0.45,0.44,0.45,0.46,0.5,0.47,0.48,0.47,0.45
ENSDCDT00000032702_ENSDCDG00000018262,0.59,0.55,0.45,1.0,0.85,0.86,0.87,0.85,0.84,0.83,0.84,0.83,0.82,0.82,0.84,0.83,0.83,0.83,0.84,0.86,0.84,0.83,0.83,0.82,0.84,0.83,0.84,0.58
ENSDCDT00000032878_ENSDCDG00000018262,0.59,0.53,0.45,0.85,1.0,0.87,0.88,0.86,0.84,0.87,0.84,0.9,0.85,0.82,0.85,0.84,0.84,0.84,0.93,0.87,0.85,0.84,0.84,0.82,0.84,0.87,0.84,0.61
ENSDCDT00000032899_ENSDCDG00000018262,0.59,0.54,0.45,0.86,0.87,1.0,0.9,0.86,0.84,0.84,0.84,0.84,0.82,0.82,0.85,0.84,0.84,0.84,0.87,0.93,0.85,0.84,0.84,0.82,0.84,0.84,0.84,0.61
ENSDCDT00000033241_ENSDCDG00000018262,0.6,0.53,0.45,0.87,0.88,0.9,1.0,0.87,0.85,0.84,0.85,0.85,0.82,0.83,0.86,0.84,0.85,0.85,0.88,0.9,0.86,0.84,0.84,0.82,0.85,0.84,0.85,0.61
ENSDCDT00000033352_ENSDCDG00000018262,0.6,0.53,0.45,0.85,0.86,0.86,0.87,1.0,0.85,0.84,0.85,0.83,0.82,0.83,0.86,0.84,0.85,0.85,0.85,0.85,0.86,0.84,0.84,0.82,0.85,0.84,0.85,0.61
ENSDCDT00000033353_ENSDCDG00000018262,0.6,0.53,0.47,0.84,0.84,0.84,0.85,0.85,1.0,0.85,0.86,0.82,0.82,0.84,0.85,0.83,0.9,0.86,0.84,0.84,0.85,0.83,0.88,0.85,0.9,0.85,0.86,0.59
ENSDCDT00000033387_ENSDCDG00000018262,0.6,0.51,0.48,0.83,0.87,0.84,0.84,0.84,0.85,1.0,0.85,0.85,0.9,0.83,0.84,0.82,0.85,0.85,0.87,0.84,0.84,0.83,0.84,0.82,0.85,0.94,0.85,0.59
