,ENSACAT00000002839_ENSACAG00000002830,ENSPVIT00000030535_ENSPVIG00000018613,ENSNSUT00000026534_ENSNSUG00000018011,ENSSMRT00000013811_ENSSMRG00000009300,ENSCJPT00005012432_ENSCJPG00005007345,ENSMGAT00000018348_ENSMGAG00000016597,ENSGALT00000007742_ENSGALG00000004849,ENSNMET00000036243_ENSNMEG00000021100,ENSNMET00000036244_ENSNMEG00000021100,ENSNMET00000036246_ENSNMEG00000021100,ENSABRT00000035664_ENSABRG00000021350,ENSCPUT00000007400_ENSCPUG00000004458,ENSCPUT00000007403_ENSCPUG00000004458,ENSCPUT00000007406_ENSCPUG00000004458,ENSCPGT00000028644_ENSCPGG00000018078,ENSMUNT00000024161_ENSMUNG00000016010,ENSLCOT00000015906_ENSLCOG00000010773,ENSMVIT00005026846_ENSMVIG00005016707
ENSACAT00000002839_ENSACAG00000002830,1.0,0.78,0.7,0.77,0.71,0.62,0.67,0.68,0.68,0.71,0.72,0.73,0.68,0.67,0.7,0.66,0.73,0.72
ENSPVIT00000030535_ENSPVIG00000018613,0.78,1.0,0.72,0.75,0.7,0.61,0.68,0.67,0.67,0.71,0.72,0.72,0.67,0.66,0.69,0.66,0.71,0.71
ENSNSUT00000026534_ENSNSUG00000018011,0.7,0.72,1.0,0.72,0.67,0.63,0.69,0.65,0.65,0.67,0.67,0.69,0.66,0.63,0.67,0.62,0.69,0.69
ENSSMRT00000013811_ENSSMRG00000009300,0.77,0.75,0.72,1.0,0.69,0.61,0.66,0.66,0.66,0.69,0.69,0.71,0.66,0.65,0.68,0.66,0.71,0.71
ENSCJPT00005012432_ENSCJPG00005007345,0.71,0.7,0.67,0.69,1.0,0.82,0.84,0.86,0.86,0.89,0.81,0.79,0.75,0.74,0.76,0.74,0.78,0.79
ENSMGAT00000018348_ENSMGAG00000016597,0.62,0.61,0.63,0.61,0.82,1.0,0.81,0.81,0.81,0.83,0.74,0.72,0.69,0.69,0.69,0.69,0.71,0.72
ENSGALT00000007742_ENSGALG00000004849,0.67,0.68,0.69,0.66,0.84,0.81,1.0,0.83,0.83,0.85,0.77,0.76,0.74,0.72,0.74,0.71,0.75,0.76
ENSNMET00000036243_ENSNMEG00000021100,0.68,0.67,0.65,0.66,0.86,0.81,0.83,1.0,0.93,0.94,0.81,0.79,0.75,0.75,0.76,0.74,0.78,0.78
ENSNMET00000036244_ENSNMEG00000021100,0.68,0.67,0.65,0.66,0.86,0.81,0.83,0.93,1.0,0.94,0.81,0.79,0.75,0.75,0.76,0.74,0.78,0.78
ENSNMET00000036246_ENSNMEG00000021100,0.71,0.71,0.67,0.69,0.89,0.83,0.85,0.94,0.94,1.0,0.85,0.82,0.77,0.76,0.79,0.76,0.81,0.81
ENSABRT00000035664_ENSABRG00000021350,0.72,0.72,0.67,0.69,0.81,0.74,0.77,0.81,0.81,0.85,1.0,0.84,0.8,0.78,0.83,0.76,0.84,0.84
ENSCPUT00000007400_ENSCPUG00000004458,0.73,0.72,0.69,0.71,0.79,0.72,0.76,0.79,0.79,0.82,0.84,1.0,0.93,0.92,0.92,0.81,0.88,0.88
ENSCPUT00000007403_ENSCPUG00000004458,0.68,0.67,0.66,0.66,0.75,0.69,0.74,0.75,0.75,0.77,0.8,0.93,1.0,0.89,0.92,0.78,0.84,0.83
ENSCPUT00000007406_ENSCPUG00000004458,0.67,0.66,0.63,0.65,0.74,0.69,0.72,0.75,0.75,0.76,0.78,0.92,0.89,1.0,0.86,0.87,0.82,0.82
ENSCPGT00000028644_ENSCPGG00000018078,0.7,0.69,0.67,0.68,0.76,0.69,0.74,0.76,0.76,0.79,0.83,0.92,0.92,0.86,1.0,0.79,0.85,0.85
ENSMUNT00000024161_ENSMUNG00000016010,0.66,0.66,0.62,0.66,0.74,0.69,0.71,0.74,0.74,0.76,0.76,0.81,0.78,0.87,0.79,1.0,0.8,0.8
ENSLCOT00000015906_ENSLCOG00000010773,0.73,0.71,0.69,0.71,0.78,0.71,0.75,0.78,0.78,0.81,0.84,0.88,0.84,0.82,0.85,0.8,1.0,0.96
ENSMVIT00005026846_ENSMVIG00005016707,0.72,0.71,0.69,0.71,0.79,0.72,0.76,0.78,0.78,0.81,0.84,0.88,0.83,0.82,0.85,0.8,0.96,1.0
