,ENSCHAT00000067494_ENSCHAG00000027822,ENSCHAT00000067498_ENSCHAG00000027822,ENSCHAT00000067503_ENSCHAG00000027822,ENSCHAT00000067508_ENSCHAG00000027822,ENSCHAT00000067509_ENSCHAG00000027822,ENSCHAT00000067512_ENSCHAG00000027822,ENSCHAT00000067516_ENSCHAG00000027822,ENSCHAT00000067518_ENSCHAG00000027822,ENSCHAT00000067519_ENSCHAG00000027822,ENSDCDT00000064947_ENSDCDG00000030298,ENSDCDT00000064964_ENSDCDG00000030298,ENSDCDT00000064982_ENSDCDG00000030298,ENSDCDT00000065000_ENSDCDG00000030298,ENSDCDT00000065009_ENSDCDG00000030298,ENSDCDT00000065023_ENSDCDG00000030298,ENSDCDT00000065027_ENSDCDG00000030298,ENSDCDT00000065146_ENSDCDG00000030298,ENSDCDT00000065148_ENSDCDG00000030298,ENSDCDT00000065170_ENSDCDG00000030298,ENSAMXT00000005355_ENSAMXG00000005223
ENSCHAT00000067494_ENSCHAG00000027822,1.0,0.98,0.98,0.98,0.98,0.95,0.91,0.92,0.91,0.74,0.73,0.73,0.71,0.72,0.72,0.72,0.66,0.66,0.66,0.63
ENSCHAT00000067498_ENSCHAG00000027822,0.98,1.0,0.97,0.97,0.96,0.97,0.91,0.93,0.91,0.72,0.71,0.71,0.73,0.71,0.71,0.71,0.67,0.67,0.66,0.64
ENSCHAT00000067503_ENSCHAG00000027822,0.98,0.97,1.0,0.97,0.99,0.96,0.91,0.93,0.91,0.73,0.72,0.74,0.71,0.73,0.72,0.72,0.67,0.67,0.67,0.63
ENSCHAT00000067508_ENSCHAG00000027822,0.98,0.97,0.97,1.0,0.97,0.95,0.9,0.91,0.9,0.73,0.72,0.72,0.7,0.71,0.71,0.71,0.65,0.66,0.65,0.62
ENSCHAT00000067509_ENSCHAG00000027822,0.98,0.96,0.99,0.97,1.0,0.97,0.91,0.92,0.92,0.72,0.73,0.73,0.71,0.74,0.72,0.73,0.67,0.67,0.67,0.64
ENSCHAT00000067512_ENSCHAG00000027822,0.95,0.97,0.96,0.95,0.97,1.0,0.92,0.93,0.92,0.7,0.7,0.7,0.71,0.71,0.7,0.7,0.67,0.67,0.67,0.64
ENSCHAT00000067516_ENSCHAG00000027822,0.91,0.91,0.91,0.9,0.91,0.92,1.0,0.92,0.9,0.67,0.67,0.67,0.68,0.68,0.67,0.67,0.66,0.66,0.66,0.63
ENSCHAT00000067518_ENSCHAG00000027822,0.92,0.93,0.93,0.91,0.92,0.93,0.92,1.0,0.9,0.68,0.68,0.69,0.69,0.68,0.67,0.68,0.65,0.65,0.65,0.64
ENSCHAT00000067519_ENSCHAG00000027822,0.91,0.91,0.91,0.9,0.92,0.92,0.9,0.9,1.0,0.66,0.66,0.67,0.67,0.67,0.66,0.67,0.65,0.65,0.65,0.62
ENSDCDT00000064947_ENSDCDG00000030298,0.74,0.72,0.73,0.73,0.72,0.7,0.67,0.68,0.66,1.0,0.98,0.98,0.96,0.97,0.97,0.97,0.91,0.91,0.91,0.63
ENSDCDT00000064964_ENSDCDG00000030298,0.73,0.71,0.72,0.72,0.73,0.7,0.67,0.68,0.66,0.98,1.0,0.97,0.97,0.98,0.98,0.97,0.91,0.91,0.91,0.63
ENSDCDT00000064982_ENSDCDG00000030298,0.73,0.71,0.74,0.72,0.73,0.7,0.67,0.69,0.67,0.98,0.97,1.0,0.96,0.98,0.97,0.97,0.91,0.91,0.91,0.63
ENSDCDT00000065000_ENSDCDG00000030298,0.71,0.73,0.71,0.7,0.71,0.71,0.68,0.69,0.67,0.96,0.97,0.96,1.0,0.96,0.97,0.96,0.92,0.92,0.92,0.64
ENSDCDT00000065009_ENSDCDG00000030298,0.72,0.71,0.73,0.71,0.74,0.71,0.68,0.68,0.67,0.97,0.98,0.98,0.96,1.0,0.97,0.98,0.92,0.92,0.92,0.63
ENSDCDT00000065023_ENSDCDG00000030298,0.72,0.71,0.72,0.71,0.72,0.7,0.67,0.67,0.66,0.97,0.98,0.97,0.97,0.97,1.0,0.97,0.91,0.91,0.91,0.63
ENSDCDT00000065027_ENSDCDG00000030298,0.72,0.71,0.72,0.71,0.73,0.7,0.67,0.68,0.67,0.97,0.97,0.97,0.96,0.98,0.97,1.0,0.91,0.91,0.91,0.63
ENSDCDT00000065146_ENSDCDG00000030298,0.66,0.67,0.67,0.65,0.67,0.67,0.66,0.65,0.65,0.91,0.91,0.91,0.92,0.92,0.91,0.91,1.0,0.97,0.97,0.61
ENSDCDT00000065148_ENSDCDG00000030298,0.66,0.67,0.67,0.66,0.67,0.67,0.66,0.65,0.65,0.91,0.91,0.91,0.92,0.92,0.91,0.91,0.97,1.0,0.96,0.61
ENSDCDT00000065170_ENSDCDG00000030298,0.66,0.66,0.67,0.65,0.67,0.67,0.66,0.65,0.65,0.91,0.91,0.91,0.92,0.92,0.91,0.91,0.97,0.96,1.0,0.61
ENSAMXT00000005355_ENSAMXG00000005223,0.63,0.64,0.63,0.62,0.64,0.64,0.63,0.64,0.62,0.63,0.63,0.63,0.64,0.63,0.63,0.63,0.61,0.61,0.61,1.0
