,ENSCHAT00000037412_ENSCHAG00000015895,ENSCHAT00000037469_ENSCHAG00000015895,ENSCHAT00000037487_ENSCHAG00000015895,ENSCHAT00000037534_ENSCHAG00000015895,ENSCHAT00000037555_ENSCHAG00000015895,ENSCHAT00000037574_ENSCHAG00000015895,ENSCHAT00000037617_ENSCHAG00000015895,ENSDCDT00000005522_ENSDCDG00000002175,ENSDCDT00000005523_ENSDCDG00000002175,ENSDCDT00000005525_ENSDCDG00000002175,ENSDCDT00000005620_ENSDCDG00000002175,ENSDCDT00000005631_ENSDCDG00000002175,ENSDCDT00000005721_ENSDCDG00000002175,ENSDCDT00000005727_ENSDCDG00000002175,ENSDCDT00000005740_ENSDCDG00000002175,ENSIPUT00000009131_ENSIPUG00000005883,ENSIPUT00000009170_ENSIPUG00000005883,ENSIPUT00000009238_ENSIPUG00000005883,ENSEEET00000030884_ENSEEEG00000014385,ENSEEET00000030886_ENSEEEG00000014385,ENSEEET00000030891_ENSEEEG00000014385,ENSEEET00000030893_ENSEEEG00000014385,ENSEEET00000030897_ENSEEEG00000014385,ENSEEET00000030906_ENSEEEG00000014385,ENSEEET00000030907_ENSEEEG00000014385,ENSEEET00000030915_ENSEEEG00000014385,ENSEEET00000030917_ENSEEEG00000014385,ENSPNAT00000001582_ENSPNAG00000002774,ENSPNAT00000001776_ENSPNAG00000002774,ENSPNAT00000001795_ENSPNAG00000002774,ENSAMXT00000053473_ENSAMXG00000036737,ENSDART00000100351_ENSDARG00000033444,ENSDCDT00000000262_ENSDCDG00000000138,ENSHHUT00000006467_ENSHHUG00000003681,ENSHHUT00000006504_ENSHHUG00000003681,ENSHHUT00000006508_ENSHHUG00000003681,ENSHHUT00000006540_ENSHHUG00000003681,ENSHHUT00000026718_ENSHHUG00000015298,ENSHHUT00000026722_ENSHHUG00000015298,ENSHHUT00000026753_ENSHHUG00000015298,ENSHHUT00000026758_ENSHHUG00000015298,ENSHHUT00000026772_ENSHHUG00000015298,ENSHHUT00000026821_ENSHHUG00000015298,ENSELUT00000014767_ENSELUG00000004292,ENSSFOT00015032343_ENSSFOG00015020483,ENSSFOT00015032397_ENSSFOG00015020483,ENSPKIT00000018758_ENSPKIG00000015828,ENSCHAT00000059377_ENSCHAG00000024900,ENSCHAT00000059402_ENSCHAG00000024900,ENSDCDT00000050807_ENSDCDG00000025599,ENSDCDT00000050870_ENSDCDG00000025599,ENSDCDT00000050871_ENSDCDG00000025599,ENSDCDT00000050876_ENSDCDG00000025599,ENSDCDT00000050895_ENSDCDG00000025599,ENSDCDT00000051148_ENSDCDG00000025599,ENSDCDT00000051155_ENSDCDG00000025599,ENSAMXT00000056966_ENSAMXG00000006652,ENSAMXT00000006982_ENSAMXG00000006652,ENSAMXT00000051381_ENSAMXG00000006652,ENSAMXT00000006973_ENSAMXG00000006652
ENSCHAT00000037412_ENSCHAG00000015895,1.0,0.92,0.9,0.91,0.9,0.86,0.89,0.67,0.65,0.69,0.68,0.69,0.68,0.67,0.68,0.67,0.66,0.66,0.67,0.66,0.65,0.65,0.67,0.65,0.66,0.67,0.66,0.59,0.65,0.64,0.59,0.65,0.38,0.67,0.67,0.66,0.66,0.67,0.68,0.67,0.66,0.66,0.67,0.67,0.68,0.68,0.66,0.61,0.61,0.61,0.6,0.61,0.62,0.61,0.6,0.61,0.64,0.64,0.63,0.62
ENSCHAT00000037469_ENSCHAG00000015895,0.92,1.0,0.91,0.91,0.92,0.88,0.91,0.68,0.66,0.69,0.69,0.68,0.67,0.67,0.68,0.65,0.65,0.64,0.66,0.66,0.67,0.66,0.68,0.66,0.67,0.68,0.68,0.58,0.64,0.64,0.56,0.63,0.38,0.65,0.68,0.68,0.67,0.67,0.67,0.68,0.67,0.67,0.67,0.65,0.65,0.65,0.64,0.61,0.62,0.62,0.62,0.63,0.63,0.62,0.62,0.63,0.62,0.62,0.63,0.62
ENSCHAT00000037487_ENSCHAG00000015895,0.9,0.91,1.0,0.9,0.91,0.88,0.9,0.67,0.64,0.69,0.68,0.68,0.67,0.66,0.68,0.63,0.64,0.63,0.65,0.66,0.67,0.66,0.69,0.67,0.68,0.69,0.68,0.58,0.64,0.65,0.54,0.61,0.38,0.64,0.68,0.68,0.67,0.67,0.67,0.68,0.67,0.67,0.67,0.63,0.63,0.63,0.62,0.6,0.62,0.62,0.62,0.63,0.63,0.62,0.6,0.62,0.61,0.61,0.62,0.61
ENSCHAT00000037534_ENSCHAG00000015895,0.91,0.91,0.9,1.0,0.92,0.88,0.91,0.69,0.67,0.69,0.69,0.7,0.69,0.69,0.7,0.67,0.68,0.67,0.69,0.68,0.67,0.66,0.69,0.66,0.67,0.69,0.69,0.62,0.68,0.65,0.61,0.65,0.38,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.67,0.67,0.66,0.67,0.65,0.63,0.62,0.63,0.62,0.64,0.63,0.63,0.61,0.63,0.63,0.64,0.63,0.63
ENSCHAT00000037555_ENSCHAG00000015895,0.9,0.92,0.91,0.92,1.0,0.89,0.92,0.69,0.69,0.7,0.7,0.7,0.68,0.68,0.7,0.66,0.67,0.66,0.68,0.69,0.68,0.67,0.69,0.67,0.69,0.69,0.69,0.61,0.67,0.65,0.6,0.65,0.38,0.68,0.69,0.68,0.69,0.68,0.68,0.68,0.68,0.68,0.67,0.66,0.65,0.64,0.64,0.63,0.64,0.63,0.63,0.64,0.64,0.63,0.63,0.63,0.62,0.63,0.63,0.63
ENSCHAT00000037574_ENSCHAG00000015895,0.86,0.88,0.88,0.88,0.89,1.0,0.9,0.66,0.65,0.66,0.65,0.65,0.66,0.66,0.65,0.64,0.64,0.64,0.67,0.68,0.67,0.68,0.65,0.67,0.7,0.65,0.66,0.6,0.64,0.65,0.61,0.63,0.38,0.68,0.66,0.65,0.68,0.68,0.67,0.67,0.68,0.68,0.68,0.66,0.65,0.65,0.64,0.64,0.64,0.64,0.64,0.64,0.65,0.64,0.63,0.64,0.63,0.63,0.64,0.64
ENSCHAT00000037617_ENSCHAG00000015895,0.89,0.91,0.9,0.91,0.92,0.9,1.0,0.68,0.67,0.69,0.68,0.68,0.67,0.67,0.68,0.65,0.65,0.64,0.66,0.67,0.67,0.66,0.68,0.66,0.67,0.68,0.68,0.6,0.65,0.66,0.58,0.64,0.38,0.66,0.68,0.69,0.69,0.66,0.66,0.66,0.66,0.66,0.66,0.65,0.64,0.65,0.64,0.63,0.63,0.62,0.62,0.63,0.63,0.62,0.63,0.62,0.62,0.63,0.63,0.63
ENSDCDT00000005522_ENSDCDG00000002175,0.67,0.68,0.67,0.69,0.69,0.66,0.68,1.0,0.9,0.93,0.92,0.91,0.9,0.9,0.92,0.63,0.63,0.63,0.65,0.64,0.65,0.64,0.66,0.65,0.65,0.65,0.66,0.58,0.64,0.59,0.55,0.61,0.41,0.67,0.68,0.66,0.67,0.66,0.67,0.66,0.66,0.66,0.66,0.63,0.61,0.61,0.62,0.6,0.59,0.61,0.6,0.63,0.62,0.62,0.59,0.61,0.59,0.6,0.59,0.6
ENSDCDT00000005523_ENSDCDG00000002175,0.65,0.66,0.64,0.67,0.69,0.65,0.67,0.9,1.0,0.91,0.92,0.91,0.9,0.89,0.92,0.61,0.62,0.62,0.63,0.63,0.63,0.62,0.63,0.63,0.63,0.64,0.64,0.56,0.64,0.59,0.56,0.6,0.41,0.65,0.68,0.67,0.65,0.65,0.67,0.67,0.67,0.66,0.65,0.61,0.59,0.59,0.59,0.6,0.6,0.6,0.6,0.61,0.61,0.6,0.57,0.6,0.57,0.58,0.57,0.58
ENSDCDT00000005525_ENSDCDG00000002175,0.69,0.69,0.69,0.69,0.7,0.66,0.69,0.93,0.91,1.0,0.93,0.91,0.91,0.9,0.92,0.64,0.65,0.64,0.65,0.65,0.65,0.64,0.66,0.65,0.66,0.66,0.67,0.59,0.65,0.59,0.56,0.63,0.41,0.67,0.68,0.67,0.67,0.66,0.67,0.67,0.66,0.66,0.66,0.65,0.62,0.63,0.64,0.61,0.61,0.62,0.62,0.63,0.64,0.62,0.61,0.62,0.61,0.62,0.61,0.62
ENSDCDT00000005620_ENSDCDG00000002175,0.68,0.69,0.68,0.69,0.7,0.65,0.68,0.92,0.92,0.93,1.0,0.93,0.92,0.92,0.94,0.64,0.64,0.64,0.65,0.65,0.64,0.63,0.65,0.64,0.65,0.65,0.66,0.58,0.66,0.6,0.57,0.62,0.41,0.66,0.69,0.68,0.67,0.67,0.68,0.68,0.68,0.67,0.67,0.64,0.61,0.61,0.62,0.62,0.62,0.61,0.6,0.62,0.62,0.62,0.6,0.61,0.6,0.61,0.6,0.61
ENSDCDT00000005631_ENSDCDG00000002175,0.69,0.68,0.68,0.7,0.7,0.65,0.68,0.91,0.91,0.91,0.93,1.0,0.92,0.92,0.94,0.64,0.64,0.64,0.65,0.65,0.65,0.64,0.66,0.65,0.65,0.65,0.66,0.59,0.67,0.6,0.58,0.62,0.46,0.66,0.69,0.67,0.67,0.67,0.68,0.69,0.68,0.68,0.67,0.64,0.61,0.61,0.63,0.64,0.63,0.62,0.61,0.63,0.62,0.62,0.61,0.61,0.6,0.61,0.6,0.61
ENSDCDT00000005721_ENSDCDG00000002175,0.68,0.67,0.67,0.69,0.68,0.66,0.67,0.9,0.9,0.91,0.92,0.92,1.0,0.95,0.92,0.63,0.64,0.63,0.64,0.64,0.64,0.63,0.65,0.63,0.64,0.63,0.65,0.58,0.65,0.58,0.58,0.6,0.46,0.65,0.67,0.66,0.66,0.66,0.67,0.67,0.66,0.66,0.66,0.63,0.61,0.61,0.62,0.63,0.62,0.61,0.6,0.62,0.62,0.61,0.6,0.6,0.6,0.61,0.6,0.62
ENSDCDT00000005727_ENSDCDG00000002175,0.67,0.67,0.66,0.69,0.68,0.66,0.67,0.9,0.89,0.9,0.92,0.92,0.95,1.0,0.92,0.63,0.63,0.63,0.64,0.63,0.64,0.63,0.65,0.64,0.64,0.64,0.65,0.59,0.65,0.58,0.58,0.6,0.46,0.65,0.68,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.63,0.61,0.61,0.62,0.64,0.62,0.6,0.59,0.61,0.62,0.6,0.6,0.59,0.6,0.61,0.6,0.62
ENSDCDT00000005740_ENSDCDG00000002175,0.68,0.68,0.68,0.7,0.7,0.65,0.68,0.92,0.92,0.92,0.94,0.94,0.92,0.92,1.0,0.64,0.64,0.63,0.65,0.65,0.65,0.64,0.65,0.65,0.65,0.65,0.66,0.58,0.66,0.6,0.57,0.61,0.41,0.66,0.69,0.68,0.67,0.68,0.68,0.69,0.68,0.68,0.68,0.64,0.61,0.62,0.63,0.64,0.63,0.63,0.61,0.64,0.62,0.63,0.61,0.62,0.6,0.61,0.6,0.61
ENSIPUT00000009131_ENSIPUG00000005883,0.67,0.65,0.63,0.67,0.66,0.64,0.65,0.63,0.61,0.64,0.64,0.64,0.63,0.63,0.64,1.0,0.94,0.93,0.74,0.73,0.7,0.69,0.71,0.7,0.71,0.7,0.7,0.71,0.77,0.71,0.65,0.7,0.39,0.68,0.66,0.65,0.65,0.65,0.66,0.66,0.65,0.65,0.65,0.67,0.65,0.65,0.63,0.59,0.58,0.62,0.61,0.63,0.63,0.63,0.6,0.61,0.64,0.64,0.63,0.62
ENSIPUT00000009170_ENSIPUG00000005883,0.66,0.65,0.64,0.68,0.67,0.64,0.65,0.63,0.62,0.65,0.64,0.64,0.64,0.63,0.64,0.94,1.0,0.94,0.75,0.74,0.7,0.7,0.71,0.7,0.71,0.7,0.7,0.71,0.77,0.71,0.64,0.69,0.39,0.67,0.66,0.66,0.65,0.66,0.67,0.66,0.65,0.65,0.66,0.66,0.64,0.64,0.62,0.59,0.59,0.63,0.61,0.63,0.63,0.63,0.61,0.61,0.63,0.63,0.62,0.62
ENSIPUT00000009238_ENSIPUG00000005883,0.66,0.64,0.63,0.67,0.66,0.64,0.64,0.63,0.62,0.64,0.64,0.64,0.63,0.63,0.63,0.93,0.94,1.0,0.74,0.73,0.7,0.69,0.71,0.7,0.7,0.7,0.7,0.71,0.76,0.71,0.64,0.68,0.39,0.66,0.66,0.65,0.64,0.65,0.66,0.65,0.64,0.64,0.65,0.65,0.63,0.63,0.61,0.58,0.58,0.62,0.61,0.62,0.62,0.62,0.6,0.62,0.62,0.62,0.61,0.61
ENSEEET00000030884_ENSEEEG00000014385,0.67,0.66,0.65,0.69,0.68,0.67,0.66,0.65,0.63,0.65,0.65,0.65,0.64,0.64,0.65,0.74,0.75,0.74,1.0,0.92,0.88,0.87,0.88,0.88,0.89,0.87,0.87,0.7,0.76,0.67,0.65,0.68,0.39,0.69,0.67,0.66,0.66,0.67,0.68,0.67,0.67,0.67,0.66,0.67,0.64,0.65,0.64,0.62,0.61,0.61,0.6,0.62,0.62,0.61,0.6,0.61,0.62,0.62,0.61,0.61
ENSEEET00000030886_ENSEEEG00000014385,0.66,0.66,0.66,0.68,0.69,0.68,0.67,0.64,0.63,0.65,0.65,0.65,0.64,0.63,0.65,0.73,0.74,0.73,0.92,1.0,0.89,0.88,0.89,0.89,0.9,0.88,0.87,0.68,0.75,0.67,0.64,0.67,0.39,0.68,0.67,0.67,0.67,0.66,0.68,0.67,0.67,0.67,0.66,0.67,0.64,0.64,0.63,0.6,0.62,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.62,0.6
ENSEEET00000030891_ENSEEEG00000014385,0.65,0.67,0.67,0.67,0.68,0.67,0.67,0.65,0.63,0.65,0.64,0.65,0.64,0.64,0.65,0.7,0.7,0.7,0.88,0.89,1.0,0.91,0.93,0.93,0.89,0.9,0.92,0.68,0.72,0.68,0.63,0.65,0.39,0.66,0.66,0.67,0.68,0.66,0.65,0.66,0.66,0.66,0.66,0.64,0.63,0.64,0.64,0.63,0.63,0.61,0.6,0.62,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61
ENSEEET00000030893_ENSEEEG00000014385,0.65,0.66,0.66,0.66,0.67,0.68,0.66,0.64,0.62,0.64,0.63,0.64,0.63,0.63,0.64,0.69,0.7,0.69,0.87,0.88,0.91,1.0,0.91,0.91,0.92,0.9,0.9,0.67,0.72,0.68,0.63,0.65,0.39,0.66,0.66,0.66,0.67,0.66,0.65,0.66,0.66,0.66,0.66,0.64,0.63,0.63,0.63,0.63,0.63,0.6,0.6,0.61,0.61,0.6,0.6,0.59,0.61,0.61,0.61,0.61
ENSEEET00000030897_ENSEEEG00000014385,0.67,0.68,0.69,0.69,0.69,0.65,0.68,0.66,0.63,0.66,0.65,0.66,0.65,0.65,0.65,0.71,0.71,0.71,0.88,0.89,0.93,0.91,1.0,0.93,0.89,0.91,0.92,0.69,0.73,0.68,0.64,0.66,0.39,0.67,0.65,0.65,0.67,0.67,0.67,0.67,0.67,0.68,0.67,0.66,0.65,0.65,0.65,0.64,0.64,0.62,0.62,0.63,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62
ENSEEET00000030906_ENSEEEG00000014385,0.65,0.66,0.67,0.66,0.67,0.67,0.66,0.65,0.63,0.65,0.64,0.65,0.63,0.64,0.65,0.7,0.7,0.7,0.88,0.89,0.93,0.91,0.93,1.0,0.89,0.91,0.92,0.68,0.72,0.68,0.63,0.66,0.45,0.67,0.67,0.67,0.68,0.67,0.66,0.67,0.67,0.68,0.67,0.65,0.64,0.64,0.65,0.64,0.64,0.61,0.6,0.62,0.61,0.61,0.61,0.61,0.62,0.62,0.62,0.62
ENSEEET00000030907_ENSEEEG00000014385,0.66,0.67,0.68,0.67,0.69,0.7,0.67,0.65,0.63,0.66,0.65,0.65,0.64,0.64,0.65,0.71,0.71,0.7,0.89,0.9,0.89,0.92,0.89,0.89,1.0,0.87,0.88,0.68,0.73,0.68,0.65,0.66,0.38,0.67,0.68,0.68,0.69,0.67,0.67,0.67,0.67,0.67,0.67,0.66,0.63,0.63,0.63,0.62,0.63,0.61,0.61,0.62,0.61,0.62,0.61,0.6,0.62,0.62,0.62,0.62
ENSEEET00000030915_ENSEEEG00000014385,0.67,0.68,0.69,0.69,0.69,0.65,0.68,0.65,0.64,0.66,0.65,0.65,0.63,0.64,0.65,0.7,0.7,0.7,0.87,0.88,0.9,0.9,0.91,0.91,0.87,1.0,0.92,0.66,0.72,0.69,0.64,0.65,0.45,0.66,0.66,0.65,0.66,0.66,0.66,0.66,0.66,0.67,0.66,0.65,0.64,0.65,0.65,0.62,0.63,0.62,0.61,0.62,0.62,0.61,0.61,0.61,0.61,0.61,0.61,0.61
ENSEEET00000030917_ENSEEEG00000014385,0.66,0.68,0.68,0.69,0.69,0.66,0.68,0.66,0.64,0.67,0.66,0.66,0.65,0.65,0.66,0.7,0.7,0.7,0.87,0.87,0.92,0.9,0.92,0.92,0.88,0.92,1.0,0.67,0.71,0.69,0.65,0.66,0.45,0.67,0.65,0.66,0.67,0.67,0.66,0.67,0.67,0.68,0.67,0.65,0.65,0.66,0.66,0.63,0.63,0.63,0.62,0.63,0.63,0.63,0.62,0.62,0.61,0.61,0.61,0.61
ENSPNAT00000001582_ENSPNAG00000002774,0.59,0.58,0.58,0.62,0.61,0.6,0.6,0.58,0.56,0.59,0.58,0.59,0.58,0.59,0.58,0.71,0.71,0.71,0.7,0.68,0.68,0.67,0.69,0.68,0.68,0.66,0.67,1.0,0.84,0.81,0.66,0.63,0.39,0.62,0.61,0.6,0.61,0.6,0.61,0.61,0.6,0.61,0.6,0.6,0.57,0.57,0.55,0.55,0.54,0.57,0.57,0.58,0.58,0.58,0.54,0.56,0.57,0.57,0.56,0.56
ENSPNAT00000001776_ENSPNAG00000002774,0.65,0.64,0.64,0.68,0.67,0.64,0.65,0.64,0.64,0.65,0.66,0.67,0.65,0.65,0.66,0.77,0.77,0.76,0.76,0.75,0.72,0.72,0.73,0.72,0.73,0.72,0.71,0.84,1.0,0.82,0.68,0.68,0.38,0.68,0.69,0.68,0.66,0.68,0.7,0.69,0.68,0.68,0.68,0.65,0.62,0.62,0.6,0.62,0.62,0.63,0.62,0.64,0.63,0.64,0.61,0.62,0.62,0.62,0.61,0.61
ENSPNAT00000001795_ENSPNAG00000002774,0.64,0.64,0.65,0.65,0.65,0.65,0.66,0.59,0.59,0.59,0.6,0.6,0.58,0.58,0.6,0.71,0.71,0.71,0.67,0.67,0.68,0.68,0.68,0.68,0.68,0.69,0.69,0.81,0.82,1.0,1e-18,0.63,1e-18,0.59,0.61,0.6,0.61,0.59,0.58,0.59,0.59,0.59,0.59,0.57,0.59,0.59,0.56,0.6,0.6,0.56,0.56,0.56,0.56,0.57,0.56,0.56,0.58,0.58,0.58,0.59
ENSAMXT00000053473_ENSAMXG00000036737,0.59,0.56,0.54,0.61,0.6,0.61,0.58,0.55,0.56,0.56,0.57,0.58,0.58,0.58,0.57,0.65,0.64,0.64,0.65,0.64,0.63,0.63,0.64,0.63,0.65,0.64,0.65,0.66,0.68,1e-18,1.0,0.6,0.45,0.6,0.6,0.57,0.58,0.59,0.61,0.6,0.6,0.6,0.59,0.59,0.55,0.55,0.54,0.52,0.51,0.54,0.54,0.54,0.55,0.54,0.5,0.53,0.52,0.53,0.51,0.51
