,ENSLOCT00000016081_ENSLOCG00000013032,ENSLACT00000002976_ENSLACG00000002640,ENSCVAT00000008229_ENSCVAG00000005800,ENSGACT00000010751_ENSGACG00000008113,ENSAOWT00000023843_ENSAOWG00000014241,ENSTGUT00000013147_ENSTGUG00000012631,ENSFALT00000002598_ENSFALG00000002486,ENSGALT00000093051_ENSGALG00000054735,ENSMGAT00000014819_ENSMGAG00000013170,ENSPSIT00000000860_ENSPSIG00000000860,ENSSMRT00000020916_ENSSMRG00000013933,ENSMODT00000034459_ENSMODG00000024078,ENSSHAT00000006904_ENSSHAG00000005948
ENSLOCT00000016081_ENSLOCG00000013032,1.0,0.43,0.4,0.38,0.32,0.34,0.34,0.35,0.35,0.42,0.28,0.34,0.39
ENSLACT00000002976_ENSLACG00000002640,0.43,1.0,0.45,0.4,0.37,0.42,0.42,0.44,0.43,0.51,0.29,0.35,0.47
ENSCVAT00000008229_ENSCVAG00000005800,0.4,0.45,1.0,0.57,0.33,0.43,0.43,0.43,0.43,0.48,0.32,0.36,0.46
ENSGACT00000010751_ENSGACG00000008113,0.38,0.4,0.57,1.0,0.32,0.4,0.42,0.42,0.42,0.46,0.35,0.32,0.42
ENSAOWT00000023843_ENSAOWG00000014241,0.32,0.37,0.33,0.32,1.0,0.6,0.6,0.56,0.55,0.56,0.4,0.49,0.45
ENSTGUT00000013147_ENSTGUG00000012631,0.34,0.42,0.43,0.4,0.6,1.0,0.82,0.71,0.69,0.58,0.43,0.43,0.52
ENSFALT00000002598_ENSFALG00000002486,0.34,0.42,0.43,0.42,0.6,0.82,1.0,0.69,0.66,0.58,0.43,0.42,0.51
ENSGALT00000093051_ENSGALG00000054735,0.35,0.44,0.43,0.42,0.56,0.71,0.69,1.0,0.85,0.6,0.41,0.45,0.55
ENSMGAT00000014819_ENSMGAG00000013170,0.35,0.43,0.43,0.42,0.55,0.69,0.66,0.85,1.0,0.59,0.4,0.44,0.54
ENSPSIT00000000860_ENSPSIG00000000860,0.42,0.51,0.48,0.46,0.56,0.58,0.58,0.6,0.59,1.0,0.4,0.51,0.61
ENSSMRT00000020916_ENSSMRG00000013933,0.28,0.29,0.32,0.35,0.4,0.43,0.43,0.41,0.4,0.4,1.0,0.39,0.38
ENSMODT00000034459_ENSMODG00000024078,0.34,0.35,0.36,0.32,0.49,0.43,0.42,0.45,0.44,0.51,0.39,1.0,0.73
ENSSHAT00000006904_ENSSHAG00000005948,0.39,0.47,0.46,0.42,0.45,0.52,0.51,0.55,0.54,0.61,0.38,0.73,1.0
