,ENSACAT00000025747_ENSACAG00000025881,ENSNSUT00000015596_ENSNSUG00000010851,ENSPVIT00000023386_ENSPVIG00000014397,ENSPVIT00000023389_ENSPVIG00000014397,ENSPVIT00000023392_ENSPVIG00000014397,ENSPVIT00000023395_ENSPVIG00000014397,ENSSMRT00000009344_ENSSMRG00000006415,ENSSMRT00000009356_ENSSMRG00000006415,ENSSMRT00000009378_ENSSMRG00000006415,ENSSMRT00000009385_ENSSMRG00000006415,ENSARWT00000027307_ENSARWG00000016419,ENSARWT00000027273_ENSARWG00000016329,ENSARWT00000027296_ENSARWG00000016329,ENSARWT00000027305_ENSARWG00000016329,ENSAOWT00000010322_ENSAOWG00000006065,ENSAOWT00000010373_ENSAOWG00000006065,ENSAOWT00000010385_ENSAOWG00000006065,ENSAOWT00000010393_ENSAOWG00000006065,ENSAHAT00000008703_ENSAHAG00000005819,ENSAHAT00000008707_ENSAHAG00000005819,ENSDNVT00000022093_ENSDNVG00000012836,ENSDNVT00000022098_ENSDNVG00000012836,ENSDNVT00000022104_ENSDNVG00000012836,ENSDNVT00000022117_ENSDNVG00000012836,ENSNPET00000022111_ENSNPEG00000015878,ENSNPET00000022121_ENSNPEG00000015878,ENSNPET00000022124_ENSNPEG00000015878,ENSNPET00000022127_ENSNPEG00000015878,ENSNPET00000022129_ENSNPEG00000015878,ENSNPET00000022137_ENSNPEG00000015878,ENSNPET00000022146_ENSNPEG00000015878,ENSSCAT00000019219_ENSSCAG00000012477,ENSSCAT00000019222_ENSSCAG00000012477,ENSMVIT00005008475_ENSMVIG00005005558,ENSCCET00000017447_ENSCCEG00000010931,ENSAHAT00000008695_ENSAHAG00000005815,ENSAOWT00000009947_ENSAOWG00000006028,ENSGALT00000108313_ENSGALG00000041263,ENSGALT00000082498_ENSGALG00000041263,ENSGALT00000091572_ENSGALG00000041263,ENSGALT00000095393_ENSGALG00000041263,ENSMGAT00000016939_ENSMGAG00000015065,ENSCJPT00005034488_ENSCJPG00005019904,ENSCJPT00005034490_ENSCJPG00005019904,ENSCJPT00005034491_ENSCJPG00005019904,ENSNMET00000015189_ENSNMEG00000009196,ENSNMET00000015190_ENSNMEG00000009196,ENSNMET00000015192_ENSNMEG00000009196
ENSACAT00000025747_ENSACAG00000025881,1.0,0.77,0.74,0.74,0.77,0.86,0.74,0.74,0.74,0.73,0.72,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.74,0.74,0.7,0.74,0.7,0.82,0.7,0.7,0.7,0.7,0.7,1e-18,1e-18,0.7,0.68,0.68,0.81,0.74,0.74,0.71,0.7,0.82,0.75,0.7,0.7,0.7,0.81,0.82,0.71,0.75
ENSNSUT00000015596_ENSNSUG00000010851,0.77,1.0,0.7,0.7,0.24,0.78,0.69,0.69,0.69,0.21,0.73,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.22,0.22,0.68,0.22,0.67,0.75,0.65,0.65,0.68,0.65,0.68,0.28,0.28,0.74,0.69,0.69,0.74,0.75,0.75,0.68,0.67,0.75,0.24,0.67,0.68,0.67,0.75,0.75,0.68,0.24
ENSPVIT00000023386_ENSPVIG00000014397,0.74,0.7,1.0,0.95,0.91,0.84,0.87,0.89,0.86,0.85,0.7,0.83,0.81,0.8,0.82,0.83,0.81,0.8,0.83,0.81,0.87,0.81,0.84,0.73,0.83,0.84,0.83,0.82,0.8,0.81,0.79,0.65,0.66,0.65,0.71,0.67,0.67,0.87,0.84,0.72,0.81,0.86,0.86,0.83,0.71,0.72,0.87,0.81
ENSPVIT00000023389_ENSPVIG00000014397,0.74,0.7,0.95,1.0,0.93,0.84,0.85,0.86,0.88,0.83,0.7,0.81,0.83,0.82,0.8,0.81,0.83,0.82,0.81,0.84,0.84,0.84,0.86,0.72,0.8,0.82,0.81,0.84,0.82,0.79,0.81,0.65,0.66,0.65,0.7,0.67,0.67,0.84,0.86,0.71,0.83,0.84,0.83,0.85,0.71,0.72,0.84,0.82
ENSPVIT00000023392_ENSPVIG00000014397,0.77,0.24,0.91,0.93,1.0,0.81,0.82,0.83,0.85,0.88,1e-18,0.83,0.86,0.85,0.82,0.83,0.86,0.85,0.87,0.89,0.81,0.89,0.84,0.76,0.8,0.81,0.8,0.83,0.82,0.81,0.83,0.29,1e-18,0.29,0.75,0.25,0.25,0.81,0.83,0.77,0.89,0.81,0.8,0.82,0.77,0.77,0.81,0.87
ENSPVIT00000023395_ENSPVIG00000014397,0.86,0.78,0.84,0.84,0.81,1.0,0.74,0.75,0.74,0.75,0.74,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.76,0.76,0.73,0.76,0.72,0.84,0.7,0.71,0.71,0.7,0.7,1e-18,1e-18,0.71,0.69,0.71,0.82,0.76,0.76,0.72,0.71,0.83,0.77,0.72,0.71,0.71,0.82,0.83,0.72,0.77
ENSSMRT00000009344_ENSSMRG00000006415,0.74,0.69,0.87,0.85,0.82,0.74,1.0,0.96,0.94,0.92,0.69,0.81,0.79,0.79,0.8,0.81,0.79,0.79,0.81,0.8,0.85,0.8,0.82,0.71,0.8,0.82,0.81,0.8,0.79,0.78,0.77,0.65,0.67,0.65,0.7,0.66,0.66,0.84,0.82,0.71,0.79,0.84,0.83,0.81,0.7,0.71,0.84,0.79
ENSSMRT00000009356_ENSSMRG00000006415,0.74,0.69,0.89,0.86,0.83,0.75,0.96,1.0,0.95,0.93,0.7,0.83,0.8,0.8,0.81,0.83,0.8,0.8,0.83,0.81,0.86,0.81,0.84,0.72,0.82,0.83,0.82,0.81,0.8,0.8,0.78,0.66,0.67,0.65,0.7,0.67,0.67,0.86,0.84,0.72,0.8,0.86,0.85,0.82,0.71,0.72,0.86,0.8
ENSSMRT00000009378_ENSSMRG00000006415,0.74,0.69,0.86,0.88,0.85,0.74,0.94,0.95,1.0,0.91,0.69,0.8,0.83,0.82,0.79,0.8,0.83,0.82,0.81,0.83,0.84,0.83,0.86,0.71,0.8,0.81,0.8,0.83,0.82,0.78,0.79,0.65,0.67,0.65,0.7,0.66,0.66,0.84,0.86,0.71,0.82,0.83,0.82,0.85,0.7,0.71,0.84,0.81
ENSSMRT00000009385_ENSSMRG00000006415,0.73,0.21,0.85,0.83,0.88,0.75,0.92,0.93,0.91,1.0,1e-18,0.86,0.83,0.82,0.84,0.86,0.83,0.82,0.89,0.86,0.83,0.87,0.81,0.72,0.8,0.81,0.8,0.79,0.78,0.82,0.8,0.28,1e-18,0.3,0.71,0.24,0.24,0.82,0.8,0.73,0.85,0.82,0.81,0.79,0.73,0.73,0.82,0.85
