,ENSPKIT00000026165_ENSPKIG00000020183,ENSSFOT00015009875_ENSSFOG00015006271,ENSTRUT00000036760_ENSTRUG00000014324,ENSMMOT00000003802_ENSMMOG00000002986,ENSLCRT00005004265_ENSLCRG00005000323,ENSLCRT00005004446_ENSLCRG00005000323,ENSLCRT00005005737_ENSLCRG00005000323,ENSLCRT00005005747_ENSLCRG00005000323,ENSLCRT00005005762_ENSLCRG00005000323,ENSLCRT00005005766_ENSLCRG00005000323,ENSLCRT00005005768_ENSLCRG00005000323,ENSLCRT00005005769_ENSLCRG00005000323,ENSLCRT00005005776_ENSLCRG00005000323,ENSLCRT00005005780_ENSLCRG00005000323,ENSLBET00000006341_ENSLBEG00000004617,ENSLBET00000006670_ENSLBEG00000004617,ENSLBET00000007001_ENSLBEG00000004617,ENSLBET00000007080_ENSLBEG00000004617,ENSCGOT00000036908_ENSCGOG00000013887,ENSCGOT00000036914_ENSCGOG00000013887,ENSCGOT00000036920_ENSCGOG00000013887,ENSMALT00000018355_ENSMALG00000012511,ENSMALT00000018390_ENSMALG00000012511,ENSMALT00000018422_ENSMALG00000012511,ENSMAMT00000033128_ENSMAMG00000021699,ENSMAMT00000033134_ENSMAMG00000021699,ENSMAMT00000033141_ENSMAMG00000021699,ENSATET00000020568_ENSATEG00000014057,ENSATET00000020604_ENSATEG00000014057,ENSBSLT00000004557_ENSBSLG00000002064,ENSBSLT00000004559_ENSBSLG00000002064,ENSBSLT00000004562_ENSBSLG00000002064,ENSBSLT00000004563_ENSBSLG00000002064,ENSBSLT00000004565_ENSBSLG00000002064,ENSBSLT00000004566_ENSBSLG00000002064,ENSBSLT00000004567_ENSBSLG00000002064,ENSBSLT00000004571_ENSBSLG00000002064,ENSBSLT00000004573_ENSBSLG00000002064,ENSSDUT00000023135_ENSSDUG00000016505,ENSSDUT00000023179_ENSSDUG00000016505,ENSSDUT00000023234_ENSSDUG00000016505
ENSPKIT00000026165_ENSPKIG00000020183,1.0,0.73,0.66,0.65,0.71,0.71,0.71,0.7,0.69,0.7,0.7,0.7,0.72,0.68,1e-18,0.65,0.69,0.68,0.7,0.69,0.69,0.7,0.71,0.7,0.7,0.7,0.69,0.69,0.69,0.67,0.67,0.68,0.67,0.67,0.68,0.67,0.67,0.67,0.71,0.72,0.73
ENSSFOT00015009875_ENSSFOG00015006271,0.73,1.0,0.63,0.64,0.69,0.68,0.69,0.68,0.67,0.68,0.68,0.68,0.69,0.66,1e-18,0.65,0.68,0.67,0.7,0.68,0.7,0.69,0.7,0.69,0.69,0.7,0.69,0.69,0.69,0.67,0.67,0.68,0.66,0.69,0.68,0.66,0.68,0.66,0.69,0.7,0.7
ENSTRUT00000036760_ENSTRUG00000014324,0.66,0.63,1.0,0.77,0.74,0.73,0.75,0.73,0.73,0.73,0.74,0.73,0.75,0.72,1e-18,0.66,0.73,0.73,0.74,0.72,0.73,0.73,0.74,0.73,0.73,0.73,0.72,0.72,0.72,0.72,0.72,0.73,0.72,0.71,0.73,0.71,0.72,0.71,0.74,0.75,0.75
ENSMMOT00000003802_ENSMMOG00000002986,0.65,0.64,0.77,1.0,0.76,0.76,0.78,0.77,0.76,0.77,0.77,0.77,0.78,0.75,1e-18,0.67,0.76,0.75,0.77,0.74,0.76,0.76,0.77,0.77,0.76,0.77,0.75,0.75,0.76,0.73,0.74,0.75,0.73,0.73,0.75,0.72,0.74,0.73,0.77,0.77,0.76
ENSLCRT00005004265_ENSLCRG00005000323,0.71,0.69,0.74,0.76,1.0,0.93,0.96,0.92,0.92,0.93,0.92,0.96,0.93,0.91,1e-18,0.76,0.82,0.81,0.84,0.83,0.83,0.84,0.84,0.82,0.84,0.84,0.84,0.85,0.85,0.81,0.82,0.79,0.77,0.77,0.78,0.79,0.79,0.79,0.86,0.87,0.86
ENSLCRT00005004446_ENSLCRG00005000323,0.71,0.68,0.73,0.76,0.93,1.0,0.93,0.95,0.95,0.95,0.95,0.92,0.93,0.91,1e-18,0.76,0.81,0.81,0.84,0.83,0.83,0.81,0.82,0.82,0.81,0.82,0.8,0.8,0.81,0.77,0.77,0.78,0.77,0.76,0.78,0.76,0.77,0.76,0.83,0.84,0.86
ENSLCRT00005005737_ENSLCRG00005000323,0.71,0.69,0.75,0.78,0.96,0.93,1.0,0.94,0.94,0.95,0.95,0.96,0.94,0.92,1e-18,0.75,0.83,0.82,0.86,0.83,0.85,0.86,0.86,0.84,0.86,0.86,0.84,0.84,0.85,0.81,0.81,0.81,0.79,0.78,0.8,0.79,0.8,0.8,0.88,0.89,0.86
ENSLCRT00005005747_ENSLCRG00005000323,0.7,0.68,0.73,0.77,0.92,0.95,0.94,1.0,0.95,0.96,0.97,0.93,0.93,0.91,1e-18,0.75,0.82,0.82,0.85,0.83,0.84,0.82,0.82,0.83,0.81,0.82,0.8,0.8,0.81,0.77,0.77,0.78,0.77,0.77,0.79,0.76,0.78,0.76,0.84,0.84,0.85
ENSLCRT00005005762_ENSLCRG00005000323,0.69,0.67,0.73,0.76,0.92,0.95,0.94,0.95,1.0,0.95,0.96,0.93,0.92,0.9,1e-18,0.75,0.81,0.81,0.84,0.82,0.83,0.82,0.82,0.82,0.82,0.82,0.81,0.81,0.81,0.77,0.77,0.79,0.77,0.76,0.78,0.76,0.77,0.76,0.84,0.84,0.84
ENSLCRT00005005766_ENSLCRG00005000323,0.7,0.68,0.73,0.77,0.93,0.95,0.95,0.96,0.95,1.0,0.96,0.93,0.93,0.9,1e-18,0.75,0.83,0.82,0.84,0.82,0.83,0.82,0.83,0.82,0.82,0.83,0.81,0.81,0.82,0.78,0.78,0.79,0.78,0.76,0.78,0.77,0.78,0.77,0.84,0.85,0.84
