,ENSMLET00000027679_ENSMLEG00000025291,ENSCATT00000021136_ENSCATG00000018410,ENSMNET00000070005_ENSMNEG00000045255,ENSRBIT00000045583_ENSRBIG00000034805,ENSPTET00000027929_ENSPTEG00000020473,ENSTGET00000020090_ENSTGEG00000013594,ENSPANT00000038461_ENSPANG00000035689,ENSPANT00000055485_ENSPANG00000035689,ENSMFAT00000022165_ENSMFAG00000001504,ENSRBIT00000033008_ENSRBIG00000028598,ENSRROT00000034756_ENSRROG00000029736,ENSRROT00000034757_ENSRROG00000029736
ENSMLET00000027679_ENSMLEG00000025291,1.0,0.99,0.88,0.83,1e-18,1e-18,0.82,0.84,1e-18,0.77,0.77,0.81
ENSCATT00000021136_ENSCATG00000018410,0.99,1.0,0.87,0.83,1e-18,1e-18,0.81,0.83,1e-18,0.76,0.77,0.8
ENSMNET00000070005_ENSMNEG00000045255,0.88,0.87,1.0,0.82,1e-18,1e-18,0.81,0.83,1e-18,0.76,0.75,0.8
ENSRBIT00000045583_ENSRBIG00000034805,0.83,0.83,0.82,1.0,1e-18,1e-18,0.79,0.8,1e-18,0.8,0.79,0.82
ENSPTET00000027929_ENSPTEG00000020473,1e-18,1e-18,1e-18,1e-18,1.0,0.88,1e-18,1e-18,0.82,0.81,0.82,0.84
ENSTGET00000020090_ENSTGEG00000013594,1e-18,1e-18,1e-18,1e-18,0.88,1.0,1e-18,0.17,0.87,0.81,0.85,0.84
ENSPANT00000038461_ENSPANG00000035689,0.82,0.81,0.81,0.79,1e-18,1e-18,1.0,0.82,1e-18,0.75,0.74,0.78
ENSPANT00000055485_ENSPANG00000035689,0.84,0.83,0.83,0.8,1e-18,0.17,0.82,1.0,0.32,0.76,0.74,0.78
ENSMFAT00000022165_ENSMFAG00000001504,1e-18,1e-18,1e-18,1e-18,0.82,0.87,1e-18,0.32,1.0,0.79,0.68,0.81
ENSRBIT00000033008_ENSRBIG00000028598,0.77,0.76,0.76,0.8,0.81,0.81,0.75,0.76,0.79,1.0,0.87,0.87
ENSRROT00000034756_ENSRROG00000029736,0.77,0.77,0.75,0.79,0.82,0.85,0.74,0.74,0.68,0.87,1.0,0.88
ENSRROT00000034757_ENSRROG00000029736,0.81,0.8,0.8,0.82,0.84,0.84,0.78,0.78,0.81,0.87,0.88,1.0
