,ENSACAT00000008165_ENSACAG00000008176,ENSAOWT00000025160_ENSAOWG00000015018,ENSAOWT00000025162_ENSAOWG00000015018,ENSAOWT00000025165_ENSAOWG00000015018,ENSAOWT00000025171_ENSAOWG00000015018,ENSAHAT00000024652_ENSAHAG00000015685,ENSAHAT00000024656_ENSAHAG00000015685,ENSAHAT00000024659_ENSAHAG00000015685,ENSAHAT00000024661_ENSAHAG00000015685,ENSARWT00000024828_ENSARWG00000014942,ENSARWT00000024829_ENSARWG00000014942,ENSDNVT00000027371_ENSDNVG00000015775,ENSDNVT00000027376_ENSDNVG00000015775,ENSDNVT00000027384_ENSDNVG00000015775,ENSNPET00000005629_ENSNPEG00000004130,ENSNPET00000005632_ENSNPEG00000004130,ENSMGAT00000013266_ENSMGAG00000011791,ENSMGAT00000020258_ENSMGAG00000011791,ENSGALT00000093867_ENSGALG00000014371,ENSGALT00000006738_ENSGALG00000014371,ENSGALT00000023217_ENSGALG00000014371,ENSGALT00000102541_ENSGALG00000014371,ENSGALT00000054374_ENSGALG00000014371,ENSCJPT00005034532_ENSCJPG00005019927,ENSNMET00000029018_ENSNMEG00000017086,ENSNMET00000029019_ENSNMEG00000017086,ENSNMET00000029020_ENSNMEG00000017086
ENSACAT00000008165_ENSACAG00000008176,1.0,0.39,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.39,0.39,0.39,0.39,0.38,0.38,0.37,0.39,0.39,0.38,0.39,0.38,0.37,0.38,0.38,0.38
ENSAOWT00000025160_ENSAOWG00000015018,0.39,1.0,0.94,0.92,0.92,0.94,0.92,0.92,0.92,0.94,0.94,0.87,0.87,0.86,0.8,0.81,0.8,0.79,0.8,0.8,0.79,0.8,0.8,0.8,0.81,0.81,0.8
ENSAOWT00000025162_ENSAOWG00000015018,0.39,0.94,1.0,0.94,0.94,0.92,0.94,0.92,0.92,0.91,0.91,0.87,0.87,0.86,0.8,0.81,0.8,0.79,0.8,0.8,0.79,0.8,0.8,0.8,0.81,0.81,0.8
ENSAOWT00000025165_ENSAOWG00000015018,0.38,0.92,0.94,1.0,0.94,0.94,0.94,0.95,0.92,0.94,0.91,0.9,0.9,0.88,0.83,0.84,0.83,0.81,0.83,0.83,0.81,0.83,0.83,0.82,0.83,0.81,0.8
ENSAOWT00000025171_ENSAOWG00000015018,0.38,0.92,0.94,0.94,1.0,0.92,0.98,0.92,0.96,0.91,0.95,0.87,0.87,0.86,0.8,0.81,0.8,0.79,0.8,0.8,0.79,0.8,0.8,0.8,0.81,0.81,0.8
ENSAHAT00000024652_ENSAHAG00000015685,0.38,0.94,0.92,0.94,0.92,1.0,0.92,0.95,0.92,0.97,0.94,0.9,0.9,0.88,0.83,0.84,0.83,0.81,0.83,0.83,0.81,0.83,0.83,0.82,0.83,0.81,0.8
ENSAHAT00000024656_ENSAHAG00000015685,0.38,0.92,0.94,0.94,0.98,0.92,1.0,0.92,0.96,0.91,0.95,0.87,0.87,0.86,0.8,0.81,0.8,0.79,0.8,0.8,0.79,0.8,0.8,0.8,0.81,0.81,0.8
ENSAHAT00000024659_ENSAHAG00000015685,0.38,0.92,0.92,0.95,0.92,0.95,0.92,1.0,0.95,0.95,0.92,0.91,0.91,0.89,0.84,0.85,0.84,0.82,0.84,0.84,0.82,0.84,0.84,0.83,0.85,0.82,0.8
ENSAHAT00000024661_ENSAHAG00000015685,0.38,0.92,0.92,0.92,0.96,0.92,0.96,0.95,1.0,0.92,0.96,0.88,0.88,0.86,0.81,0.82,0.81,0.79,0.81,0.81,0.79,0.81,0.81,0.81,0.82,0.82,0.8
ENSARWT00000024828_ENSARWG00000014942,0.38,0.94,0.91,0.94,0.91,0.97,0.91,0.95,0.92,1.0,0.94,0.89,0.89,0.88,0.83,0.84,0.83,0.81,0.83,0.83,0.81,0.83,0.83,0.82,0.83,0.81,0.79
ENSARWT00000024829_ENSARWG00000014942,0.38,0.94,0.91,0.91,0.95,0.94,0.95,0.92,0.96,0.94,1.0,0.87,0.87,0.85,0.8,0.81,0.8,0.79,0.8,0.8,0.79,0.8,0.8,0.8,0.81,0.81,0.79
ENSDNVT00000027371_ENSDNVG00000015775,0.39,0.87,0.87,0.9,0.87,0.9,0.87,0.91,0.88,0.89,0.87,1.0,0.98,0.96,0.85,0.87,0.86,0.84,0.87,0.87,0.84,0.87,0.84,0.86,0.87,0.84,0.82
ENSDNVT00000027376_ENSDNVG00000015775,0.39,0.87,0.87,0.9,0.87,0.9,0.87,0.91,0.88,0.89,0.87,0.98,1.0,0.96,0.85,0.87,0.86,0.84,0.87,0.87,0.84,0.87,0.84,0.86,0.87,0.84,0.82
ENSDNVT00000027384_ENSDNVG00000015775,0.39,0.86,0.86,0.88,0.86,0.88,0.86,0.89,0.86,0.88,0.85,0.96,0.96,1.0,0.84,0.9,0.84,0.87,0.84,0.84,0.88,0.84,0.82,0.83,0.84,0.82,0.84
ENSNPET00000005629_ENSNPEG00000004130,0.39,0.8,0.8,0.83,0.8,0.83,0.8,0.84,0.81,0.83,0.8,0.85,0.85,0.84,1.0,0.93,0.8,0.79,0.81,0.81,0.8,0.81,0.78,0.8,0.81,0.78,0.77
ENSNPET00000005632_ENSNPEG00000004130,0.38,0.81,0.81,0.84,0.81,0.84,0.81,0.85,0.82,0.84,0.81,0.87,0.87,0.9,0.93,1.0,0.81,0.85,0.82,0.82,0.86,0.82,0.8,0.82,0.83,0.79,0.81
ENSMGAT00000013266_ENSMGAG00000011791,0.38,0.8,0.8,0.83,0.8,0.83,0.8,0.84,0.81,0.83,0.8,0.86,0.86,0.84,0.8,0.81,1.0,0.96,0.95,0.95,0.92,0.95,0.92,0.94,0.94,0.9,0.88
ENSMGAT00000020258_ENSMGAG00000011791,0.37,0.79,0.79,0.81,0.79,0.81,0.79,0.82,0.79,0.81,0.79,0.84,0.84,0.87,0.79,0.85,0.96,1.0,0.92,0.92,0.95,0.92,0.9,0.92,0.91,0.88,0.91
ENSGALT00000093867_ENSGALG00000014371,0.39,0.8,0.8,0.83,0.8,0.83,0.8,0.84,0.81,0.83,0.8,0.87,0.87,0.84,0.81,0.82,0.95,0.92,1.0,0.98,0.96,0.98,0.95,0.94,0.94,0.9,0.88
ENSGALT00000006738_ENSGALG00000014371,0.39,0.8,0.8,0.83,0.8,0.83,0.8,0.84,0.81,0.83,0.8,0.87,0.87,0.84,0.81,0.82,0.95,0.92,0.98,1.0,0.96,0.98,0.95,0.94,0.94,0.9,0.88
ENSGALT00000023217_ENSGALG00000014371,0.38,0.79,0.79,0.81,0.79,0.81,0.79,0.82,0.79,0.81,0.79,0.84,0.84,0.88,0.8,0.86,0.92,0.95,0.96,0.96,1.0,0.96,0.93,0.92,0.91,0.88,0.9
ENSGALT00000102541_ENSGALG00000014371,0.39,0.8,0.8,0.83,0.8,0.83,0.8,0.84,0.81,0.83,0.8,0.87,0.87,0.84,0.81,0.82,0.95,0.92,0.98,0.98,0.96,1.0,0.95,0.94,0.94,0.9,0.88
ENSGALT00000054374_ENSGALG00000014371,0.38,0.8,0.8,0.83,0.8,0.83,0.8,0.84,0.81,0.83,0.8,0.84,0.84,0.82,0.78,0.8,0.92,0.9,0.95,0.95,0.93,0.95,1.0,0.91,0.91,0.88,0.86
ENSCJPT00005034532_ENSCJPG00005019927,0.37,0.8,0.8,0.82,0.8,0.82,0.8,0.83,0.81,0.82,0.8,0.86,0.86,0.83,0.8,0.82,0.94,0.92,0.94,0.94,0.92,0.94,0.91,1.0,0.93,0.89,0.87
ENSNMET00000029018_ENSNMEG00000017086,0.38,0.81,0.81,0.83,0.81,0.83,0.81,0.85,0.82,0.83,0.81,0.87,0.87,0.84,0.81,0.83,0.94,0.91,0.94,0.94,0.91,0.94,0.91,0.93,1.0,0.94,0.92
ENSNMET00000029019_ENSNMEG00000017086,0.38,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.82,0.81,0.81,0.84,0.84,0.82,0.78,0.79,0.9,0.88,0.9,0.9,0.88,0.9,0.88,0.89,0.94,1.0,0.94
ENSNMET00000029020_ENSNMEG00000017086,0.38,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.79,0.79,0.82,0.82,0.84,0.77,0.81,0.88,0.91,0.88,0.88,0.9,0.88,0.86,0.87,0.92,0.94,1.0
