,ENSCHAT00000044291_ENSCHAG00000018651,ENSCHAT00000044849_ENSCHAG00000018651,ENSCHAT00000044856_ENSCHAG00000018651,ENSCHAT00000045025_ENSCHAG00000018651,ENSCHAT00000045220_ENSCHAG00000018651,ENSCHAT00000045301_ENSCHAG00000018651,ENSCHAT00000045381_ENSCHAG00000018651,ENSDCDT00000045265_ENSDCDG00000022037,ENSDCDT00000045828_ENSDCDG00000022037,ENSDCDT00000045834_ENSDCDG00000022037,ENSDCDT00000045843_ENSDCDG00000022037,ENSDCDT00000045855_ENSDCDG00000022037
ENSCHAT00000044291_ENSCHAG00000018651,1.0,0.93,0.94,0.96,0.95,0.95,0.91,0.76,0.75,0.75,0.75,0.76
ENSCHAT00000044849_ENSCHAG00000018651,0.93,1.0,0.96,0.94,0.94,0.94,0.91,0.73,0.74,0.75,0.75,0.75
ENSCHAT00000044856_ENSCHAG00000018651,0.94,0.96,1.0,0.94,0.95,0.95,0.91,0.74,0.74,0.75,0.75,0.75
ENSCHAT00000045025_ENSCHAG00000018651,0.96,0.94,0.94,1.0,0.95,0.95,0.91,0.77,0.75,0.76,0.76,0.76
ENSCHAT00000045220_ENSCHAG00000018651,0.95,0.94,0.95,0.95,1.0,0.98,0.91,0.75,0.76,0.77,0.77,0.75
ENSCHAT00000045301_ENSCHAG00000018651,0.95,0.94,0.95,0.95,0.98,1.0,0.91,0.75,0.76,0.77,0.78,0.75
ENSCHAT00000045381_ENSCHAG00000018651,0.91,0.91,0.91,0.91,0.91,0.91,1.0,0.74,0.76,0.75,0.77,0.76
ENSDCDT00000045265_ENSDCDG00000022037,0.76,0.73,0.74,0.77,0.75,0.75,0.74,1.0,0.92,0.93,0.92,0.93
ENSDCDT00000045828_ENSDCDG00000022037,0.75,0.74,0.74,0.75,0.76,0.76,0.76,0.92,1.0,0.94,0.96,0.94
ENSDCDT00000045834_ENSDCDG00000022037,0.75,0.75,0.75,0.76,0.77,0.77,0.75,0.93,0.94,1.0,0.96,0.94
ENSDCDT00000045843_ENSDCDG00000022037,0.75,0.75,0.75,0.76,0.77,0.78,0.77,0.92,0.96,0.96,1.0,0.94
ENSDCDT00000045855_ENSDCDG00000022037,0.76,0.75,0.75,0.76,0.75,0.75,0.76,0.93,0.94,0.94,0.94,1.0
