,ENSPKIT00000007334_ENSPKIG00000009005,ENSTRUT00000014131_ENSTRUG00000005778,ENSLBET00000003162_ENSLBEG00000002365,ENSLBET00000003174_ENSLBEG00000002365,ENSPMET00000005139_ENSPMEG00000008374,ENSPFOT00000013713_ENSPFOG00000013689,ENSPLAT00000022661_ENSPLAG00000018026,ENSPRET00000019851_ENSPREG00000013297,ENSXCOT00000018292_ENSXCOG00000013610,ENSXMAT00000017432_ENSXMAG00000017375,ENSGAFT00000012854_ENSGAFG00000008604,ENSFHET00000001248_ENSFHEG00000010180,ENSCVAT00000011459_ENSCVAG00000003702,ENSKMAT00000025906_ENSKMAG00000018960
ENSPKIT00000007334_ENSPKIG00000009005,1.0,0.39,0.43,0.46,0.52,0.52,0.52,0.51,0.51,0.51,0.51,0.53,0.49,0.53
ENSTRUT00000014131_ENSTRUG00000005778,0.39,1.0,0.54,0.48,0.52,0.52,0.51,0.52,0.52,0.51,0.52,0.52,0.5,0.52
ENSLBET00000003162_ENSLBEG00000002365,0.43,0.54,1.0,0.81,0.58,0.58,0.58,0.58,0.57,0.57,0.57,0.59,0.54,0.59
ENSLBET00000003174_ENSLBEG00000002365,0.46,0.48,0.81,1.0,0.67,0.67,0.66,0.66,0.66,0.65,0.65,0.67,0.63,0.68
ENSPMET00000005139_ENSPMEG00000008374,0.52,0.52,0.58,0.67,1.0,0.91,0.91,0.9,0.89,0.89,0.89,0.83,0.79,0.78
ENSPFOT00000013713_ENSPFOG00000013689,0.52,0.52,0.58,0.67,0.91,1.0,0.91,0.9,0.89,0.89,0.88,0.83,0.79,0.78
ENSPLAT00000022661_ENSPLAG00000018026,0.52,0.51,0.58,0.66,0.91,0.91,1.0,0.9,0.89,0.89,0.88,0.83,0.79,0.78
ENSPRET00000019851_ENSPREG00000013297,0.51,0.52,0.58,0.66,0.9,0.9,0.9,1.0,0.89,0.88,0.88,0.82,0.79,0.77
ENSXCOT00000018292_ENSXCOG00000013610,0.51,0.52,0.57,0.66,0.89,0.89,0.89,0.89,1.0,0.91,0.89,0.83,0.79,0.78
ENSXMAT00000017432_ENSXMAG00000017375,0.51,0.51,0.57,0.65,0.89,0.89,0.89,0.88,0.91,1.0,0.89,0.82,0.79,0.77
ENSGAFT00000012854_ENSGAFG00000008604,0.51,0.52,0.57,0.65,0.89,0.88,0.88,0.88,0.89,0.89,1.0,0.81,0.79,0.77
ENSFHET00000001248_ENSFHEG00000010180,0.53,0.52,0.59,0.67,0.83,0.83,0.83,0.82,0.83,0.82,0.81,1.0,0.79,0.78
ENSCVAT00000011459_ENSCVAG00000003702,0.49,0.5,0.54,0.63,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,1.0,0.75
ENSKMAT00000025906_ENSKMAG00000018960,0.53,0.52,0.59,0.68,0.78,0.78,0.78,0.77,0.78,0.77,0.77,0.78,0.75,1.0
