,FBtr0075519_FBgn0036557,C32A3.2.1_WBGene00007859,ENSEEET00000037010_ENSEEEG00000017376,ENSIPUT00000032804_ENSIPUG00000021226,ENSDART00000147007_ENSDARG00000057855,ENSDART00000080609_ENSDARG00000057855,ENSDCDT00000062769_ENSDCDG00000031065,ENSCHAT00000007010_ENSCHAG00000003907,ENSGWIT00000024364_ENSGWIG00000011932,ENSPMGT00000003930_ENSPMGG00000003183,ENSTRUT00000042290_ENSTRUG00000016490,ENSLCRT00005056358_ENSLCRG00005020685,ENSCGOT00000045961_ENSCGOG00000019427,ENSSDUT00000014365_ENSSDUG00000010247
FBtr0075519_FBgn0036557,1.0,0.33,0.41,0.37,0.39,0.39,0.4,0.42,0.4,0.4,0.43,0.43,0.43,0.46
C32A3.2.1_WBGene00007859,0.33,1.0,0.3,0.26,0.3,0.3,0.3,0.27,0.28,0.33,0.35,0.28,0.32,0.3
ENSEEET00000037010_ENSEEEG00000017376,0.41,0.3,1.0,0.6,0.59,0.59,0.56,0.53,0.53,0.49,0.49,0.55,0.5,0.52
ENSIPUT00000032804_ENSIPUG00000021226,0.37,0.26,0.6,1.0,0.56,0.56,0.52,0.5,0.54,0.49,0.49,0.56,0.49,0.5
ENSDART00000147007_ENSDARG00000057855,0.39,0.3,0.59,0.56,1.0,0.94,0.53,0.51,0.53,0.51,0.51,0.53,0.5,0.53
ENSDART00000080609_ENSDARG00000057855,0.39,0.3,0.59,0.56,0.94,1.0,0.53,0.51,0.53,0.51,0.51,0.53,0.5,0.53
ENSDCDT00000062769_ENSDCDG00000031065,0.4,0.3,0.56,0.52,0.53,0.53,1.0,0.47,0.57,0.54,0.56,0.61,0.52,0.56
ENSCHAT00000007010_ENSCHAG00000003907,0.42,0.27,0.53,0.5,0.51,0.51,0.47,1.0,0.52,0.47,0.42,0.51,0.43,0.46
ENSGWIT00000024364_ENSGWIG00000011932,0.4,0.28,0.53,0.54,0.53,0.53,0.57,0.52,1.0,0.49,0.54,0.61,0.57,0.6
ENSPMGT00000003930_ENSPMGG00000003183,0.4,0.33,0.49,0.49,0.51,0.51,0.54,0.47,0.49,1.0,0.58,0.56,0.58,0.57
ENSTRUT00000042290_ENSTRUG00000016490,0.43,0.35,0.49,0.49,0.51,0.51,0.56,0.42,0.54,0.58,1.0,0.65,0.63,0.64
ENSLCRT00005056358_ENSLCRG00005020685,0.43,0.28,0.55,0.56,0.53,0.53,0.61,0.51,0.61,0.56,0.65,1.0,0.7,0.66
ENSCGOT00000045961_ENSCGOG00000019427,0.43,0.32,0.5,0.49,0.5,0.5,0.52,0.43,0.57,0.58,0.63,0.7,1.0,0.71
ENSSDUT00000014365_ENSSDUG00000010247,0.46,0.3,0.52,0.5,0.53,0.53,0.56,0.46,0.6,0.57,0.64,0.66,0.71,1.0
