,ENSSCAT00000021520_ENSSCAG00000013910,ENSTGUT00000011679_ENSTGUG00000011205,ENSFALT00000005775_ENSFALG00000005522,ENSJHYT00000006427_ENSJHYG00000004286,ENSZALT00000011090_ENSZALG00000006884,ENSPMJT00000026186_ENSPMJG00000014984,ENSPMJT00000026187_ENSPMJG00000014984,ENSCCET00000018130_ENSCCEG00000011318,ENSMVIT00005016654_ENSMVIG00005010611,ENSLCOT00000017809_ENSLCOG00000011976,ENSCPGT00000023795_ENSCPGG00000015154,ENSCPUT00000027032_ENSCPUG00000015579,ENSCPUT00000027033_ENSCPUG00000015579,ENSGALT00000015102_ENSGALG00000009282,ENSMGAT00000013098_ENSMGAG00000011652,ENSNMET00000034141_ENSNMEG00000019950,ENSMUNT00000000890_ENSMUNG00000000707,ENSNPET00000003742_ENSNPEG00000002804,ENSCPRT00005030914_ENSCPRG00005018346,ENSCPRT00005030916_ENSCPRG00005018346,ENSGAGT00000007975_ENSGAGG00000005543,ENSGAGT00000007980_ENSGAGG00000005543,ENSGAGT00000007982_ENSGAGG00000005543,ENSCABT00000003559_ENSCABG00000002509,ENSCABT00000003560_ENSCABG00000002509
ENSSCAT00000021520_ENSSCAG00000013910,1.0,0.93,0.94,0.95,0.94,0.93,0.9,0.93,0.91,0.9,0.88,0.85,0.89,0.86,0.85,0.87,0.87,0.78,0.75,0.75,0.78,0.78,0.78,0.77,0.78
ENSTGUT00000011679_ENSTGUG00000011205,0.93,1.0,0.92,0.92,0.92,0.92,0.89,0.92,0.9,0.89,0.88,0.84,0.88,0.86,0.87,0.86,0.86,0.77,0.74,0.74,0.77,0.77,0.77,0.76,0.77
ENSFALT00000005775_ENSFALG00000005522,0.94,0.92,1.0,0.94,0.94,0.93,0.89,0.93,0.9,0.89,0.88,0.85,0.89,0.86,0.86,0.87,0.87,0.78,0.74,0.74,0.78,0.78,0.78,0.77,0.78
ENSJHYT00000006427_ENSJHYG00000004286,0.95,0.92,0.94,1.0,0.97,0.93,0.89,0.93,0.9,0.89,0.88,0.85,0.89,0.86,0.85,0.86,0.86,0.78,0.74,0.74,0.78,0.78,0.78,0.77,0.77
ENSZALT00000011090_ENSZALG00000006884,0.94,0.92,0.94,0.97,1.0,0.92,0.89,0.92,0.9,0.89,0.88,0.85,0.88,0.86,0.85,0.86,0.86,0.78,0.75,0.75,0.78,0.78,0.78,0.77,0.77
ENSPMJT00000026186_ENSPMJG00000014984,0.93,0.92,0.93,0.93,0.92,1.0,0.93,0.96,0.9,0.89,0.88,0.85,0.89,0.86,0.85,0.86,0.87,0.79,0.74,0.74,0.78,0.78,0.78,0.77,0.78
ENSPMJT00000026187_ENSPMJG00000014984,0.9,0.89,0.89,0.89,0.89,0.93,1.0,0.92,0.86,0.86,0.85,0.83,0.85,0.82,0.82,0.83,0.85,0.75,0.72,0.72,0.74,0.74,0.74,0.74,0.74
ENSCCET00000018130_ENSCCEG00000011318,0.93,0.92,0.93,0.93,0.92,0.96,0.92,1.0,0.9,0.89,0.88,0.85,0.88,0.86,0.85,0.86,0.87,0.78,0.74,0.74,0.78,0.78,0.78,0.77,0.77
ENSMVIT00005016654_ENSMVIG00005010611,0.91,0.9,0.9,0.9,0.9,0.9,0.86,0.9,1.0,0.96,0.89,0.86,0.89,0.88,0.87,0.88,0.88,0.78,0.75,0.75,0.78,0.78,0.78,0.77,0.77
ENSLCOT00000017809_ENSLCOG00000011976,0.9,0.89,0.89,0.89,0.89,0.89,0.86,0.89,0.96,1.0,0.89,0.85,0.89,0.87,0.86,0.88,0.87,0.77,0.74,0.74,0.77,0.77,0.77,0.77,0.77
ENSCPGT00000023795_ENSCPGG00000015154,0.88,0.88,0.88,0.88,0.88,0.88,0.85,0.88,0.89,0.89,1.0,0.91,0.95,0.88,0.87,0.87,0.88,0.8,0.75,0.75,0.78,0.78,0.78,0.77,0.78
ENSCPUT00000027032_ENSCPUG00000015579,0.85,0.84,0.85,0.85,0.85,0.85,0.83,0.85,0.86,0.85,0.91,1.0,0.94,0.84,0.83,0.84,0.84,0.76,0.79,0.79,0.75,0.75,0.75,0.74,0.75
ENSCPUT00000027033_ENSCPUG00000015579,0.89,0.88,0.89,0.89,0.88,0.89,0.85,0.88,0.89,0.89,0.95,0.94,1.0,0.88,0.87,0.87,0.88,0.8,0.75,0.75,0.79,0.79,0.79,0.78,0.78
ENSGALT00000015102_ENSGALG00000009282,0.86,0.86,0.86,0.86,0.86,0.86,0.82,0.86,0.88,0.87,0.88,0.84,0.88,1.0,0.94,0.93,0.86,0.78,0.74,0.74,0.77,0.77,0.77,0.76,0.77
ENSMGAT00000013098_ENSMGAG00000011652,0.85,0.87,0.86,0.85,0.85,0.85,0.82,0.85,0.87,0.86,0.87,0.83,0.87,0.94,1.0,0.92,0.85,0.77,0.73,0.73,0.76,0.76,0.76,0.75,0.76
ENSNMET00000034141_ENSNMEG00000019950,0.87,0.86,0.87,0.86,0.86,0.86,0.83,0.86,0.88,0.88,0.87,0.84,0.87,0.93,0.92,1.0,0.86,0.77,0.74,0.74,0.77,0.77,0.77,0.77,0.77
ENSMUNT00000000890_ENSMUNG00000000707,0.87,0.86,0.87,0.86,0.86,0.87,0.85,0.87,0.88,0.87,0.88,0.84,0.88,0.86,0.85,0.86,1.0,0.78,0.74,0.74,0.78,0.78,0.78,0.77,0.77
ENSNPET00000003742_ENSNPEG00000002804,0.78,0.77,0.78,0.78,0.78,0.79,0.75,0.78,0.78,0.77,0.8,0.76,0.8,0.78,0.77,0.77,0.78,1.0,0.7,0.7,0.74,0.74,0.74,0.73,0.75
ENSCPRT00005030914_ENSCPRG00005018346,0.75,0.74,0.74,0.74,0.75,0.74,0.72,0.74,0.75,0.74,0.75,0.79,0.75,0.74,0.73,0.74,0.74,0.7,1.0,0.98,0.78,0.78,0.78,0.77,0.77
