,F21C3.5.1_WBGene00009004,FBtr0074894_FBgn0036918,FBtr0330181_FBgn0036918,ENSPVIT00000006161_ENSPVIG00000003923,ENSPVIT00000006204_ENSPVIG00000003950,ENSNSUT00000007231_ENSNSUG00000005338,ENSSMRT00000005336_ENSSMRG00000003728,ENSSMRT00000000154_ENSSMRG00000000135,ENSACAT00000003533_ENSACAG00000003551,ENSACAT00000004270_ENSACAG00000004292,ENSCCET00000003197_ENSCCEG00000002167,ENSCCET00000003198_ENSCCEG00000002167,ENSGAGT00000021430_ENSGAGG00000013911,ENSCABT00000001210_ENSCABG00000000938
F21C3.5.1_WBGene00009004,1.0,0.44,0.44,0.46,0.4,0.43,0.46,0.47,0.4,0.42,0.42,0.37,0.39,0.44
FBtr0074894_FBgn0036918,0.44,1.0,0.9,0.43,0.45,0.48,0.5,0.47,0.43,0.43,0.43,0.38,0.41,0.42
FBtr0330181_FBgn0036918,0.44,0.9,1.0,0.43,0.45,0.48,0.5,0.47,0.43,0.43,0.43,0.38,0.41,0.42
ENSPVIT00000006161_ENSPVIG00000003923,0.46,0.43,0.43,1.0,0.82,0.74,0.76,0.49,0.75,0.73,0.63,0.63,0.63,0.72
ENSPVIT00000006204_ENSPVIG00000003950,0.4,0.45,0.45,0.82,1.0,0.66,0.69,0.51,0.66,0.65,0.57,0.58,0.61,0.65
ENSNSUT00000007231_ENSNSUG00000005338,0.43,0.48,0.48,0.74,0.66,1.0,0.75,0.53,0.72,0.69,0.62,0.62,0.63,0.71
ENSSMRT00000005336_ENSSMRG00000003728,0.46,0.5,0.5,0.76,0.69,0.75,1.0,0.58,0.77,0.79,0.67,0.67,0.69,0.74
ENSSMRT00000000154_ENSSMRG00000000135,0.47,0.47,0.47,0.49,0.51,0.53,0.58,1.0,0.53,0.69,0.57,0.58,0.5,0.49
ENSACAT00000003533_ENSACAG00000003551,0.4,0.43,0.43,0.75,0.66,0.72,0.77,0.53,1.0,0.92,0.63,0.63,0.65,0.71
ENSACAT00000004270_ENSACAG00000004292,0.42,0.43,0.43,0.73,0.65,0.69,0.79,0.69,0.92,1.0,0.66,0.67,0.65,0.7
ENSCCET00000003197_ENSCCEG00000002167,0.42,0.43,0.43,0.63,0.57,0.62,0.67,0.57,0.63,0.66,1.0,0.9,0.59,0.63
ENSCCET00000003198_ENSCCEG00000002167,0.37,0.38,0.38,0.63,0.58,0.62,0.67,0.58,0.63,0.67,0.9,1.0,0.58,0.63
ENSGAGT00000021430_ENSGAGG00000013911,0.39,0.41,0.41,0.63,0.61,0.63,0.69,0.5,0.65,0.65,0.59,0.58,1.0,0.86
ENSCABT00000001210_ENSCABG00000000938,0.44,0.42,0.42,0.72,0.65,0.71,0.74,0.49,0.71,0.7,0.63,0.63,0.86,1.0
