,ENSAPOT00000009026_ENSAPOG00000006668,ENSSPAT00000005104_ENSSPAG00000003881,ENSPRNT00000007772_ENSPRNG00000004220,ENSMZET00005019192_ENSMZEG00005013960,ENSHBUT00000004700_ENSHBUG00000008247,ENSPNYT00000032832_ENSPNYG00000024205,ENSACLT00000017832_ENSACLG00000011896,ENSNBRT00000025770_ENSNBRG00000019196,ENSACIT00000027726_ENSACIG00000020940,ENSPRET00000006144_ENSPREG00000004220,ENSPFOT00000031773_ENSPFOG00000024028,ENSPFOT00000025488_ENSPFOG00000024028,ENSXMAT00000037623_ENSXMAG00000021427,ENSXMAT00000030810_ENSXMAG00000021427,ENSXMAT00000030886_ENSXMAG00000021427,ENSXCOT00000018788_ENSXCOG00000013968,ENSGAFT00000019936_ENSGAFG00000013350,ENSCVAT00000012078_ENSCVAG00000003286,ENSKMAT00000003799_ENSKMAG00000002846,ENSORLT00000034759_ENSORLG00000026667
ENSAPOT00000009026_ENSAPOG00000006668,1.0,0.74,0.66,0.63,0.63,0.63,0.62,0.6,0.63,0.61,0.58,0.53,0.6,0.6,0.6,0.6,0.56,0.59,0.57,0.57
ENSSPAT00000005104_ENSSPAG00000003881,0.74,1.0,0.62,0.6,0.6,0.6,0.6,0.57,0.59,0.56,0.54,0.51,0.57,0.57,0.57,0.57,0.53,0.55,0.55,0.55
ENSPRNT00000007772_ENSPRNG00000004220,0.66,0.62,1.0,0.64,0.64,0.64,0.64,0.61,0.65,0.59,0.57,0.54,0.6,0.6,0.59,0.59,0.55,0.57,0.59,0.57
ENSMZET00005019192_ENSMZEG00005013960,0.63,0.6,0.64,1.0,0.96,0.96,0.96,0.92,0.81,0.63,0.6,0.57,0.63,0.63,0.63,0.63,0.6,0.63,0.65,0.62
ENSHBUT00000004700_ENSHBUG00000008247,0.63,0.6,0.64,0.96,1.0,0.96,0.96,0.92,0.81,0.63,0.6,0.57,0.63,0.63,0.62,0.63,0.6,0.63,0.65,0.61
ENSPNYT00000032832_ENSPNYG00000024205,0.63,0.6,0.64,0.96,0.96,1.0,0.96,0.92,0.81,0.63,0.6,0.57,0.63,0.63,0.62,0.63,0.6,0.63,0.65,0.62
ENSACLT00000017832_ENSACLG00000011896,0.62,0.6,0.64,0.96,0.96,0.96,1.0,0.92,0.81,0.63,0.6,0.57,0.63,0.63,0.63,0.63,0.6,0.63,0.65,0.62
ENSNBRT00000025770_ENSNBRG00000019196,0.6,0.57,0.61,0.92,0.92,0.92,0.92,1.0,0.78,0.6,0.58,0.57,0.61,0.61,0.6,0.6,0.57,0.61,0.63,0.58
ENSACIT00000027726_ENSACIG00000020940,0.63,0.59,0.65,0.81,0.81,0.81,0.81,0.78,1.0,0.62,0.6,0.57,0.62,0.62,0.62,0.62,0.58,0.62,0.64,0.62
ENSPRET00000006144_ENSPREG00000004220,0.61,0.56,0.59,0.63,0.63,0.63,0.63,0.6,0.62,1.0,0.88,0.82,0.92,0.92,0.92,0.92,0.87,0.71,0.67,0.64
ENSPFOT00000031773_ENSPFOG00000024028,0.58,0.54,0.57,0.6,0.6,0.6,0.6,0.58,0.6,0.88,1.0,0.88,0.88,0.88,0.88,0.88,0.83,0.69,0.64,0.62
ENSPFOT00000025488_ENSPFOG00000024028,0.53,0.51,0.54,0.57,0.57,0.57,0.57,0.57,0.57,0.82,0.88,1.0,0.81,0.81,0.81,0.81,0.8,0.61,0.6,0.57
ENSXMAT00000037623_ENSXMAG00000021427,0.6,0.57,0.6,0.63,0.63,0.63,0.63,0.61,0.62,0.92,0.88,0.81,1.0,0.97,0.97,0.96,0.88,0.73,0.68,0.64
ENSXMAT00000030810_ENSXMAG00000021427,0.6,0.57,0.6,0.63,0.63,0.63,0.63,0.61,0.62,0.92,0.88,0.81,0.97,1.0,0.97,0.96,0.88,0.73,0.68,0.64
ENSXMAT00000030886_ENSXMAG00000021427,0.6,0.57,0.59,0.63,0.62,0.62,0.63,0.6,0.62,0.92,0.88,0.81,0.97,0.97,1.0,0.96,0.88,0.73,0.69,0.64
ENSXCOT00000018788_ENSXCOG00000013968,0.6,0.57,0.59,0.63,0.63,0.63,0.63,0.6,0.62,0.92,0.88,0.81,0.96,0.96,0.96,1.0,0.88,0.74,0.69,0.64
ENSGAFT00000019936_ENSGAFG00000013350,0.56,0.53,0.55,0.6,0.6,0.6,0.6,0.57,0.58,0.87,0.83,0.8,0.88,0.88,0.88,0.88,1.0,0.69,0.64,0.6
ENSCVAT00000012078_ENSCVAG00000003286,0.59,0.55,0.57,0.63,0.63,0.63,0.63,0.61,0.62,0.71,0.69,0.61,0.73,0.73,0.73,0.74,0.69,1.0,0.63,0.59
ENSKMAT00000003799_ENSKMAG00000002846,0.57,0.55,0.59,0.65,0.65,0.65,0.65,0.63,0.64,0.67,0.64,0.6,0.68,0.68,0.69,0.69,0.64,0.63,1.0,0.61
ENSORLT00000034759_ENSORLG00000026667,0.57,0.55,0.57,0.62,0.61,0.62,0.62,0.58,0.62,0.64,0.62,0.57,0.64,0.64,0.64,0.64,0.6,0.59,0.61,1.0
