,ENSGAGT00000022320_ENSGAGG00000014452,ENSCABT00000034174_ENSCABG00000022781,ENSPSIT00000001088_ENSPSIG00000001087,ENSCPRT00005027547_ENSCPRG00005016388,ENSACAT00000002101_ENSACAG00000002160,ENSNSUT00000000391_ENSNSUG00000000367,ENSSMRT00000032957_ENSSMRG00000021728,ENSPVIT00000007655_ENSPVIG00000004911,ENSPVIT00000020490_ENSPVIG00000012657,ENSACAT00000002091_ENSACAG00000002132,ENSPVIT00000020489_ENSPVIG00000012656,ENSSPUT00000000289_ENSSPUG00000000276,ENSDNVT00000012754_ENSDNVG00000007483,ENSFALT00000000279_ENSFALG00000000268,ENSJHYT00000000009_ENSJHYG00000000007,ENSTGUT00000004278_ENSTGUG00000004118
ENSGAGT00000022320_ENSGAGG00000014452,1.0,0.82,0.67,0.57,0.51,0.42,0.47,0.29,0.3,0.02,0.05,0.58,0.37,0.41,0.44,0.44
ENSCABT00000034174_ENSCABG00000022781,0.82,1.0,0.72,0.56,0.49,0.46,0.47,0.41,0.41,0.41,0.43,0.6,0.53,0.5,0.53,0.5
ENSPSIT00000001088_ENSPSIG00000001087,0.67,0.72,1.0,0.55,0.47,0.46,0.44,0.39,0.39,0.42,0.44,0.61,0.5,0.48,0.5,0.48
ENSCPRT00005027547_ENSCPRG00005016388,0.57,0.56,0.55,1.0,0.42,0.41,0.44,0.35,0.35,0.38,0.36,0.52,0.44,0.42,0.46,0.45
ENSACAT00000002101_ENSACAG00000002160,0.51,0.49,0.47,0.42,1.0,0.61,0.58,0.46,0.47,0.47,0.55,0.5,0.45,0.43,0.46,0.46
ENSNSUT00000000391_ENSNSUG00000000367,0.42,0.46,0.46,0.41,0.61,1.0,0.54,0.5,0.5,0.53,0.54,0.47,0.43,0.41,0.42,0.42
ENSSMRT00000032957_ENSSMRG00000021728,0.47,0.47,0.44,0.44,0.58,0.54,1.0,0.42,0.42,0.51,0.5,0.47,0.46,0.42,0.44,0.45
ENSPVIT00000007655_ENSPVIG00000004911,0.29,0.41,0.39,0.35,0.46,0.5,0.42,1.0,0.9,0.56,0.53,0.4,0.37,0.37,0.37,0.36
ENSPVIT00000020490_ENSPVIG00000012657,0.3,0.41,0.39,0.35,0.47,0.5,0.42,0.9,1.0,0.56,0.53,0.4,0.37,0.37,0.37,0.36
ENSACAT00000002091_ENSACAG00000002132,0.02,0.41,0.42,0.38,0.47,0.53,0.51,0.56,0.56,1.0,0.58,0.39,0.38,0.36,0.36,0.33
ENSPVIT00000020489_ENSPVIG00000012656,0.05,0.43,0.44,0.36,0.55,0.54,0.5,0.53,0.53,0.58,1.0,0.46,0.39,0.37,0.38,0.37
ENSSPUT00000000289_ENSSPUG00000000276,0.58,0.6,0.61,0.52,0.5,0.47,0.47,0.4,0.4,0.39,0.46,1.0,0.47,0.44,0.46,0.46
ENSDNVT00000012754_ENSDNVG00000007483,0.37,0.53,0.5,0.44,0.45,0.43,0.46,0.37,0.37,0.38,0.39,0.47,1.0,0.67,0.69,0.67
ENSFALT00000000279_ENSFALG00000000268,0.41,0.5,0.48,0.42,0.43,0.41,0.42,0.37,0.37,0.36,0.37,0.44,0.67,1.0,0.83,0.78
ENSJHYT00000000009_ENSJHYG00000000007,0.44,0.53,0.5,0.46,0.46,0.42,0.44,0.37,0.37,0.36,0.38,0.46,0.69,0.83,1.0,0.8
ENSTGUT00000004278_ENSTGUG00000004118,0.44,0.5,0.48,0.45,0.46,0.42,0.45,0.36,0.36,0.33,0.37,0.46,0.67,0.78,0.8,1.0
