,ENSPVIT00000037640_ENSPVIG00000022585,ENSPVIT00000037641_ENSPVIG00000022585,ENSNSUT00000011950_ENSNSUG00000008466,ENSSMRT00000009643_ENSSMRG00000006620,ENSSMRT00000009647_ENSSMRG00000006620,ENSSPUT00000001632_ENSSPUG00000001207,ENSGAGT00000025397_ENSGAGG00000016369,ENSGAGT00000006737_ENSGAGG00000004701,ENSGAGT00000006739_ENSGAGG00000004701,ENSGAGT00000004561_ENSGAGG00000003210,ENSGAGT00000007770_ENSGAGG00000005397
ENSPVIT00000037640_ENSPVIG00000022585,1.0,0.93,0.75,0.79,0.82,0.76,0.55,0.66,0.66,0.68,0.67
ENSPVIT00000037641_ENSPVIG00000022585,0.93,1.0,0.74,0.75,0.76,0.68,0.54,0.66,0.65,0.65,0.64
ENSNSUT00000011950_ENSNSUG00000008466,0.75,0.74,1.0,0.74,0.76,0.67,0.57,0.66,0.65,0.64,0.64
ENSSMRT00000009643_ENSSMRG00000006620,0.79,0.75,0.74,1.0,0.97,0.74,0.59,0.68,0.68,0.67,0.67
ENSSMRT00000009647_ENSSMRG00000006620,0.82,0.76,0.76,0.97,1.0,0.76,0.6,0.69,0.69,0.68,0.68
ENSSPUT00000001632_ENSSPUG00000001207,0.76,0.68,0.67,0.74,0.76,1.0,0.62,0.72,0.72,0.73,0.72
ENSGAGT00000025397_ENSGAGG00000016369,0.55,0.54,0.57,0.59,0.6,0.62,1.0,0.81,0.81,0.5,0.64
ENSGAGT00000006737_ENSGAGG00000004701,0.66,0.66,0.66,0.68,0.69,0.72,0.81,1.0,0.98,0.88,0.85
ENSGAGT00000006739_ENSGAGG00000004701,0.66,0.65,0.65,0.68,0.69,0.72,0.81,0.98,1.0,0.88,0.86
ENSGAGT00000004561_ENSGAGG00000003210,0.68,0.65,0.64,0.67,0.68,0.73,0.5,0.88,0.88,1.0,0.93
ENSGAGT00000007770_ENSGAGG00000005397,0.67,0.64,0.64,0.67,0.68,0.72,0.64,0.85,0.86,0.93,1.0
