,ENSPVIT00000028074_ENSPVIG00000017104,ENSSMRT00000008839_ENSSMRG00000006071,ENSSMRT00000008853_ENSSMRG00000006071,ENSSPUT00000012973_ENSSPUG00000009265,ENSAHAT00000010190_ENSAHAG00000006682,ENSAOWT00000023316_ENSAOWG00000013920,ENSARWT00000031391_ENSARWG00000018746,ENSDNVT00000019719_ENSDNVG00000011520,ENSNPET00000015706_ENSNPEG00000011428,ENSABRT00000002588_ENSABRG00000001767
ENSPVIT00000028074_ENSPVIG00000017104,1.0,0.77,0.77,0.78,0.77,0.77,0.77,0.78,0.74,0.77
ENSSMRT00000008839_ENSSMRG00000006071,0.77,1.0,0.99,0.76,0.76,0.76,0.76,0.76,0.72,0.75
ENSSMRT00000008853_ENSSMRG00000006071,0.77,0.99,1.0,0.76,0.76,0.76,0.76,0.76,0.72,0.75
ENSSPUT00000012973_ENSSPUG00000009265,0.78,0.76,0.76,1.0,0.83,0.83,0.83,0.83,0.76,0.83
ENSAHAT00000010190_ENSAHAG00000006682,0.77,0.76,0.76,0.83,1.0,1.0,0.99,0.95,0.85,0.94
ENSAOWT00000023316_ENSAOWG00000013920,0.77,0.76,0.76,0.83,1.0,1.0,0.99,0.96,0.85,0.94
ENSARWT00000031391_ENSARWG00000018746,0.77,0.76,0.76,0.83,0.99,0.99,1.0,0.95,0.85,0.93
ENSDNVT00000019719_ENSDNVG00000011520,0.78,0.76,0.76,0.83,0.95,0.96,0.95,1.0,0.86,0.93
ENSNPET00000015706_ENSNPEG00000011428,0.74,0.72,0.72,0.76,0.85,0.85,0.85,0.86,1.0,0.85
ENSABRT00000002588_ENSABRG00000001767,0.77,0.75,0.75,0.83,0.94,0.94,0.93,0.93,0.85,1.0
