,ENSDCDT00000050829_ENSDCDG00000026403,ENSLBET00000034798_ENSLBEG00000025106,ENSTRUT00000058326_ENSTRUG00000024937,ENSPMGT00000027996_ENSPMGG00000021206,ENSXMAT00000026123_ENSXMAG00000022575,ENSXCOT00000020456_ENSXCOG00000015150,ENSPMET00000016600_ENSPMEG00000024461,ENSFHET00000006187_ENSFHEG00000007024,ENSKMAT00000012432_ENSKMAG00000009210,ENSGWIT00000042836_ENSGWIG00000020011,ENSCSET00000012462_ENSCSEG00000007955,ENSCSET00000030205_ENSCSEG00000019104,ENSCSET00000018275_ENSCSEG00000011587,ENSSMAT00000032505_ENSSMAG00000019674,ENSPRET00000028300_ENSPREG00000018939,ENSPLAT00000014363_ENSPLAG00000002757,ENSCVAT00000003908_ENSCVAG00000008708
ENSDCDT00000050829_ENSDCDG00000026403,1.0,1e-18,0.62,1e-18,1e-18,1e-18,1e-18,1e-18,0.76,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
ENSLBET00000034798_ENSLBEG00000025106,1e-18,1.0,0.67,0.69,0.76,0.76,0.76,0.75,1e-18,0.77,0.79,0.74,0.74,0.75,0.83,0.77,0.78
ENSTRUT00000058326_ENSTRUG00000024937,0.62,0.67,1.0,0.57,0.66,0.66,0.66,0.66,0.63,0.66,0.67,0.64,0.64,0.62,0.67,0.55,0.65
ENSPMGT00000027996_ENSPMGG00000021206,1e-18,0.69,0.57,1.0,0.65,0.65,0.66,0.65,1e-18,0.64,0.65,0.61,0.63,0.63,0.68,0.68,0.67
ENSXMAT00000026123_ENSXMAG00000022575,1e-18,0.76,0.66,0.65,1.0,1.0,0.98,0.96,1e-18,0.91,0.79,0.9,0.9,0.93,0.83,0.83,0.8
ENSXCOT00000020456_ENSXCOG00000015150,1e-18,0.76,0.66,0.65,1.0,1.0,0.98,0.96,1e-18,0.91,0.79,0.9,0.9,0.93,0.83,0.83,0.8
ENSPMET00000016600_ENSPMEG00000024461,1e-18,0.76,0.66,0.66,0.98,0.98,1.0,0.96,1e-18,0.91,0.79,0.9,0.91,0.92,0.82,0.85,0.8
ENSFHET00000006187_ENSFHEG00000007024,1e-18,0.75,0.66,0.65,0.96,0.96,0.96,1.0,1e-18,0.9,0.79,0.89,0.89,0.92,0.81,0.81,0.78
ENSKMAT00000012432_ENSKMAG00000009210,0.76,1e-18,0.63,1e-18,1e-18,1e-18,1e-18,1e-18,1.0,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
ENSGWIT00000042836_ENSGWIG00000020011,1e-18,0.77,0.66,0.64,0.91,0.91,0.91,0.9,1e-18,1.0,0.8,0.9,0.89,0.91,0.75,0.76,0.76
ENSCSET00000012462_ENSCSEG00000007955,1e-18,0.79,0.67,0.65,0.79,0.79,0.79,0.79,1e-18,0.8,1.0,0.9,0.87,0.8,0.79,0.78,0.79
ENSCSET00000030205_ENSCSEG00000019104,1e-18,0.74,0.64,0.61,0.9,0.9,0.9,0.89,1e-18,0.9,0.9,1.0,0.98,0.9,0.74,0.73,0.74
ENSCSET00000018275_ENSCSEG00000011587,1e-18,0.74,0.64,0.63,0.9,0.9,0.91,0.89,1e-18,0.89,0.87,0.98,1.0,0.91,0.75,0.74,0.75
ENSSMAT00000032505_ENSSMAG00000019674,1e-18,0.75,0.62,0.63,0.93,0.93,0.92,0.92,1e-18,0.91,0.8,0.9,0.91,1.0,0.77,0.76,0.76
ENSPRET00000028300_ENSPREG00000018939,1e-18,0.83,0.67,0.68,0.83,0.83,0.82,0.81,1e-18,0.75,0.79,0.74,0.75,0.77,1.0,0.83,0.8
ENSPLAT00000014363_ENSPLAG00000002757,1e-18,0.77,0.55,0.68,0.83,0.83,0.85,0.81,1e-18,0.76,0.78,0.73,0.74,0.76,0.83,1.0,0.82
ENSCVAT00000003908_ENSCVAG00000008708,1e-18,0.78,0.65,0.67,0.8,0.8,0.8,0.78,1e-18,0.76,0.79,0.74,0.75,0.76,0.8,0.82,1.0
