,ENSPCIT00000029673_ENSPCIG00000017908,ENSPCIT00000029990_ENSPCIG00000017908,ENSPCIT00000029672_ENSPCIG00000017908,ENSPCIT00000029948_ENSPCIG00000017908,ENSVURT00010036134_ENSVURG00010024250,ENSVURT00010036137_ENSVURG00010024250,ENSVURT00010036138_ENSVURG00010024250,ENSVURT00010036145_ENSVURG00010024250,ENSSHAT00000016563_ENSSHAG00000013976,ENSSHAT00000016564_ENSSHAG00000013976,ENSMODT00000068127_ENSMODG00000014318,ENSMODT00000018226_ENSMODG00000014318,ENSMODT00000067761_ENSMODG00000014318,ENSMODT00000084166_ENSMODG00000014318,ENSMODT00000085819_ENSMODG00000014318,ENSPVAT00000007635_ENSPVAG00000007632,ENSUMAT00000033001_ENSUMAG00000020264,ENSUMAT00000033022_ENSUMAG00000020264,ENSUAMT00000005627_ENSUAMG00000003689,ENSUAMT00000005719_ENSUAMG00000003689,ENSUAMT00000005872_ENSUAMG00000003689,ENSUAMT00000005917_ENSUAMG00000003689,ENSUAMT00000005992_ENSUAMG00000003689,ENSAMET00000010847_ENSAMEG00000009821,ENSNVIT00000006235_ENSNVIG00000003868,ENSNVIT00000006246_ENSNVIG00000003868,ENSNVIT00000006251_ENSNVIG00000003868
ENSPCIT00000029673_ENSPCIG00000017908,1.0,0.99,0.98,0.99,0.96,0.97,0.97,0.97,0.93,0.92,0.94,0.93,0.94,0.94,0.75,0.8,0.88,0.87,0.86,0.84,0.86,0.84,0.84,0.87,0.87,0.88,0.87
ENSPCIT00000029990_ENSPCIG00000017908,0.99,1.0,0.99,0.98,0.95,0.96,0.97,0.97,0.94,0.93,0.93,0.94,0.94,0.93,0.75,0.8,0.87,0.88,0.86,0.85,0.85,0.84,0.85,0.87,0.86,0.87,0.88
ENSPCIT00000029672_ENSPCIG00000017908,0.98,0.99,1.0,0.97,0.94,0.95,0.96,0.96,0.93,0.92,0.92,0.93,0.92,0.92,0.75,0.82,0.86,0.86,0.84,0.84,0.83,0.83,0.83,0.85,0.85,0.86,0.86
ENSPCIT00000029948_ENSPCIG00000017908,0.99,0.98,0.97,1.0,0.95,0.97,0.97,0.96,0.93,0.92,0.93,0.93,0.95,0.93,0.75,0.79,0.87,0.86,0.85,0.84,0.85,0.83,0.84,0.86,0.88,0.87,0.86
ENSVURT00010036134_ENSVURG00010024250,0.96,0.95,0.94,0.95,1.0,0.97,0.98,0.97,0.92,0.91,0.93,0.92,0.93,0.93,0.77,0.79,0.86,0.86,0.86,0.85,0.86,0.84,0.84,0.86,0.85,0.86,0.86
ENSVURT00010036137_ENSVURG00010024250,0.97,0.96,0.95,0.97,0.97,1.0,0.99,0.98,0.93,0.92,0.94,0.93,0.96,0.94,0.75,0.8,0.88,0.87,0.86,0.84,0.85,0.84,0.84,0.87,0.88,0.87,0.87
ENSVURT00010036138_ENSVURG00010024250,0.97,0.97,0.96,0.97,0.98,0.99,1.0,0.99,0.94,0.93,0.94,0.94,0.95,0.94,0.76,0.8,0.88,0.88,0.87,0.85,0.86,0.84,0.85,0.88,0.87,0.88,0.87
ENSVURT00010036145_ENSVURG00010024250,0.97,0.97,0.96,0.96,0.97,0.98,0.99,1.0,0.94,0.93,0.94,0.94,0.94,0.94,0.76,0.8,0.88,0.88,0.86,0.86,0.85,0.85,0.85,0.87,0.87,0.87,0.88
ENSSHAT00000016563_ENSSHAG00000013976,0.93,0.94,0.93,0.93,0.92,0.93,0.94,0.94,1.0,0.97,0.93,0.93,0.92,0.92,0.73,0.8,0.86,0.86,0.84,0.84,0.84,0.83,0.84,0.86,0.85,0.86,0.87
ENSSHAT00000016564_ENSSHAG00000013976,0.92,0.93,0.92,0.92,0.91,0.92,0.93,0.93,0.97,1.0,0.91,0.91,0.91,0.91,0.72,0.79,0.85,0.85,0.83,0.83,0.83,0.82,0.83,0.84,0.84,0.85,0.85
ENSMODT00000068127_ENSMODG00000014318,0.94,0.93,0.92,0.93,0.93,0.94,0.94,0.94,0.93,0.91,1.0,0.99,0.98,0.98,0.81,0.79,0.87,0.86,0.86,0.84,0.85,0.83,0.84,0.87,0.86,0.87,0.86
ENSMODT00000018226_ENSMODG00000014318,0.93,0.94,0.93,0.93,0.92,0.93,0.94,0.94,0.93,0.91,0.99,1.0,0.98,0.98,0.81,0.79,0.86,0.87,0.85,0.84,0.84,0.84,0.84,0.87,0.85,0.86,0.87
ENSMODT00000067761_ENSMODG00000014318,0.94,0.94,0.92,0.95,0.93,0.96,0.95,0.94,0.92,0.91,0.98,0.98,1.0,0.98,0.81,0.79,0.87,0.86,0.86,0.84,0.85,0.83,0.84,0.87,0.88,0.87,0.86
ENSMODT00000084166_ENSMODG00000014318,0.94,0.93,0.92,0.93,0.93,0.94,0.94,0.94,0.92,0.91,0.98,0.98,0.98,1.0,0.81,0.79,0.87,0.86,0.85,0.84,0.85,0.83,0.83,0.86,0.86,0.87,0.86
ENSMODT00000085819_ENSMODG00000014318,0.75,0.75,0.75,0.75,0.77,0.75,0.76,0.76,0.73,0.72,0.81,0.81,0.81,0.81,1.0,0.7,0.71,0.71,0.29,0.32,1e-18,1e-18,1e-18,0.69,0.7,0.7,0.7
ENSPVAT00000007635_ENSPVAG00000007632,0.8,0.8,0.82,0.79,0.79,0.8,0.8,0.8,0.8,0.79,0.79,0.79,0.79,0.79,0.7,1.0,0.86,0.86,0.84,0.84,0.84,0.83,0.84,0.86,0.85,0.86,0.86
ENSUMAT00000033001_ENSUMAG00000020264,0.88,0.87,0.86,0.87,0.86,0.88,0.88,0.88,0.86,0.85,0.87,0.86,0.87,0.87,0.71,0.86,1.0,0.99,0.98,0.96,0.97,0.96,0.97,0.98,0.96,0.97,0.96
ENSUMAT00000033022_ENSUMAG00000020264,0.87,0.88,0.86,0.86,0.86,0.87,0.88,0.88,0.86,0.85,0.86,0.87,0.86,0.86,0.71,0.86,0.99,1.0,0.97,0.97,0.97,0.96,0.97,0.98,0.95,0.96,0.97
ENSUAMT00000005627_ENSUAMG00000003689,0.86,0.86,0.84,0.85,0.86,0.86,0.87,0.86,0.84,0.83,0.86,0.85,0.86,0.85,0.29,0.84,0.98,0.97,1.0,0.98,0.98,0.96,0.97,0.97,0.94,0.95,0.94
ENSUAMT00000005719_ENSUAMG00000003689,0.84,0.85,0.84,0.84,0.85,0.84,0.85,0.86,0.84,0.83,0.84,0.84,0.84,0.84,0.32,0.84,0.96,0.97,0.98,1.0,0.96,0.96,0.96,0.95,0.93,0.93,0.94
ENSUAMT00000005872_ENSUAMG00000003689,0.86,0.85,0.83,0.85,0.86,0.85,0.86,0.85,0.84,0.83,0.85,0.84,0.85,0.85,1e-18,0.84,0.97,0.97,0.98,0.96,1.0,0.98,0.96,0.96,0.93,0.94,0.94
ENSUAMT00000005917_ENSUAMG00000003689,0.84,0.84,0.83,0.83,0.84,0.84,0.84,0.85,0.83,0.82,0.83,0.84,0.83,0.83,1e-18,0.83,0.96,0.96,0.96,0.96,0.98,1.0,0.96,0.94,0.92,0.93,0.93
ENSUAMT00000005992_ENSUAMG00000003689,0.84,0.85,0.83,0.84,0.84,0.84,0.85,0.85,0.84,0.83,0.84,0.84,0.84,0.83,1e-18,0.84,0.97,0.97,0.97,0.96,0.96,0.96,1.0,0.95,0.93,0.94,0.94
ENSAMET00000010847_ENSAMEG00000009821,0.87,0.87,0.85,0.86,0.86,0.87,0.88,0.87,0.86,0.84,0.87,0.87,0.87,0.86,0.69,0.86,0.98,0.98,0.97,0.95,0.96,0.94,0.95,1.0,0.96,0.96,0.96
ENSNVIT00000006235_ENSNVIG00000003868,0.87,0.86,0.85,0.88,0.85,0.88,0.87,0.87,0.85,0.84,0.86,0.85,0.88,0.86,0.7,0.85,0.96,0.95,0.94,0.93,0.93,0.92,0.93,0.96,1.0,0.99,0.98
ENSNVIT00000006246_ENSNVIG00000003868,0.88,0.87,0.86,0.87,0.86,0.87,0.88,0.87,0.86,0.85,0.87,0.86,0.87,0.87,0.7,0.86,0.97,0.96,0.95,0.93,0.94,0.93,0.94,0.96,0.99,1.0,0.99
ENSNVIT00000006251_ENSNVIG00000003868,0.87,0.88,0.86,0.86,0.86,0.87,0.87,0.88,0.87,0.85,0.86,0.87,0.86,0.86,0.7,0.86,0.96,0.97,0.94,0.94,0.94,0.93,0.94,0.96,0.98,0.99,1.0
