,ENSHHUT00000010808_ENSHHUG00000006408,ENSHHUT00000031541_ENSHHUG00000019284,ENSELUT00000004063_ENSELUG00000009880,ENSELUT00000004077_ENSELUG00000009880,ENSAPET00000024652_ENSAPEG00000017079,ENSAOCT00000030648_ENSAOCG00000016965,ENSAPOT00000031593_ENSAPOG00000013940,ENSSPAT00000030026_ENSSPAG00000022213,ENSPRNT00000056289_ENSPRNG00000025146,ENSACLT00000009793_ENSACLG00000006529,ENSMZET00005005227_ENSMZEG00005003887,ENSPNYT00000013847_ENSPNYG00000010246,ENSHBUT00000035949_ENSHBUG00000022757,ENSNBRT00000014371_ENSNBRG00000010805,ENSONIT00000012059_ENSONIG00000009590,ENSACIT00000030584_ENSACIG00000023075,ENSXCOT00000016181_ENSXCOG00000012070,ENSXMAT00000013796_ENSXMAG00000013752,ENSGAFT00000012974_ENSGAFG00000008685,ENSPFOT00000006642_ENSPFOG00000006699,ENSPMET00000009701_ENSPMEG00000005326,ENSPLAT00000024447_ENSPLAG00000019716,ENSPRET00000032106_ENSPREG00000021501,ENSFHET00000009546_ENSFHEG00000004940,ENSCVAT00000011227_ENSCVAG00000003868,ENSKMAT00000027490_ENSKMAG00000020132
ENSHHUT00000010808_ENSHHUG00000006408,1.0,0.84,0.7,0.62,0.46,0.52,0.52,0.52,0.52,0.52,0.42,0.51,0.52,0.49,0.52,0.46,0.51,0.52,0.51,0.51,0.51,0.51,0.53,0.55,0.54,0.52
ENSHHUT00000031541_ENSHHUG00000019284,0.84,1.0,0.71,0.61,0.44,0.52,0.52,0.52,0.53,0.52,0.42,0.52,0.52,0.49,0.54,0.48,0.5,0.5,0.5,0.51,0.51,0.51,0.53,0.55,0.52,0.52
ENSELUT00000004063_ENSELUG00000009880,0.7,0.71,1.0,0.9,0.42,0.5,0.49,0.47,0.47,0.48,0.42,0.48,0.48,0.45,0.5,0.46,0.48,0.47,0.48,0.49,0.49,0.49,0.5,0.51,0.5,0.49
ENSELUT00000004077_ENSELUG00000009880,0.62,0.61,0.9,1.0,0.37,0.38,0.38,0.36,0.38,0.38,0.32,0.37,0.38,0.37,0.39,0.37,0.38,0.37,0.38,0.39,0.38,0.38,0.4,0.4,0.39,0.38
ENSAPET00000024652_ENSAPEG00000017079,0.46,0.44,0.42,0.37,1.0,0.91,0.85,0.78,0.66,0.66,0.59,0.66,0.66,0.64,0.67,0.6,0.6,0.59,0.6,0.6,0.6,0.6,0.6,0.62,0.62,0.65
ENSAOCT00000030648_ENSAOCG00000016965,0.52,0.52,0.5,0.38,0.91,1.0,0.93,0.85,0.74,0.73,0.65,0.74,0.73,0.7,0.75,0.66,0.68,0.67,0.68,0.67,0.67,0.68,0.67,0.7,0.7,0.73
ENSAPOT00000031593_ENSAPOG00000013940,0.52,0.52,0.49,0.38,0.85,0.93,1.0,0.85,0.73,0.72,0.64,0.72,0.72,0.7,0.74,0.64,0.66,0.65,0.67,0.65,0.65,0.65,0.65,0.69,0.68,0.71
ENSSPAT00000030026_ENSSPAG00000022213,0.52,0.52,0.47,0.36,0.78,0.85,0.85,1.0,0.76,0.73,0.65,0.73,0.73,0.69,0.74,0.65,0.68,0.67,0.68,0.67,0.68,0.68,0.68,0.69,0.7,0.71
ENSPRNT00000056289_ENSPRNG00000025146,0.52,0.53,0.47,0.38,0.66,0.74,0.73,0.76,1.0,0.72,0.62,0.72,0.72,0.68,0.73,0.64,0.68,0.67,0.69,0.68,0.68,0.69,0.69,0.7,0.73,0.7
ENSACLT00000009793_ENSACLG00000006529,0.52,0.52,0.48,0.38,0.66,0.73,0.72,0.73,0.72,1.0,0.92,1.0,1.0,0.95,0.94,0.73,0.67,0.65,0.67,0.67,0.66,0.67,0.66,0.68,0.67,0.68
ENSMZET00005005227_ENSMZEG00005003887,0.42,0.42,0.42,0.32,0.59,0.65,0.64,0.65,0.62,0.92,1.0,0.92,0.92,0.89,0.86,0.67,0.59,0.57,0.58,0.58,0.58,0.58,0.57,0.58,0.59,0.6
ENSPNYT00000013847_ENSPNYG00000010246,0.51,0.52,0.48,0.37,0.66,0.74,0.72,0.73,0.72,1.0,0.92,1.0,1.0,0.95,0.94,0.73,0.66,0.65,0.67,0.66,0.66,0.67,0.66,0.68,0.67,0.68
ENSHBUT00000035949_ENSHBUG00000022757,0.52,0.52,0.48,0.38,0.66,0.73,0.72,0.73,0.72,1.0,0.92,1.0,1.0,0.95,0.94,0.73,0.66,0.65,0.67,0.66,0.66,0.67,0.66,0.68,0.67,0.68
ENSNBRT00000014371_ENSNBRG00000010805,0.49,0.49,0.45,0.37,0.64,0.7,0.7,0.69,0.68,0.95,0.89,0.95,0.95,1.0,0.9,0.71,0.63,0.62,0.64,0.62,0.62,0.63,0.62,0.65,0.63,0.64
ENSONIT00000012059_ENSONIG00000009590,0.52,0.54,0.5,0.39,0.67,0.75,0.74,0.74,0.73,0.94,0.86,0.94,0.94,0.9,1.0,0.75,0.67,0.65,0.67,0.66,0.65,0.66,0.66,0.69,0.68,0.69
ENSACIT00000030584_ENSACIG00000023075,0.46,0.48,0.46,0.37,0.6,0.66,0.64,0.65,0.64,0.73,0.67,0.73,0.73,0.71,0.75,1.0,0.59,0.57,0.59,0.59,0.59,0.6,0.59,0.6,0.62,0.62
ENSXCOT00000016181_ENSXCOG00000012070,0.51,0.5,0.48,0.38,0.6,0.68,0.66,0.68,0.68,0.67,0.59,0.66,0.66,0.63,0.67,0.59,1.0,0.97,0.96,0.92,0.93,0.93,0.93,0.83,0.81,0.73
ENSXMAT00000013796_ENSXMAG00000013752,0.52,0.5,0.47,0.37,0.59,0.67,0.65,0.67,0.67,0.65,0.57,0.65,0.65,0.62,0.65,0.57,0.97,1.0,0.95,0.9,0.91,0.91,0.92,0.83,0.81,0.73
ENSGAFT00000012974_ENSGAFG00000008685,0.51,0.5,0.48,0.38,0.6,0.68,0.67,0.68,0.69,0.67,0.58,0.67,0.67,0.64,0.67,0.59,0.96,0.95,1.0,0.91,0.92,0.92,0.93,0.83,0.81,0.73
ENSPFOT00000006642_ENSPFOG00000006699,0.51,0.51,0.49,0.39,0.6,0.67,0.65,0.67,0.68,0.67,0.58,0.66,0.66,0.62,0.66,0.59,0.92,0.9,0.91,1.0,0.99,0.99,0.95,0.82,0.81,0.72
ENSPMET00000009701_ENSPMEG00000005326,0.51,0.51,0.49,0.38,0.6,0.67,0.65,0.68,0.68,0.66,0.58,0.66,0.66,0.62,0.65,0.59,0.93,0.91,0.92,0.99,1.0,0.98,0.96,0.82,0.82,0.72
ENSPLAT00000024447_ENSPLAG00000019716,0.51,0.51,0.49,0.38,0.6,0.68,0.65,0.68,0.69,0.67,0.58,0.67,0.67,0.63,0.66,0.6,0.93,0.91,0.92,0.99,0.98,1.0,0.96,0.82,0.82,0.72
ENSPRET00000032106_ENSPREG00000021501,0.53,0.53,0.5,0.4,0.6,0.67,0.65,0.68,0.69,0.66,0.57,0.66,0.66,0.62,0.66,0.59,0.93,0.92,0.93,0.95,0.96,0.96,1.0,0.83,0.82,0.71
ENSFHET00000009546_ENSFHEG00000004940,0.55,0.55,0.51,0.4,0.62,0.7,0.69,0.69,0.7,0.68,0.58,0.68,0.68,0.65,0.69,0.6,0.83,0.83,0.83,0.82,0.82,0.82,0.83,1.0,0.83,0.75
ENSCVAT00000011227_ENSCVAG00000003868,0.54,0.52,0.5,0.39,0.62,0.7,0.68,0.7,0.73,0.67,0.59,0.67,0.67,0.63,0.68,0.62,0.81,0.81,0.81,0.81,0.82,0.82,0.82,0.83,1.0,0.74
ENSKMAT00000027490_ENSKMAG00000020132,0.52,0.52,0.49,0.38,0.65,0.73,0.71,0.71,0.7,0.68,0.6,0.68,0.68,0.64,0.69,0.62,0.73,0.73,0.73,0.72,0.72,0.72,0.71,0.75,0.74,1.0
