,ENSEBUT00000017484_ENSEBUG00000010593,ENSHCOT00000017429_ENSHCOG00000013588,ENSPMGT00000028780_ENSPMGG00000021804,ENSLBET00000013781_ENSLBEG00000010055,ENSLBET00000022952_ENSLBEG00000016719,ENSTRUT00000052750_ENSTRUG00000019743,ENSLCRT00005009815_ENSLCRG00005004411,ENSLCRT00005009834_ENSLCRG00005004411,ENSLCRT00005009836_ENSLCRG00005004411,ENSLCRT00005009842_ENSLCRG00005004411,ENSLCRT00005009843_ENSLCRG00005004411,ENSLCRT00005009859_ENSLCRG00005004411,ENSPFOT00000017180_ENSPFOG00000017023,ENSPLAT00000017098_ENSPLAG00000023984,ENSPMET00000017562_ENSPMEG00000012625,ENSPRET00000016665_ENSPREG00000011157,ENSPRET00000016709_ENSPREG00000011157,ENSXCOT00000019747_ENSXCOG00000014657,ENSXCOT00000019745_ENSXCOG00000014654,ENSXMAT00000015398_ENSXMAG00000015282,ENSGAFT00000024703_ENSGAFG00000016488,ENSGAFT00000024716_ENSGAFG00000016504,ENSCVAT00000005493_ENSCVAG00000007676,ENSFHET00000021572_ENSFHEG00000015503,ENSKMAT00000024474_ENSKMAG00000017891,ENSAOCT00000011249_ENSAOCG00000005752,ENSAOCT00000011284_ENSAOCG00000005752,ENSAPET00000007389_ENSAPEG00000005116,ENSAPOT00000025488_ENSAPOG00000019678,ENSPRNT00000008651_ENSPRNG00000004600,ENSPRNT00000008661_ENSPRNG00000004600,ENSSPAT00000006440_ENSSPAG00000004829,ENSORLT00000025493_ENSORLG00000020579
ENSEBUT00000017484_ENSEBUG00000010593,1.0,0.75,0.72,0.65,0.65,0.57,0.76,0.73,0.78,0.77,0.74,0.72,0.76,0.76,0.76,0.76,0.73,0.63,0.57,0.76,0.57,0.62,0.78,0.7,0.78,0.78,0.74,0.78,0.78,0.79,0.76,0.77,0.78
ENSHCOT00000017429_ENSHCOG00000013588,0.75,1.0,0.78,0.73,0.73,0.58,0.8,0.77,0.82,0.8,0.78,0.75,0.87,0.87,0.87,0.88,0.85,0.75,0.7,0.88,0.69,0.75,0.82,0.83,0.83,0.83,0.79,0.83,0.82,0.8,0.78,0.83,0.83
ENSPMGT00000028780_ENSPMGG00000021804,0.72,0.78,1.0,0.69,0.69,0.5,0.77,0.79,0.77,0.76,0.76,0.71,0.79,0.79,0.79,0.79,0.81,0.71,0.7,0.79,0.7,0.71,0.78,0.75,0.79,0.8,0.81,0.8,0.79,0.76,0.78,0.79,0.79
ENSLBET00000013781_ENSLBEG00000010055,0.65,0.73,0.69,1.0,1.0,0.75,0.76,0.72,0.77,0.77,0.75,0.78,0.74,0.74,0.74,0.74,0.7,0.88,1e-18,0.74,1e-18,0.87,0.76,0.77,0.77,0.77,0.73,0.77,0.76,0.74,0.71,0.76,0.75
ENSLBET00000022952_ENSLBEG00000016719,0.65,0.73,0.69,1.0,1.0,0.75,0.76,0.72,0.77,0.77,0.75,0.78,0.74,0.74,0.74,0.74,0.7,0.88,1e-18,0.74,1e-18,0.88,0.76,0.77,0.77,0.77,0.73,0.77,0.76,0.74,0.71,0.76,0.75
ENSTRUT00000052750_ENSTRUG00000019743,0.57,0.58,0.5,0.75,0.75,1.0,0.64,0.54,0.65,0.65,0.63,0.66,0.6,0.6,0.6,0.6,0.53,0.72,1e-18,0.6,1e-18,0.72,0.64,0.59,0.62,0.64,0.55,0.64,0.64,0.65,0.59,0.66,0.62
ENSLCRT00005009815_ENSLCRG00005004411,0.76,0.8,0.77,0.76,0.76,0.64,1.0,0.94,0.98,0.96,0.94,0.91,0.83,0.83,0.83,0.82,0.79,0.71,0.68,0.82,0.68,0.71,0.85,0.77,0.87,0.88,0.84,0.88,0.88,0.86,0.84,0.89,0.85
ENSLCRT00005009834_ENSLCRG00005004411,0.73,0.77,0.79,0.72,0.72,0.54,0.94,1.0,0.95,0.94,0.96,0.91,0.79,0.79,0.79,0.79,0.81,0.67,0.69,0.79,0.68,0.67,0.82,0.74,0.83,0.85,0.86,0.85,0.85,0.83,0.85,0.86,0.82
ENSLCRT00005009836_ENSLCRG00005004411,0.78,0.82,0.77,0.77,0.77,0.65,0.98,0.95,1.0,0.98,0.95,0.92,0.84,0.84,0.84,0.83,0.8,0.72,0.68,0.84,0.68,0.72,0.87,0.78,0.88,0.89,0.85,0.89,0.89,0.88,0.85,0.9,0.86
ENSLCRT00005009842_ENSLCRG00005004411,0.77,0.8,0.76,0.77,0.77,0.65,0.96,0.94,0.98,1.0,0.94,0.93,0.83,0.82,0.82,0.82,0.79,0.72,0.68,0.82,0.67,0.72,0.85,0.79,0.87,0.88,0.83,0.88,0.88,0.87,0.84,0.89,0.85
ENSLCRT00005009843_ENSLCRG00005004411,0.74,0.78,0.76,0.75,0.75,0.63,0.94,0.96,0.95,0.94,1.0,0.91,0.8,0.8,0.8,0.8,0.78,0.7,0.68,0.8,0.67,0.7,0.83,0.75,0.84,0.85,0.83,0.85,0.85,0.84,0.83,0.86,0.82
ENSLCRT00005009859_ENSLCRG00005004411,0.72,0.75,0.71,0.78,0.78,0.66,0.91,0.91,0.92,0.93,0.91,1.0,0.77,0.77,0.77,0.77,0.73,0.73,0.54,0.77,0.53,0.73,0.8,0.8,0.81,0.82,0.79,0.82,0.82,0.81,0.79,0.83,0.8
ENSPFOT00000017180_ENSPFOG00000017023,0.76,0.87,0.79,0.74,0.74,0.6,0.83,0.79,0.84,0.83,0.8,0.77,1.0,0.99,0.99,0.97,0.94,0.83,0.81,0.97,0.81,0.83,0.86,0.86,0.86,0.85,0.81,0.85,0.85,0.83,0.8,0.85,0.85
ENSPLAT00000017098_ENSPLAG00000023984,0.76,0.87,0.79,0.74,0.74,0.6,0.83,0.79,0.84,0.82,0.8,0.77,0.99,1.0,0.98,0.97,0.94,0.83,0.81,0.97,0.81,0.83,0.86,0.86,0.86,0.85,0.81,0.85,0.85,0.83,0.8,0.85,0.85
ENSPMET00000017562_ENSPMEG00000012625,0.76,0.87,0.79,0.74,0.74,0.6,0.83,0.79,0.84,0.82,0.8,0.77,0.99,0.98,1.0,0.97,0.94,0.83,0.81,0.97,0.81,0.83,0.86,0.86,0.86,0.85,0.81,0.85,0.85,0.83,0.8,0.85,0.85
ENSPRET00000016665_ENSPREG00000011157,0.76,0.88,0.79,0.74,0.74,0.6,0.82,0.79,0.83,0.82,0.8,0.77,0.97,0.97,0.97,1.0,0.96,0.84,0.81,0.97,0.8,0.84,0.85,0.86,0.86,0.85,0.81,0.85,0.85,0.82,0.79,0.85,0.85
ENSPRET00000016709_ENSPREG00000011157,0.73,0.85,0.81,0.7,0.7,0.53,0.79,0.81,0.8,0.79,0.78,0.73,0.94,0.94,0.94,0.96,1.0,0.81,0.82,0.94,0.81,0.81,0.82,0.84,0.82,0.82,0.83,0.82,0.81,0.79,0.81,0.82,0.81
ENSXCOT00000019747_ENSXCOG00000014657,0.63,0.75,0.71,0.88,0.88,0.72,0.71,0.67,0.72,0.72,0.7,0.73,0.83,0.83,0.83,0.84,0.81,1.0,1e-18,0.86,1e-18,0.98,0.75,0.82,0.73,0.74,0.7,0.74,0.73,0.71,0.67,0.73,0.73
ENSXCOT00000019745_ENSXCOG00000014654,0.57,0.7,0.7,1e-18,1e-18,1e-18,0.68,0.69,0.68,0.68,0.68,0.54,0.81,0.81,0.81,0.81,0.82,1e-18,1.0,0.82,0.96,1e-18,0.69,0.76,0.71,0.7,0.69,0.7,0.7,0.68,0.68,0.71,0.68
