,ENSAOWT00000027677_ENSAOWG00000016513,ENSAHAT00000022589_ENSAHAG00000014415,ENSARWT00000029040_ENSARWG00000017412,ENSDNVT00000021988_ENSDNVG00000012773,ENSDNVT00000021994_ENSDNVG00000012773,ENSNPET00000020294_ENSNPEG00000014630,ENSNPET00000020295_ENSNPEG00000014630,ENSCPGT00000010074_ENSCPGG00000006528,ENSCPUT00000018025_ENSCPUG00000010590,ENSLCOT00000019073_ENSLCOG00000012769,ENSMVIT00005024259_ENSMVIG00005015148
ENSAOWT00000027677_ENSAOWG00000016513,1.0,1.0,1.0,0.97,0.97,0.87,0.91,0.88,0.92,0.86,0.85
ENSAHAT00000022589_ENSAHAG00000014415,1.0,1.0,0.99,0.97,0.97,0.87,0.91,0.88,0.92,0.85,0.85
ENSARWT00000029040_ENSARWG00000017412,1.0,0.99,1.0,0.97,0.97,0.87,0.91,0.89,0.92,0.86,0.85
ENSDNVT00000021988_ENSDNVG00000012773,0.97,0.97,0.97,1.0,1.0,0.88,0.91,0.89,0.93,0.86,0.86
ENSDNVT00000021994_ENSDNVG00000012773,0.97,0.97,0.97,1.0,1.0,0.88,0.91,0.89,0.93,0.86,0.86
ENSNPET00000020294_ENSNPEG00000014630,0.87,0.87,0.87,0.88,0.88,1.0,0.97,0.82,0.85,0.82,0.82
ENSNPET00000020295_ENSNPEG00000014630,0.91,0.91,0.91,0.91,0.91,0.97,1.0,0.85,0.89,0.85,0.85
ENSCPGT00000010074_ENSCPGG00000006528,0.88,0.88,0.89,0.89,0.89,0.82,0.85,1.0,0.94,0.93,0.92
ENSCPUT00000018025_ENSCPUG00000010590,0.92,0.92,0.92,0.93,0.93,0.85,0.89,0.94,1.0,0.88,0.88
ENSLCOT00000019073_ENSLCOG00000012769,0.86,0.85,0.86,0.86,0.86,0.82,0.85,0.93,0.88,1.0,0.99
ENSMVIT00005024259_ENSMVIG00005015148,0.85,0.85,0.85,0.86,0.86,0.82,0.85,0.92,0.88,0.99,1.0
