,ENSGAFT00000002382_ENSGAFG00000001629,ENSPRET00000017378_ENSPREG00000011625,ENSPLAT00000011842_ENSPLAG00000004574,ENSPRET00000009701_ENSPREG00000006507,ENSPRET00000033903_ENSPREG00000022716,ENSXMAT00000026692_ENSXMAG00000022322,ENSXMAT00000039378_ENSXMAG00000020958,ENSXMAT00000030456_ENSXMAG00000025739,ENSXCOT00000003335_ENSXCOG00000002598,ENSXCOT00000021716_ENSXCOG00000016061,ENSXCOT00000020117_ENSXCOG00000014921,ENSPRET00000016952_ENSPREG00000011343,ENSPLAT00000005851_ENSPLAG00000008860,ENSPRET00000017331_ENSPREG00000011594,ENSXMAT00000022503_ENSXMAG00000027360,ENSPRET00000014366_ENSPREG00000009649,ENSFHET00000003792_ENSFHEG00000008567,ENSFHET00000033746_ENSFHEG00000018536
ENSGAFT00000002382_ENSGAFG00000001629,1.0,0.66,0.62,0.62,0.7,0.69,0.66,0.7,0.68,0.68,0.69,0.69,1e-18,0.71,0.72,0.66,0.63,0.67
ENSPRET00000017378_ENSPREG00000011625,0.66,1.0,0.76,0.79,0.67,0.77,0.75,0.76,0.78,0.8,0.8,0.8,1e-18,0.78,0.7,0.77,0.74,0.76
ENSPLAT00000011842_ENSPLAG00000004574,0.62,0.76,1.0,0.78,0.75,0.71,0.72,0.74,0.77,0.79,0.8,0.8,1e-18,0.77,0.71,0.78,0.66,0.73
ENSPRET00000009701_ENSPREG00000006507,0.62,0.79,0.78,1.0,0.75,0.75,0.68,0.75,0.78,0.82,0.82,0.81,1e-18,0.75,0.69,0.79,0.66,0.75
ENSPRET00000033903_ENSPREG00000022716,0.7,0.67,0.75,0.75,1.0,0.85,0.77,0.84,0.77,0.77,0.76,0.75,0.82,0.85,0.78,0.75,0.78,0.71
ENSXMAT00000026692_ENSXMAG00000022322,0.69,0.77,0.71,0.75,0.85,1.0,0.73,0.85,0.78,0.79,0.8,0.77,0.82,0.86,0.81,0.77,0.74,0.72
ENSXMAT00000039378_ENSXMAG00000020958,0.66,0.75,0.72,0.68,0.77,0.73,1.0,0.76,0.8,0.81,0.82,0.78,1e-18,0.75,0.72,0.79,0.61,0.74
ENSXMAT00000030456_ENSXMAG00000025739,0.7,0.76,0.74,0.75,0.84,0.85,0.76,1.0,0.83,0.78,0.77,0.74,0.82,0.85,0.82,0.75,0.78,0.71
ENSXCOT00000003335_ENSXCOG00000002598,0.68,0.78,0.77,0.78,0.77,0.78,0.8,0.83,1.0,0.83,0.82,0.78,1e-18,0.76,0.73,0.78,0.73,0.75
ENSXCOT00000021716_ENSXCOG00000016061,0.68,0.8,0.79,0.82,0.77,0.79,0.81,0.78,0.83,1.0,0.89,0.85,1e-18,0.74,0.73,0.79,0.74,0.75
ENSXCOT00000020117_ENSXCOG00000014921,0.69,0.8,0.8,0.82,0.76,0.8,0.82,0.77,0.82,0.89,1.0,0.86,1e-18,0.74,0.73,0.8,0.74,0.75
ENSPRET00000016952_ENSPREG00000011343,0.69,0.8,0.8,0.81,0.75,0.77,0.78,0.74,0.78,0.85,0.86,1.0,1e-18,0.72,0.71,0.81,0.75,0.74
ENSPLAT00000005851_ENSPLAG00000008860,1e-18,1e-18,1e-18,1e-18,0.82,0.82,1e-18,0.82,1e-18,1e-18,1e-18,1e-18,1.0,0.83,0.83,1e-18,0.37,1e-18
ENSPRET00000017331_ENSPREG00000011594,0.71,0.78,0.77,0.75,0.85,0.86,0.75,0.85,0.76,0.74,0.74,0.72,0.83,1.0,0.85,0.7,0.79,0.72
ENSXMAT00000022503_ENSXMAG00000027360,0.72,0.7,0.71,0.69,0.78,0.81,0.72,0.82,0.73,0.73,0.73,0.71,0.83,0.85,1.0,0.7,0.75,0.69
ENSPRET00000014366_ENSPREG00000009649,0.66,0.77,0.78,0.79,0.75,0.77,0.79,0.75,0.78,0.79,0.8,0.81,1e-18,0.7,0.7,1.0,0.73,0.76
ENSFHET00000003792_ENSFHEG00000008567,0.63,0.74,0.66,0.66,0.78,0.74,0.61,0.78,0.73,0.74,0.74,0.75,0.37,0.79,0.75,0.73,1.0,0.75
ENSFHET00000033746_ENSFHEG00000018536,0.67,0.76,0.73,0.75,0.71,0.72,0.74,0.71,0.75,0.75,0.75,0.74,1e-18,0.72,0.69,0.76,0.75,1.0
