,ENSEBUT00000024615_ENSEBUG00000014809,ENSVURT00010008798_ENSVURG00010005966,ENSSHAT00000015565_ENSSHAG00000013160,ENSMODT00000005517_ENSMODG00000004383,ENSMODT00000058355_ENSMODG00000004383,ENSNLET00000019590_ENSNLEG00000015357,ENSNLET00000056825_ENSNLEG00000015357,ENSNLET00000053660_ENSNLEG00000006498,ENSCCNT00000004933_ENSCCNG00000003991,ENSCCNT00000002945_ENSCCNG00000002447,ENSPPAT00000055368_ENSPPAG00000039131,ENSPTRT00000102049_ENSPTRG00000052496,ENSNLET00000046942_ENSNLEG00000031627
ENSEBUT00000024615_ENSEBUG00000014809,1.0,0.49,0.46,0.46,0.48,0.44,0.45,0.35,0.45,0.44,0.34,0.34,0.35
ENSVURT00010008798_ENSVURG00010005966,0.49,1.0,0.87,0.85,0.87,0.71,0.74,0.64,0.71,0.66,0.61,0.61,0.62
ENSSHAT00000015565_ENSSHAG00000013160,0.46,0.87,1.0,0.82,0.84,0.72,0.74,0.64,0.69,0.68,0.61,0.61,0.62
ENSMODT00000005517_ENSMODG00000004383,0.46,0.85,0.82,1.0,0.92,0.71,0.73,0.6,0.67,0.67,0.59,0.6,0.61
ENSMODT00000058355_ENSMODG00000004383,0.48,0.87,0.84,0.92,1.0,0.71,0.73,0.6,0.69,0.67,0.59,0.6,0.61
ENSNLET00000019590_ENSNLEG00000015357,0.44,0.71,0.72,0.71,0.71,1.0,0.9,0.83,0.78,0.72,0.74,0.74,0.76
ENSNLET00000056825_ENSNLEG00000015357,0.45,0.74,0.74,0.73,0.73,0.9,1.0,0.82,0.78,0.72,0.73,0.73,0.74
ENSNLET00000053660_ENSNLEG00000006498,0.35,0.64,0.64,0.6,0.6,0.83,0.82,1.0,0.7,1e-18,0.68,0.68,0.7
ENSCCNT00000004933_ENSCCNG00000003991,0.45,0.71,0.69,0.67,0.69,0.78,0.78,0.7,1.0,0.79,0.61,0.61,0.61
ENSCCNT00000002945_ENSCCNG00000002447,0.44,0.66,0.68,0.67,0.67,0.72,0.72,1e-18,0.79,1.0,0.64,0.64,0.64
ENSPPAT00000055368_ENSPPAG00000039131,0.34,0.61,0.61,0.59,0.59,0.74,0.73,0.68,0.61,0.64,1.0,0.98,0.96
ENSPTRT00000102049_ENSPTRG00000052496,0.34,0.61,0.61,0.6,0.6,0.74,0.73,0.68,0.61,0.64,0.98,1.0,0.96
ENSNLET00000046942_ENSNLEG00000031627,0.35,0.62,0.62,0.61,0.61,0.76,0.74,0.7,0.61,0.64,0.96,0.96,1.0
