,ENSOANT00000041852_ENSOANG00000031518,ENSOANT00000041995_ENSOANG00000030413,ENSVURT00010007074_ENSVURG00010004848,ENSVURT00010007092_ENSVURG00010004848,ENSVURT00010007122_ENSVURG00010004848,ENSVURT00010007144_ENSVURG00010004848,ENSVURT00010007163_ENSVURG00010004848,ENSPCIT00000054886_ENSPCIG00000015221,ENSPCIT00000024643_ENSPCIG00000015221,ENSPCIT00000057264_ENSPCIG00000015221,ENSPCIT00000052472_ENSPCIG00000015221,ENSPCIT00000059225_ENSPCIG00000015221,ENSMEUT00000002911_ENSMEUG00000002894,ENSMODT00000012772_ENSMODG00000014377,ENSMODT00000053642_ENSMODG00000014377,ENSMODT00000055482_ENSMODG00000014377,ENSMODT00000058826_ENSMODG00000014377,ENSPCAT00000015592_ENSPCAG00000015562,ENSETET00000007842_ENSETEG00000007842,ENSSDAT00000004774_ENSSDAG00000003644,ENSSDAT00000004789_ENSSDAG00000003644,ENSSDAT00000004809_ENSSDAG00000003644
ENSOANT00000041852_ENSOANG00000031518,1.0,0.38,0.47,0.47,0.47,0.33,1e-18,0.51,0.47,0.47,0.47,0.47,0.48,0.48,0.48,0.48,0.48,0.49,0.43,0.34,0.34,0.34
ENSOANT00000041995_ENSOANG00000030413,0.38,1.0,0.58,0.58,0.58,0.58,1e-18,0.55,0.57,0.57,0.57,0.6,0.59,0.59,0.59,0.59,0.59,0.61,0.56,0.59,0.59,0.59
ENSVURT00010007074_ENSVURG00010004848,0.47,0.58,1.0,0.98,0.97,0.94,0.91,0.94,0.96,0.95,0.94,0.95,0.8,0.91,0.9,0.9,0.91,0.7,0.65,0.74,0.73,0.72
ENSVURT00010007092_ENSVURG00010004848,0.47,0.58,0.98,1.0,0.96,0.93,0.9,0.93,0.94,0.93,0.93,0.93,0.8,0.9,0.89,0.89,0.9,0.71,0.63,0.73,0.72,0.71
ENSVURT00010007122_ENSVURG00010004848,0.47,0.58,0.97,0.96,1.0,0.93,0.9,0.93,0.94,0.94,0.95,0.93,0.8,0.9,0.89,0.88,0.89,0.69,0.63,0.72,0.72,0.7
ENSVURT00010007144_ENSVURG00010004848,0.33,0.58,0.94,0.93,0.93,1.0,0.92,0.9,0.91,0.9,0.9,0.9,0.8,0.86,0.85,0.85,0.87,0.7,0.63,0.71,0.7,0.69
ENSVURT00010007163_ENSVURG00010004848,1e-18,1e-18,0.91,0.9,0.9,0.92,1.0,0.89,0.89,0.88,0.87,0.89,0.79,0.84,0.83,0.83,0.85,0.72,0.67,0.72,0.71,0.7
ENSPCIT00000054886_ENSPCIG00000015221,0.51,0.55,0.94,0.93,0.93,0.9,0.89,1.0,0.98,0.96,0.96,0.96,0.79,0.9,0.88,0.88,0.9,0.69,0.64,0.72,0.71,0.7
ENSPCIT00000024643_ENSPCIG00000015221,0.47,0.57,0.96,0.94,0.94,0.91,0.89,0.98,1.0,0.98,0.97,0.98,0.79,0.91,0.89,0.9,0.91,0.7,0.64,0.74,0.72,0.71
ENSPCIT00000057264_ENSPCIG00000015221,0.47,0.57,0.95,0.93,0.94,0.9,0.88,0.96,0.98,1.0,0.96,0.96,0.79,0.89,0.9,0.88,0.9,0.69,0.63,0.72,0.73,0.7
