,K08D8.5.1_WBGene00010659,C32H11.1a.1_WBGene00007864,C32H11.1b.1_WBGene00007864,K08D8.4a.1_WBGene00010658,K08D8.4a.2_WBGene00010658,K08D8.4b.1_WBGene00010658,K08D8.4b.2_WBGene00010658,K08D8.4c.1_WBGene00010658,K08D8.4d.1_WBGene00010658,K08D8.3.1_WBGene00010657,C32H11.10.1_WBGene00007873,C32H11.9.1_WBGene00007872,C32H11.12.1_WBGene00007875,F55C9.6.1_WBGene00010103,ZK896.5.1_WBGene00014136,ZK896.5.2_WBGene00014136,ZK896.4.1_WBGene00014135,K08D8.6a.1_WBGene00010660,K08D8.6b.1_WBGene00010660,ZK896.1.1_WBGene00014132,C29F3.7a.1_WBGene00007807,C29F3.7b.1_WBGene00007807,ZK1037.6.1_WBGene00014194,T05E12.6a.1_WBGene00011487,T05E12.6b.1_WBGene00011487,K10D11.5.1_WBGene00010749,K10D11.3a.1_WBGene00010747,K10D11.3b.1_WBGene00010747,K10D11.3c.1_WBGene00010747,K10D11.6.1_WBGene00010750,K10D11.4.1_WBGene00010748,F55G11.4.1_WBGene00010124,F55G11.2.1_WBGene00010123,F55G11.8.1_WBGene00010128,F55G11.6.1_WBGene00010126,F55G11.7.1_WBGene00010127,F55G11.7.2_WBGene00010127,C49G7.13.1_WBGene00269425,K10D11.1.1_WBGene00010745,C32H11.13.1_WBGene00007876,F55G11.5a.1_WBGene00010125,F55G11.5b.1_WBGene00010125,K10D11.2.1_WBGene00010746,C32H11.3.1_WBGene00007866,C32H11.4.1_WBGene00007867,T19C9.8.1_WBGene00011844,F17C11.11a.1_WBGene00008922,F17C11.11b.1_WBGene00008922,C45B11.6.1_WBGene00045379,ENSPNAT00000002131_ENSPNAG00000013119,ENSCABT00000029595_ENSCABG00000019821,ENSGAGT00000027995_ENSGAGG00000017962
K08D8.5.1_WBGene00010659,1.0,0.67,0.68,0.55,0.55,0.56,0.56,0.55,0.55,0.31,0.26,0.26,0.31,0.26,0.22,0.22,0.22,0.21,0.18,0.2,0.13,0.13,0.12,0.15,1e-18,0.17,0.17,0.17,0.23,0.17,0.21,0.22,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.25,0.24,0.23,0.22,0.25,0.25,0.16,0.15,0.15,1e-18,0.15,0.15,0.17
C32H11.1a.1_WBGene00007864,0.67,1.0,0.92,0.62,0.62,0.56,0.56,0.6,0.62,0.39,0.3,0.3,0.31,0.28,0.24,0.24,0.24,0.22,0.2,0.21,0.19,0.19,0.17,0.16,1e-18,0.18,0.21,0.21,0.26,0.22,0.21,0.22,0.24,0.25,0.26,0.24,0.24,0.24,0.22,0.26,0.26,0.27,0.23,0.25,0.25,0.16,0.15,0.16,0.14,0.13,0.12,0.11
C32H11.1b.1_WBGene00007864,0.68,0.92,1.0,0.62,0.62,0.57,0.57,0.61,0.62,0.4,0.3,0.3,0.31,0.28,0.24,0.24,0.24,0.23,0.2,0.21,0.13,0.13,0.13,0.12,1e-18,0.2,0.21,0.21,0.27,0.22,0.2,0.22,0.24,0.25,0.26,0.24,0.24,0.24,0.22,0.26,0.26,0.27,0.23,0.25,0.25,0.16,0.17,0.17,1e-18,0.13,0.15,0.17
K08D8.4a.1_WBGene00010658,0.55,0.62,0.62,1.0,0.93,0.87,0.87,0.9,0.93,0.4,0.27,0.27,0.31,0.28,0.24,0.24,0.24,0.2,0.19,0.23,0.13,0.13,0.16,0.12,1e-18,0.17,0.21,0.21,0.26,0.21,0.24,0.22,0.2,0.22,0.22,0.22,0.22,0.22,0.19,0.25,0.25,0.24,0.21,0.25,0.23,0.15,0.2,0.21,0.29,0.12,0.24,0.25
K08D8.4a.2_WBGene00010658,0.55,0.62,0.62,0.93,1.0,0.87,0.87,0.9,0.93,0.4,0.27,0.27,0.31,0.28,0.24,0.24,0.24,0.2,0.19,0.23,0.13,0.13,0.16,0.12,1e-18,0.17,0.21,0.21,0.26,0.21,0.24,0.22,0.2,0.22,0.22,0.22,0.22,0.22,0.19,0.25,0.25,0.24,0.21,0.25,0.23,0.15,0.2,0.21,0.29,0.12,0.24,0.25
K08D8.4b.1_WBGene00010658,0.56,0.56,0.57,0.87,0.87,1.0,0.9,0.84,0.87,0.36,0.27,0.27,0.31,0.28,0.25,0.25,0.23,0.19,0.15,0.21,0.13,0.13,0.16,0.12,1e-18,0.17,0.2,0.2,0.25,0.19,0.24,0.23,0.2,0.23,0.22,0.23,0.23,0.22,0.2,0.25,0.25,0.24,0.21,0.25,0.23,0.15,0.21,0.21,0.29,0.12,0.24,0.25
K08D8.4b.2_WBGene00010658,0.56,0.56,0.57,0.87,0.87,0.9,1.0,0.84,0.87,0.36,0.27,0.27,0.31,0.28,0.25,0.25,0.23,0.19,0.15,0.21,0.13,0.13,0.16,0.12,1e-18,0.17,0.2,0.2,0.25,0.19,0.24,0.23,0.2,0.23,0.22,0.23,0.23,0.22,0.2,0.25,0.25,0.24,0.21,0.25,0.23,0.15,0.21,0.21,0.29,0.12,0.24,0.25
K08D8.4c.1_WBGene00010658,0.55,0.6,0.61,0.9,0.9,0.84,0.84,1.0,0.9,0.39,0.27,0.27,0.31,0.28,0.25,0.25,0.25,0.21,0.2,0.24,0.09,0.09,0.13,0.1,1e-18,0.13,0.2,0.2,0.25,0.19,0.14,0.27,0.23,0.26,0.25,0.25,0.25,0.25,0.23,0.29,0.28,0.27,0.24,0.27,0.28,0.13,0.21,0.21,1e-18,0.12,0.13,0.14
K08D8.4d.1_WBGene00010658,0.55,0.62,0.62,0.93,0.93,0.87,0.87,0.9,1.0,0.4,0.27,0.27,0.31,0.28,0.24,0.24,0.24,0.2,0.19,0.23,0.13,0.13,0.16,0.12,1e-18,0.17,0.21,0.21,0.26,0.21,0.24,0.22,0.2,0.22,0.22,0.22,0.22,0.22,0.19,0.25,0.25,0.24,0.21,0.25,0.23,0.15,0.22,0.22,0.29,0.12,0.2,0.21
K08D8.3.1_WBGene00010657,0.31,0.39,0.4,0.4,0.4,0.36,0.36,0.39,0.4,1.0,0.23,0.23,0.24,0.26,0.23,0.23,0.22,0.22,0.2,0.24,0.12,0.12,0.11,0.13,1e-18,0.19,0.24,0.24,0.29,0.25,0.33,0.21,0.22,0.22,0.23,0.22,0.22,0.24,0.23,0.22,0.22,0.21,0.21,0.2,0.19,0.15,0.08,0.08,1e-18,0.11,0.18,0.19
C32H11.10.1_WBGene00007873,0.26,0.3,0.3,0.27,0.27,0.27,0.27,0.27,0.27,0.23,1.0,0.9,0.54,0.19,0.17,0.17,0.16,0.13,0.06,0.18,0.18,0.18,0.17,0.16,1e-18,0.17,0.11,0.11,0.2,0.09,0.15,0.14,0.18,0.18,0.19,0.16,0.16,0.15,0.15,0.12,0.17,0.19,0.18,0.17,0.18,0.15,0.19,0.17,1e-18,0.11,1e-18,1e-18
C32H11.9.1_WBGene00007872,0.26,0.3,0.3,0.27,0.27,0.27,0.27,0.27,0.27,0.23,0.9,1.0,0.54,0.19,0.17,0.17,0.16,0.13,0.06,0.18,0.18,0.18,0.17,0.16,1e-18,0.17,0.1,0.1,0.2,0.08,0.15,0.14,0.18,0.18,0.19,0.16,0.16,0.15,0.15,0.12,0.17,0.19,0.18,0.17,0.18,0.15,0.19,0.17,1e-18,0.11,1e-18,1e-18
C32H11.12.1_WBGene00007875,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.24,0.54,0.54,1.0,0.28,0.23,0.23,0.23,0.18,0.14,0.24,0.16,0.16,0.16,0.14,1e-18,0.18,0.1,0.1,0.18,0.05,0.16,0.2,0.2,0.21,0.22,0.21,0.21,0.19,0.19,0.14,0.24,0.23,0.23,0.2,0.2,0.14,0.21,0.18,1e-18,0.12,1e-18,1e-18
F55C9.6.1_WBGene00010103,0.26,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.26,0.19,0.19,0.28,1.0,0.72,0.72,0.57,0.39,1e-18,0.4,0.18,0.18,0.19,0.11,0.11,0.13,0.17,0.18,0.24,0.21,0.19,0.24,0.23,0.26,0.23,0.25,0.25,0.22,0.23,0.22,0.23,0.23,0.27,0.29,0.22,0.17,1e-18,1e-18,1e-18,1e-18,0.08,0.09
ZK896.5.1_WBGene00014136,0.22,0.24,0.24,0.24,0.24,0.25,0.25,0.25,0.24,0.23,0.17,0.17,0.23,0.72,1.0,0.91,0.66,0.51,0.5,0.52,0.19,0.19,0.17,0.13,0.13,0.19,0.24,0.23,0.25,0.24,0.19,0.21,0.21,0.21,0.21,0.23,0.23,0.21,0.19,0.18,0.2,0.18,0.21,0.21,0.19,0.18,1e-18,1e-18,1e-18,1e-18,0.17,0.18
ZK896.5.2_WBGene00014136,0.22,0.24,0.24,0.24,0.24,0.25,0.25,0.25,0.24,0.23,0.17,0.17,0.23,0.72,0.91,1.0,0.66,0.51,0.5,0.52,0.19,0.19,0.17,0.13,0.13,0.19,0.24,0.23,0.25,0.24,0.19,0.21,0.21,0.21,0.21,0.23,0.23,0.21,0.19,0.18,0.2,0.18,0.21,0.21,0.19,0.18,1e-18,1e-18,1e-18,1e-18,0.17,0.18
ZK896.4.1_WBGene00014135,0.22,0.24,0.24,0.24,0.24,0.23,0.23,0.25,0.24,0.22,0.16,0.16,0.23,0.57,0.66,0.66,1.0,0.52,0.5,0.53,0.22,0.22,0.17,0.15,0.14,0.2,0.24,0.23,0.25,0.23,0.21,0.19,0.2,0.18,0.19,0.21,0.21,0.2,0.2,0.2,0.19,0.17,0.21,0.19,0.17,0.19,1e-18,1e-18,1e-18,1e-18,0.09,0.1
K08D8.6a.1_WBGene00010660,0.21,0.22,0.23,0.2,0.2,0.19,0.19,0.21,0.2,0.22,0.13,0.13,0.18,0.39,0.51,0.51,0.52,1.0,0.86,0.47,0.19,0.19,0.14,0.13,0.09,0.2,0.24,0.23,0.25,0.23,0.17,0.21,0.22,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.2,0.18,0.22,0.2,0.21,0.16,1e-18,1e-18,1e-18,1e-18,0.12,0.13
K08D8.6b.1_WBGene00010660,0.18,0.2,0.2,0.19,0.19,0.15,0.15,0.2,0.19,0.2,0.06,0.06,0.14,1e-18,0.5,0.5,0.5,0.86,1.0,0.45,0.2,0.2,0.11,0.16,1e-18,0.24,0.24,0.24,0.24,0.23,0.17,0.16,0.17,0.12,0.16,0.18,0.18,0.17,0.13,0.13,0.14,0.14,0.16,0.16,0.17,0.18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18
ZK896.1.1_WBGene00014132,0.2,0.21,0.21,0.23,0.23,0.21,0.21,0.24,0.23,0.24,0.18,0.18,0.24,0.4,0.52,0.52,0.53,0.47,0.45,1.0,0.24,0.24,0.15,0.12,0.09,0.19,0.24,0.23,0.25,0.21,0.18,0.22,0.23,0.22,0.2,0.22,0.22,0.2,0.22,0.21,0.23,0.22,0.25,0.21,0.2,0.15,1e-18,1e-18,1e-18,1e-18,0.06,0.06
C29F3.7a.1_WBGene00007807,0.13,0.19,0.13,0.13,0.13,0.13,0.13,0.09,0.13,0.12,0.18,0.18,0.16,0.18,0.19,0.19,0.22,0.19,0.2,0.24,1.0,0.91,0.42,0.41,0.39,0.38,0.22,0.2,0.2,0.23,0.25,0.24,0.28,0.27,0.22,0.13,0.13,0.05,0.21,0.08,0.09,1e-18,0.15,0.16,0.07,0.32,0.1,0.1,0.21,0.1,0.12,0.12
C29F3.7b.1_WBGene00007807,0.13,0.19,0.13,0.13,0.13,0.13,0.13,0.09,0.13,0.12,0.18,0.18,0.16,0.18,0.19,0.19,0.22,0.19,0.2,0.24,0.91,1.0,0.41,0.41,0.38,0.38,0.26,0.2,0.2,0.23,0.24,0.24,0.28,0.27,0.22,0.13,0.13,0.05,0.21,0.08,0.09,1e-18,0.15,0.16,0.07,0.32,0.1,0.1,0.21,0.1,0.12,0.12
ZK1037.6.1_WBGene00014194,0.12,0.17,0.13,0.16,0.16,0.16,0.16,0.13,0.16,0.11,0.17,0.17,0.16,0.19,0.17,0.17,0.17,0.14,0.11,0.15,0.42,0.41,1.0,0.4,0.41,0.38,0.15,0.14,0.14,0.2,0.25,0.14,0.17,0.09,0.14,0.19,0.19,0.25,0.18,0.21,0.11,1e-18,0.22,0.15,0.12,0.29,0.11,0.11,0.22,0.1,0.16,0.16
T05E12.6a.1_WBGene00011487,0.15,0.16,0.12,0.12,0.12,0.12,0.12,0.1,0.12,0.13,0.16,0.16,0.14,0.11,0.13,0.13,0.15,0.13,0.16,0.12,0.41,0.41,0.4,1.0,0.86,0.36,0.23,0.28,0.28,0.24,0.27,0.2,0.13,0.17,0.15,0.23,0.23,0.21,0.14,0.2,0.23,1e-18,0.21,0.32,0.21,0.33,0.09,0.09,0.14,0.08,0.15,0.15
