,ENSAOWT00000008426_ENSAOWG00000005102,ENSAHAT00000013755_ENSAHAG00000008943,ENSARWT00000015348_ENSARWG00000009308,ENSAHAT00000002360_ENSAHAG00000001740,ENSAOWT00000009430_ENSAOWG00000005728,ENSDNVT00000003682_ENSDNVG00000002185,ENSGALT00000073907_ENSGALG00000033286,ENSMGAT00000012187_ENSMGAG00000010871,ENSCJPT00005006432_ENSCJPG00005003806,ENSCJPT00005006434_ENSCJPG00005003806,ENSNMET00000001973_ENSNMEG00000001290
ENSAOWT00000008426_ENSAOWG00000005102,1.0,1.0,0.8,1e-18,1e-18,0.78,0.72,0.72,0.71,0.71,0.71
ENSAHAT00000013755_ENSAHAG00000008943,1.0,1.0,0.79,1e-18,1e-18,0.78,0.72,0.72,0.71,0.71,0.72
ENSARWT00000015348_ENSARWG00000009308,0.8,0.79,1.0,0.85,0.85,0.88,0.82,0.82,0.81,0.81,0.82
ENSAHAT00000002360_ENSAHAG00000001740,1e-18,1e-18,0.85,1.0,1.0,0.81,0.77,0.75,0.75,0.75,0.76
ENSAOWT00000009430_ENSAOWG00000005728,1e-18,1e-18,0.85,1.0,1.0,0.81,0.77,0.75,0.75,0.75,0.76
ENSDNVT00000003682_ENSDNVG00000002185,0.78,0.78,0.88,0.81,0.81,1.0,0.82,0.83,0.82,0.82,0.82
ENSGALT00000073907_ENSGALG00000033286,0.72,0.72,0.82,0.77,0.77,0.82,1.0,0.93,0.87,0.87,0.92
ENSMGAT00000012187_ENSMGAG00000010871,0.72,0.72,0.82,0.75,0.75,0.83,0.93,1.0,0.87,0.87,0.92
ENSCJPT00005006432_ENSCJPG00005003806,0.71,0.71,0.81,0.75,0.75,0.82,0.87,0.87,1.0,0.9,0.87
ENSCJPT00005006434_ENSCJPG00005003806,0.71,0.71,0.81,0.75,0.75,0.82,0.87,0.87,0.9,1.0,0.87
ENSNMET00000001973_ENSNMEG00000001290,0.71,0.72,0.82,0.76,0.76,0.82,0.92,0.92,0.87,0.87,1.0
