,ENSPCIT00000054159_ENSPCIG00000002498,ENSPCIT00000053294_ENSPCIG00000002498,ENSPCIT00000066196_ENSPCIG00000002498,ENSPCIT00000059281_ENSPCIG00000002498,ENSPCIT00000059505_ENSPCIG00000002498,ENSPCIT00000053529_ENSPCIG00000002498,ENSPCIT00000003828_ENSPCIG00000002498,ENSPCIT00000003773_ENSPCIG00000002498,ENSVURT00010030033_ENSVURG00010020173,ENSVURT00010030054_ENSVURG00010020173,ENSVURT00010030070_ENSVURG00010020173,ENSVURT00010030094_ENSVURG00010020173,ENSMEUT00000011835_ENSMEUG00000011778,ENSSHAT00000000893_ENSSHAG00000000789,ENSMODT00000074297_ENSMODG00000012216,ENSMODT00000075490_ENSMODG00000012216,ENSMODT00000015588_ENSMODG00000012216,ENSMODT00000088724_ENSMODG00000012216,ENSMODT00000062761_ENSMODG00000012216
ENSPCIT00000054159_ENSPCIG00000002498,1.0,0.99,0.98,0.99,0.98,0.99,0.98,0.98,0.98,0.97,0.97,0.96,0.86,0.95,0.95,0.94,0.94,0.93,0.93
ENSPCIT00000053294_ENSPCIG00000002498,0.99,1.0,0.97,0.98,0.97,0.98,0.97,0.99,0.97,0.98,0.96,0.95,0.85,0.94,0.94,0.95,0.93,0.92,0.92
ENSPCIT00000066196_ENSPCIG00000002498,0.98,0.97,1.0,0.97,0.97,0.99,0.97,0.97,0.96,0.95,0.95,0.97,0.85,0.93,0.93,0.92,0.92,0.91,0.95
ENSPCIT00000059281_ENSPCIG00000002498,0.99,0.98,0.97,1.0,0.99,0.98,0.97,0.97,0.97,0.96,0.96,0.95,0.85,0.94,0.94,0.93,0.93,0.92,0.92
ENSPCIT00000059505_ENSPCIG00000002498,0.98,0.97,0.97,0.99,1.0,0.97,0.97,0.97,0.96,0.95,0.95,0.94,0.85,0.93,0.93,0.92,0.92,0.91,0.91
ENSPCIT00000053529_ENSPCIG00000002498,0.99,0.98,0.99,0.98,0.97,1.0,0.97,0.97,0.96,0.95,0.95,0.96,0.85,0.94,0.93,0.92,0.92,0.92,0.93
ENSPCIT00000003828_ENSPCIG00000002498,0.98,0.97,0.97,0.97,0.97,0.97,1.0,0.97,0.96,0.95,0.95,0.94,0.84,0.93,0.93,0.92,0.92,0.95,0.91
ENSPCIT00000003773_ENSPCIG00000002498,0.98,0.99,0.97,0.97,0.97,0.97,0.97,1.0,0.96,0.97,0.95,0.94,0.85,0.93,0.93,0.94,0.92,0.91,0.91
ENSVURT00010030033_ENSVURG00010020173,0.98,0.97,0.96,0.97,0.96,0.96,0.96,0.96,1.0,0.99,0.99,0.98,0.85,0.96,0.95,0.94,0.94,0.94,0.94
ENSVURT00010030054_ENSVURG00010020173,0.97,0.98,0.95,0.96,0.95,0.95,0.95,0.97,0.99,1.0,0.98,0.97,0.84,0.95,0.94,0.95,0.93,0.93,0.93
ENSVURT00010030070_ENSVURG00010020173,0.97,0.96,0.95,0.96,0.95,0.95,0.95,0.95,0.99,0.98,1.0,0.97,0.84,0.95,0.95,0.93,0.94,0.93,0.93
ENSVURT00010030094_ENSVURG00010020173,0.96,0.95,0.97,0.95,0.94,0.96,0.94,0.94,0.98,0.97,0.97,1.0,0.84,0.94,0.94,0.93,0.93,0.92,0.95
ENSMEUT00000011835_ENSMEUG00000011778,0.86,0.85,0.85,0.85,0.85,0.85,0.84,0.85,0.85,0.84,0.84,0.84,1.0,0.83,0.83,0.82,0.83,0.81,0.82
ENSSHAT00000000893_ENSSHAG00000000789,0.95,0.94,0.93,0.94,0.93,0.94,0.93,0.93,0.96,0.95,0.95,0.94,0.83,1.0,0.95,0.94,0.94,0.93,0.93
ENSMODT00000074297_ENSMODG00000012216,0.95,0.94,0.93,0.94,0.93,0.93,0.93,0.93,0.95,0.94,0.95,0.94,0.83,0.95,1.0,0.99,0.99,0.98,0.98
ENSMODT00000075490_ENSMODG00000012216,0.94,0.95,0.92,0.93,0.92,0.92,0.92,0.94,0.94,0.95,0.93,0.93,0.82,0.94,0.99,1.0,0.98,0.97,0.97
ENSMODT00000015588_ENSMODG00000012216,0.94,0.93,0.92,0.93,0.92,0.92,0.92,0.92,0.94,0.93,0.94,0.93,0.83,0.94,0.99,0.98,1.0,0.98,0.97
ENSMODT00000088724_ENSMODG00000012216,0.93,0.92,0.91,0.92,0.91,0.92,0.95,0.91,0.94,0.93,0.93,0.92,0.81,0.93,0.98,0.97,0.98,1.0,0.97
ENSMODT00000062761_ENSMODG00000012216,0.93,0.92,0.95,0.92,0.91,0.93,0.91,0.91,0.94,0.93,0.93,0.95,0.82,0.93,0.98,0.97,0.97,0.97,1.0
