,ENSEBUT00000011677_ENSEBUG00000007089,ENSPVIT00000042103_ENSPVIG00000024979,ENSPVIT00000042105_ENSPVIG00000024979,ENSPVIT00000042106_ENSPVIG00000024979,ENSSMRT00000033855_ENSSMRG00000022329,ENSSMRT00000033856_ENSSMRG00000022329,ENSAHAT00000004870_ENSAHAG00000003384,ENSAHAT00000004929_ENSAHAG00000003384,ENSAHAT00000004999_ENSAHAG00000003384,ENSAHAT00000005047_ENSAHAG00000003384,ENSARWT00000020814_ENSARWG00000012598,ENSARWT00000020815_ENSARWG00000012598,ENSARWT00000020816_ENSARWG00000012598,ENSAOWT00000010980_ENSAOWG00000005120,ENSAOWT00000012012_ENSAOWG00000005120,ENSDNVT00000017408_ENSDNVG00000007432,ENSDNVT00000017442_ENSDNVG00000007432
ENSEBUT00000011677_ENSEBUG00000007089,1.0,0.61,0.6,0.6,0.59,0.59,0.58,0.59,0.59,0.59,0.58,0.58,0.58,0.59,0.59,0.56,0.56
ENSPVIT00000042103_ENSPVIG00000024979,0.61,1.0,0.93,0.94,0.77,0.76,0.75,0.74,0.75,0.75,0.75,0.74,0.74,0.73,0.74,0.72,0.71
ENSPVIT00000042105_ENSPVIG00000024979,0.6,0.93,1.0,0.98,0.72,0.72,0.71,0.71,0.7,0.71,0.7,0.7,0.7,0.71,0.71,0.68,0.68
ENSPVIT00000042106_ENSPVIG00000024979,0.6,0.94,0.98,1.0,0.73,0.73,0.71,0.71,0.71,0.71,0.71,0.71,0.7,0.72,0.71,0.69,0.68
ENSSMRT00000033855_ENSSMRG00000022329,0.59,0.77,0.72,0.73,1.0,0.98,0.8,0.79,0.8,0.8,0.79,0.79,0.79,0.77,0.79,0.76,0.76
ENSSMRT00000033856_ENSSMRG00000022329,0.59,0.76,0.72,0.73,0.98,1.0,0.79,0.79,0.79,0.79,0.78,0.78,0.78,0.77,0.8,0.76,0.76
ENSAHAT00000004870_ENSAHAG00000003384,0.58,0.75,0.71,0.71,0.8,0.79,1.0,0.98,0.98,0.98,0.98,0.98,0.97,0.95,0.97,0.93,0.93
ENSAHAT00000004929_ENSAHAG00000003384,0.59,0.74,0.71,0.71,0.79,0.79,0.98,1.0,0.98,0.98,0.97,0.97,0.97,0.95,0.97,0.93,0.93
ENSAHAT00000004999_ENSAHAG00000003384,0.59,0.75,0.7,0.71,0.8,0.79,0.98,0.98,1.0,0.98,0.98,0.97,0.97,0.94,0.97,0.93,0.93
ENSAHAT00000005047_ENSAHAG00000003384,0.59,0.75,0.71,0.71,0.8,0.79,0.98,0.98,0.98,1.0,0.98,0.98,0.97,0.94,0.96,0.93,0.92
ENSARWT00000020814_ENSARWG00000012598,0.58,0.75,0.7,0.71,0.79,0.78,0.98,0.97,0.98,0.98,1.0,0.99,0.98,0.94,0.96,0.93,0.93
ENSARWT00000020815_ENSARWG00000012598,0.58,0.74,0.7,0.71,0.79,0.78,0.98,0.97,0.97,0.98,0.99,1.0,0.98,0.94,0.96,0.93,0.93
ENSARWT00000020816_ENSARWG00000012598,0.58,0.74,0.7,0.7,0.79,0.78,0.97,0.97,0.97,0.97,0.98,0.98,1.0,0.94,0.96,0.93,0.93
ENSAOWT00000010980_ENSAOWG00000005120,0.59,0.73,0.71,0.72,0.77,0.77,0.95,0.95,0.94,0.94,0.94,0.94,0.94,1.0,0.95,0.9,0.9
ENSAOWT00000012012_ENSAOWG00000005120,0.59,0.74,0.71,0.71,0.79,0.8,0.97,0.97,0.97,0.96,0.96,0.96,0.96,0.95,1.0,0.92,0.92
ENSDNVT00000017408_ENSDNVG00000007432,0.56,0.72,0.68,0.69,0.76,0.76,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.9,0.92,1.0,0.98
ENSDNVT00000017442_ENSDNVG00000007432,0.56,0.71,0.68,0.68,0.76,0.76,0.93,0.93,0.93,0.92,0.93,0.93,0.93,0.9,0.92,0.98,1.0
