,ENSCHAT00000067386_ENSCHAG00000027798,ENSCHAT00000067379_ENSCHAG00000027793,ENSCHAT00000067380_ENSCHAG00000027793,ENSCHAT00000067233_ENSCHAG00000027751,ENSCHAT00000067249_ENSCHAG00000027754,ENSCHAT00000067251_ENSCHAG00000027754,ENSCHAT00000067254_ENSCHAG00000027754,ENSCHAT00000067257_ENSCHAG00000027754,ENSCHAT00000067260_ENSCHAG00000027754,ENSCHAT00000067261_ENSCHAG00000027754,ENSCHAT00000067263_ENSCHAG00000027754,ENSCHAT00000067266_ENSCHAG00000027754,ENSCHAT00000067269_ENSCHAG00000027754,ENSCHAT00000067273_ENSCHAG00000027754,ENSCHAT00000067377_ENSCHAG00000027789,ENSCHAT00000067360_ENSCHAG00000027787,ENSCHAT00000067402_ENSCHAG00000027808,ENSCHAT00000067404_ENSCHAG00000027808,ENSCHAT00000067405_ENSCHAG00000027808,ENSCHAT00000067407_ENSCHAG00000027808,ENSCHAT00000067333_ENSCHAG00000027771,ENSCHAT00000067335_ENSCHAG00000027771,ENSCHAT00000067337_ENSCHAG00000027771,ENSCHAT00000067339_ENSCHAG00000027771,ENSCHAT00000067343_ENSCHAG00000027771,ENSCHAT00000067349_ENSCHAG00000027771,ENSDCDT00000010404_ENSDCDG00000004753,ENSDCDT00000010413_ENSDCDG00000004755,ENSDCDT00000010446_ENSDCDG00000004757,ENSDCDT00000010457_ENSDCDG00000004764,ENSDCDT00000010460_ENSDCDG00000004764,ENSAMXT00000040914_ENSAMXG00000037672
ENSCHAT00000067386_ENSCHAG00000027798,1.0,0.71,0.74,0.68,0.79,0.79,0.79,0.79,0.82,0.82,0.82,0.82,0.82,0.82,0.73,0.74,0.65,0.72,0.72,0.72,1e-18,0.72,0.74,0.72,0.72,0.7,1e-18,0.57,0.58,0.57,0.56,0.49
ENSCHAT00000067379_ENSCHAG00000027793,0.71,1.0,0.87,0.75,0.81,0.81,0.81,0.81,0.83,0.83,0.83,0.83,0.83,0.83,0.8,0.8,0.76,0.8,0.8,0.79,1e-18,0.68,0.69,0.68,0.68,0.66,1e-18,0.55,0.57,0.58,0.57,0.5
ENSCHAT00000067380_ENSCHAG00000027793,0.74,0.87,1.0,0.75,0.81,0.81,0.81,0.81,0.85,0.85,0.85,0.85,0.85,0.85,0.81,0.8,0.76,0.8,0.8,0.8,1e-18,0.68,0.69,0.68,0.68,0.62,1e-18,0.56,0.57,0.59,0.57,0.5
ENSCHAT00000067233_ENSCHAG00000027751,0.68,0.75,0.75,1.0,0.57,0.57,0.57,0.57,0.73,0.73,0.73,0.73,0.73,0.73,0.62,0.62,0.56,0.61,0.63,0.74,0.48,0.52,0.54,0.53,0.53,0.55,0.45,0.54,0.48,0.48,0.46,0.51
ENSCHAT00000067249_ENSCHAG00000027754,0.79,0.81,0.81,0.57,1.0,0.92,0.92,0.92,0.75,0.75,0.75,0.75,0.75,0.64,0.57,0.6,0.55,0.61,0.62,0.81,0.55,0.52,0.54,0.56,0.55,0.56,0.5,0.5,0.49,0.51,0.49,0.52
ENSCHAT00000067251_ENSCHAG00000027754,0.79,0.81,0.81,0.57,0.92,1.0,0.92,0.91,0.75,0.75,0.75,0.75,0.75,0.64,0.57,0.6,0.55,0.61,0.62,0.81,0.55,0.52,0.54,0.56,0.55,0.56,0.5,0.46,0.49,0.51,0.49,0.52
ENSCHAT00000067254_ENSCHAG00000027754,0.79,0.81,0.81,0.57,0.92,0.92,1.0,0.92,0.75,0.75,0.75,0.75,0.75,0.64,0.57,0.6,0.55,0.61,0.62,0.81,0.55,0.52,0.54,0.56,0.55,0.56,0.5,0.5,0.49,0.51,0.49,0.52
ENSCHAT00000067257_ENSCHAG00000027754,0.79,0.81,0.81,0.57,0.92,0.91,0.92,1.0,0.75,0.75,0.75,0.75,0.75,0.64,0.57,0.6,0.55,0.61,0.62,0.81,0.55,0.52,0.54,0.56,0.55,0.56,0.5,0.46,0.49,0.51,0.49,0.52
ENSCHAT00000067260_ENSCHAG00000027754,0.82,0.83,0.85,0.73,0.75,0.75,0.75,0.75,1.0,0.76,0.9,0.89,0.89,0.61,0.79,0.81,1e-18,0.81,0.81,0.82,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.5,0.58,0.56,0.55,0.51
ENSCHAT00000067261_ENSCHAG00000027754,0.82,0.83,0.85,0.73,0.75,0.75,0.75,0.75,0.76,1.0,0.76,0.76,0.76,0.63,0.79,0.81,1e-18,0.81,0.81,0.81,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,1e-18,0.5,0.58,0.56,0.55,0.51
