,ENSPCIT00000057880_ENSPCIG00000034580,ENSPCIT00000063068_ENSPCIG00000034580,ENSVURT00010018367_ENSVURG00010012382,ENSSHAT00000022293_ENSSHAG00000018717,ENSSHAT00000022294_ENSSHAG00000018717,ENSMODT00000043279_ENSMODG00000028455,ENSPCAT00000004159_ENSPCAG00000004176,ENSETET00000012387_ENSETEG00000012386,ENSCHIT00000034186_ENSCHIG00000022706,ENSBTAT00000084747_ENSBTAG00000019254,ENSBTAT00000025635_ENSBTAG00000019254
ENSPCIT00000057880_ENSPCIG00000034580,1.0,0.89,0.98,0.91,0.73,0.89,0.65,0.6,0.74,0.74,0.67
ENSPCIT00000063068_ENSPCIG00000034580,0.89,1.0,0.86,0.79,0.73,0.77,0.57,0.57,0.62,0.62,0.62
ENSVURT00010018367_ENSVURG00010012382,0.98,0.86,1.0,0.91,0.73,0.89,0.65,0.6,0.74,0.74,0.67
ENSSHAT00000022293_ENSSHAG00000018717,0.91,0.79,0.91,1.0,0.82,0.87,0.63,0.58,0.73,0.72,0.65
ENSSHAT00000022294_ENSSHAG00000018717,0.73,0.73,0.73,0.82,1.0,0.69,0.53,0.57,0.57,0.58,0.58
ENSMODT00000043279_ENSMODG00000028455,0.89,0.77,0.89,0.87,0.69,1.0,0.63,0.59,0.72,0.71,0.65
ENSPCAT00000004159_ENSPCAG00000004176,0.65,0.57,0.65,0.63,0.53,0.63,1.0,0.7,0.74,0.73,0.7
ENSETET00000012387_ENSETEG00000012386,0.6,0.57,0.6,0.58,0.57,0.59,0.7,1.0,0.71,0.7,0.7
ENSCHIT00000034186_ENSCHIG00000022706,0.74,0.62,0.74,0.73,0.57,0.72,0.74,0.71,1.0,0.96,0.89
ENSBTAT00000084747_ENSBTAG00000019254,0.74,0.62,0.74,0.72,0.58,0.71,0.73,0.7,0.96,1.0,0.91
ENSBTAT00000025635_ENSBTAG00000019254,0.67,0.62,0.67,0.65,0.58,0.65,0.7,0.7,0.89,0.91,1.0
