,ENSABRT00000035219_ENSABRG00000021077,ENSCJPT00005012865_ENSCJPG00005007578,ENSCPUT00000007876_ENSCPUG00000004747,ENSCPUT00000007879_ENSCPUG00000004747,ENSLCOT00000011365_ENSLCOG00000007786,ENSCMIT00000002183_ENSCMIG00000001278,ENSMGAT00000002272_ENSMGAG00000002082,ENSGALT00000044150_ENSGALG00000027809,ENSCJPT00005012311_ENSCJPG00005007276,ENSCJPT00005012312_ENSCJPG00005007276,ENSNMET00000026621_ENSNMEG00000015682,ENSABRT00000035315_ENSABRG00000021136
ENSABRT00000035219_ENSABRG00000021077,1.0,0.76,0.75,0.78,0.71,0.48,0.33,0.25,0.33,0.28,0.25,0.35
ENSCJPT00005012865_ENSCJPG00005007578,0.76,1.0,0.72,0.75,0.69,0.49,0.34,0.25,0.33,0.29,0.25,0.35
ENSCPUT00000007876_ENSCPUG00000004747,0.75,0.72,1.0,0.87,0.73,0.45,0.28,0.25,0.28,0.23,0.26,0.3
ENSCPUT00000007879_ENSCPUG00000004747,0.78,0.75,0.87,1.0,0.74,0.49,0.32,0.24,0.32,0.27,0.24,0.34
ENSLCOT00000011365_ENSLCOG00000007786,0.71,0.69,0.73,0.74,1.0,0.43,0.27,0.2,0.27,0.23,0.2,0.28
ENSCMIT00000002183_ENSCMIG00000001278,0.48,0.49,0.45,0.49,0.43,1.0,0.35,0.28,0.36,0.32,0.28,0.38
ENSMGAT00000002272_ENSMGAG00000002082,0.33,0.34,0.28,0.32,0.27,0.35,1.0,0.78,0.84,0.8,0.77,0.77
ENSGALT00000044150_ENSGALG00000027809,0.25,0.25,0.25,0.24,0.2,0.28,0.78,1.0,0.76,0.78,0.83,0.69
ENSCJPT00005012311_ENSCJPG00005007276,0.33,0.33,0.28,0.32,0.27,0.36,0.84,0.76,1.0,0.87,0.76,0.76
ENSCJPT00005012312_ENSCJPG00005007276,0.28,0.29,0.23,0.27,0.23,0.32,0.8,0.78,0.87,1.0,0.77,0.73
ENSNMET00000026621_ENSNMEG00000015682,0.25,0.25,0.26,0.24,0.2,0.28,0.77,0.83,0.76,0.77,1.0,0.7
ENSABRT00000035315_ENSABRG00000021136,0.35,0.35,0.3,0.34,0.28,0.38,0.77,0.69,0.76,0.73,0.7,1.0
