,ENSVURT00010011437_ENSVURG00010007796,ENSPCIT00000046536_ENSPCIG00000027837,ENSMEUT00000000860_ENSMEUG00000000854,ENSSHAT00000020090_ENSSHAG00000016914,ENSSHAT00000020091_ENSSHAG00000016914,ENSMODT00000000178_ENSMODG00000000151,ENSMODT00000061990_ENSMODG00000000151,ENSCPOT00000037758_ENSCPOG00000036469,ENSCLAT00000017800_ENSCLAG00000012091,ENSCLAT00000017801_ENSCLAG00000012091
ENSVURT00010011437_ENSVURG00010007796,1.0,0.88,0.78,0.83,0.78,0.77,0.8,0.6,0.6,0.6
ENSPCIT00000046536_ENSPCIG00000027837,0.88,1.0,0.78,0.77,0.74,0.72,0.77,0.53,0.52,0.52
ENSMEUT00000000860_ENSMEUG00000000854,0.78,0.78,1.0,0.74,0.73,0.69,0.72,0.54,0.55,0.55
ENSSHAT00000020090_ENSSHAG00000016914,0.83,0.77,0.74,1.0,0.91,0.75,0.78,0.61,0.61,0.6
ENSSHAT00000020091_ENSSHAG00000016914,0.78,0.74,0.73,0.91,1.0,0.72,0.75,0.56,0.56,0.56
ENSMODT00000000178_ENSMODG00000000151,0.77,0.72,0.69,0.75,0.72,1.0,0.91,0.55,0.55,0.55
ENSMODT00000061990_ENSMODG00000000151,0.8,0.77,0.72,0.78,0.75,0.91,1.0,0.58,0.58,0.58
ENSCPOT00000037758_ENSCPOG00000036469,0.6,0.53,0.54,0.61,0.56,0.55,0.58,1.0,0.85,0.84
ENSCLAT00000017800_ENSCLAG00000012091,0.6,0.52,0.55,0.61,0.56,0.55,0.58,0.85,1.0,0.95
ENSCLAT00000017801_ENSCLAG00000012091,0.6,0.52,0.55,0.6,0.56,0.55,0.58,0.84,0.95,1.0
