,FBtr0077685_FBgn0051694,F58B3.6.1_WBGene00010232,ENSOANT00000005620_ENSOANG00000003546,ENSVURT00010014025_ENSVURG00010009503,ENSVURT00010014039_ENSVURG00010009503,ENSPCIT00000019958_ENSPCIG00000012498,ENSPCIT00000058566_ENSPCIG00000012498,ENSPCIT00000063516_ENSPCIG00000012498,ENSMEUT00000014109_ENSMEUG00000014064,ENSSHAT00000017059_ENSSHAG00000014390,ENSSHAT00000017060_ENSSHAG00000014390,ENSMODT00000020216_ENSMODG00000015916,ENSLAFT00000004166_ENSLAFG00000004167,ENSLAFT00000029713_ENSLAFG00000004167,ENSPCAT00000013376_ENSPCAG00000013362,ENSETET00000019162_ENSETEG00000019162,ENSPPAT00000063600_ENSPPAG00000042969,ENSPTRT00000093690_ENSPTRG00000019601,ENSPTRT00000089084_ENSPTRG00000019601,ENST00000432734_ENSG00000006652,ENST00000005558_ENSG00000006652,ENST00000443101_ENSG00000006652,ENST00000445335_ENSG00000006652,ENST00000417662_ENSG00000006652,ENST00000403825_ENSG00000006652,ENST00000429071_ENSG00000006652,ENST00000476927_ENSG00000006652,ENST00000440625_ENSG00000006652,ENST00000621379_ENSG00000006652,ENST00000535603_ENSG00000006652,ENSGGOT00000030418_ENSGGOG00000000718,ENSGGOT00000049977_ENSGGOG00000000718,ENSGGOT00000000723_ENSGGOG00000000718,ENSPPYT00000033253_ENSPPYG00000029715,ENSNLET00000014451_ENSNLEG00000011280,ENSNLET00000041149_ENSNLEG00000011280,ENSMMUT00000096258_ENSMMUG00000008033,ENSMMUT00000076969_ENSMMUG00000052812,ENSMFAT00000002238_ENSMFAG00000045385,ENSMNET00000069071_ENSMNEG00000044857,ENSMNET00000069077_ENSMNEG00000044857,ENSCATT00000058979_ENSCATG00000040248,ENSMLET00000040590_ENSMLEG00000032760,ENSMLET00000040592_ENSMLEG00000032760,ENSMLET00000040599_ENSMLEG00000032760,ENSTGET00000022507_ENSTGEG00000015223,ENSTGET00000022515_ENSTGEG00000015223,ENSPANT00000054433_ENSPANG00000021877,ENSCSAT00000009208_ENSCSAG00000011121,ENSPTET00000029704_ENSPTEG00000021693
FBtr0077685_FBgn0051694,1.0,0.27,0.26,0.24,1e-18,0.24,0.26,1e-18,0.24,0.24,0.24,0.25,0.25,0.25,0.25,0.27,1e-18,1e-18,0.26,1e-18,0.26,1e-18,1e-18,1e-18,0.26,1e-18,1e-18,1e-18,0.26,0.26,0.26,1e-18,0.26,0.21,0.25,1e-18,0.26,0.21,1e-18,0.26,1e-18,1e-18,0.25,1e-18,0.25,0.26,1e-18,1e-18,0.26,0.26
F58B3.6.1_WBGene00010232,0.27,1.0,0.26,0.27,1e-18,0.27,0.27,1e-18,0.25,0.27,0.27,0.27,0.25,0.25,0.26,0.28,1e-18,1e-18,0.27,1e-18,0.26,1e-18,1e-18,1e-18,0.26,1e-18,1e-18,1e-18,0.27,0.27,0.27,1e-18,0.27,0.24,0.26,1e-18,0.26,0.22,1e-18,0.26,1e-18,1e-18,0.26,1e-18,0.26,0.26,1e-18,1e-18,0.26,0.26
ENSOANT00000005620_ENSOANG00000003546,0.26,0.26,1.0,0.66,1e-18,0.66,0.66,1e-18,0.65,0.67,0.67,0.66,0.65,0.66,0.63,0.63,1e-18,1e-18,0.66,1e-18,0.66,1e-18,1e-18,1e-18,0.66,1e-18,1e-18,1e-18,0.66,0.66,0.65,1e-18,0.66,0.66,0.65,1e-18,0.65,0.65,1e-18,0.65,1e-18,1e-18,0.65,1e-18,0.65,0.65,1e-18,1e-18,0.65,0.65
ENSVURT00010014025_ENSVURG00010009503,0.24,0.27,0.66,1.0,0.87,0.95,0.92,0.84,0.79,0.9,0.93,0.92,0.8,0.82,0.76,0.72,0.74,0.73,0.79,0.7,0.82,0.69,0.71,0.78,0.82,0.73,0.69,0.7,0.79,0.79,0.82,0.73,0.79,0.81,0.83,0.74,0.83,0.67,0.74,0.82,0.74,0.74,0.79,0.71,0.78,0.82,0.74,0.74,0.82,0.82
ENSVURT00010014039_ENSVURG00010009503,1e-18,1e-18,1e-18,0.87,1.0,0.85,0.83,0.93,0.78,0.8,0.81,0.81,0.72,0.74,0.71,0.7,0.79,0.8,0.7,0.72,0.74,0.71,0.74,0.8,0.74,0.79,0.74,0.74,0.7,0.7,0.73,0.8,0.7,0.74,0.74,0.81,0.74,1e-18,0.79,0.74,0.81,0.8,0.71,0.74,0.71,0.74,0.81,0.8,0.74,0.74
ENSPCIT00000019958_ENSPCIG00000012498,0.24,0.27,0.66,0.95,0.85,1.0,0.93,0.86,0.79,0.91,0.93,0.92,0.8,0.82,0.76,0.72,0.74,0.74,0.79,0.7,0.82,0.68,0.71,0.78,0.82,0.74,0.7,0.7,0.79,0.79,0.82,0.73,0.79,0.81,0.82,0.74,0.82,0.66,0.74,0.82,0.74,0.74,0.79,0.72,0.78,0.82,0.74,0.74,0.82,0.82
ENSPCIT00000058566_ENSPCIG00000012498,0.26,0.27,0.66,0.92,0.83,0.93,1.0,0.84,0.77,0.88,0.9,0.89,0.77,0.79,0.74,0.7,0.71,0.71,0.79,1e-18,0.79,0.68,0.69,1e-18,0.79,0.71,0.7,0.7,0.79,0.79,0.79,0.72,0.79,0.78,0.79,0.72,0.79,0.66,0.71,0.79,0.72,0.72,0.79,0.72,0.78,0.79,0.72,0.71,0.79,0.79
ENSPCIT00000063516_ENSPCIG00000012498,1e-18,1e-18,1e-18,0.84,0.93,0.86,0.84,1.0,0.8,0.8,0.82,0.82,0.73,0.74,0.71,0.7,0.79,0.79,0.69,0.72,0.73,0.7,0.73,0.8,0.73,0.78,0.73,0.73,0.7,0.7,0.73,0.79,0.7,0.74,0.74,0.79,0.74,1e-18,0.79,0.74,0.8,0.79,0.72,0.74,0.71,0.74,0.8,0.79,0.74,0.73
ENSMEUT00000014109_ENSMEUG00000014064,0.24,0.25,0.65,0.79,0.78,0.79,0.77,0.8,1.0,0.79,0.79,0.77,0.69,0.69,0.65,0.67,0.68,0.68,0.68,0.69,0.69,1e-18,0.68,0.78,0.69,0.68,1e-18,0.61,0.68,0.68,0.69,0.66,0.68,0.68,0.69,0.68,0.69,0.67,0.71,0.69,0.7,0.71,0.67,1e-18,0.67,0.69,0.69,0.71,0.69,0.69
ENSSHAT00000017059_ENSSHAG00000014390,0.24,0.27,0.67,0.9,0.8,0.91,0.88,0.8,0.79,1.0,0.94,0.9,0.78,0.8,0.74,0.71,0.72,0.72,0.77,0.66,0.8,0.66,0.69,0.72,0.8,0.71,0.68,0.68,0.77,0.77,0.8,0.72,0.77,0.79,0.8,0.72,0.8,0.68,0.72,0.8,0.72,0.72,0.77,0.7,0.76,0.8,0.72,0.72,0.8,0.8
