,ENSXETT00000015234_ENSXETG00000003419,ENSLACT00000006389_ENSLACG00000005622,ENSLACT00000025354_ENSLACG00000005622,ENSECRT00000004397_ENSECRG00000002936,ENSCMIT00000036315_ENSCMIG00000015128,ENSACAT00000017670_ENSACAG00000017605,ENSSMRT00000028882_ENSSMRG00000019073,ENSSPUT00000019741_ENSSPUG00000014308,ENSCPRT00005018685_ENSCPRG00005011156,ENSCPRT00005018694_ENSCPRG00005011156,ENSCABT00000000464_ENSCABG00000000393,ENSCABT00000000466_ENSCABG00000000393,ENSPSIT00000019983_ENSPSIG00000017626,ENSPSIT00000019988_ENSPSIG00000017626
ENSXETT00000015234_ENSXETG00000003419,1.0,0.83,0.83,0.81,0.82,0.84,0.84,0.82,0.84,0.76,0.84,0.84,0.84,0.84
ENSLACT00000006389_ENSLACG00000005622,0.83,1.0,1.0,0.81,0.82,0.82,0.83,0.84,0.85,0.76,0.84,0.84,0.85,0.85
ENSLACT00000025354_ENSLACG00000005622,0.83,1.0,1.0,0.81,0.82,0.82,0.83,0.84,0.85,0.76,0.84,0.84,0.85,0.85
ENSECRT00000004397_ENSECRG00000002936,0.81,0.81,0.81,1.0,0.81,0.83,0.82,0.82,0.81,0.73,0.82,0.82,0.82,0.82
ENSCMIT00000036315_ENSCMIG00000015128,0.82,0.82,0.82,0.81,1.0,0.79,0.8,0.81,0.82,0.73,0.8,0.8,0.81,0.81
ENSACAT00000017670_ENSACAG00000017605,0.84,0.82,0.82,0.83,0.79,1.0,0.92,0.88,0.89,0.8,0.9,0.9,0.89,0.89
ENSSMRT00000028882_ENSSMRG00000019073,0.84,0.83,0.83,0.82,0.8,0.92,1.0,0.88,0.9,0.82,0.9,0.9,0.89,0.89
ENSSPUT00000019741_ENSSPUG00000014308,0.82,0.84,0.84,0.82,0.81,0.88,0.88,1.0,0.91,0.82,0.9,0.9,0.89,0.89
ENSCPRT00005018685_ENSCPRG00005011156,0.84,0.85,0.85,0.81,0.82,0.89,0.9,0.91,1.0,0.92,0.92,0.92,0.9,0.9
ENSCPRT00005018694_ENSCPRG00005011156,0.76,0.76,0.76,0.73,0.73,0.8,0.82,0.82,0.92,1.0,0.83,0.83,0.81,0.81
ENSCABT00000000464_ENSCABG00000000393,0.84,0.84,0.84,0.82,0.8,0.9,0.9,0.9,0.92,0.83,1.0,1.0,0.95,0.95
ENSCABT00000000466_ENSCABG00000000393,0.84,0.84,0.84,0.82,0.8,0.9,0.9,0.9,0.92,0.83,1.0,1.0,0.95,0.95
ENSPSIT00000019983_ENSPSIG00000017626,0.84,0.85,0.85,0.82,0.81,0.89,0.89,0.89,0.9,0.81,0.95,0.95,1.0,1.0
ENSPSIT00000019988_ENSPSIG00000017626,0.84,0.85,0.85,0.82,0.81,0.89,0.89,0.89,0.9,0.81,0.95,0.95,1.0,1.0
