,ENSELUT00000040775_ENSELUG00000000732,ENSHHUT00000053155_ENSHHUG00000030916,ENSHHUT00000020316_ENSHHUG00000012242,ENSNBRT00000007233_ENSNBRG00000005504,ENSMZET00005015142_ENSMZEG00005011029,ENSACLT00000041047_ENSACLG00000027026,ENSPNYT00000010254_ENSPNYG00000007603,ENSACLT00000027498_ENSACLG00000018272,ENSHBUT00000002957_ENSHBUG00000009336,ENSPNYT00000023877_ENSPNYG00000017592,ENSSFOT00015011609_ENSSFOG00015007396,ENSNBRT00000019573_ENSNBRG00000014712,ENSECRT00000032473_ENSECRG00000021534
ENSELUT00000040775_ENSELUG00000000732,1.0,0.63,0.64,0.55,0.56,0.56,0.58,0.59,0.57,0.58,0.51,0.59,0.52
ENSHHUT00000053155_ENSHHUG00000030916,0.63,1.0,0.74,0.62,0.63,0.65,0.65,0.67,0.67,0.66,0.7,0.69,0.62
ENSHHUT00000020316_ENSHHUG00000012242,0.64,0.74,1.0,0.65,0.65,0.58,0.68,0.69,0.71,0.68,0.69,0.72,0.63
ENSNBRT00000007233_ENSNBRG00000005504,0.55,0.62,0.65,1.0,0.59,0.57,0.63,0.66,0.67,0.65,0.59,0.68,0.6
ENSMZET00005015142_ENSMZEG00005011029,0.56,0.63,0.65,0.59,1.0,0.85,0.65,0.66,0.67,0.58,0.54,0.67,0.6
ENSACLT00000041047_ENSACLG00000027026,0.56,0.65,0.58,0.57,0.85,1.0,0.65,0.66,0.66,0.58,0.56,0.63,0.55
ENSPNYT00000010254_ENSPNYG00000007603,0.58,0.65,0.68,0.63,0.65,0.65,1.0,0.86,0.82,0.71,0.29,0.68,0.58
ENSACLT00000027498_ENSACLG00000018272,0.59,0.67,0.69,0.66,0.66,0.66,0.86,1.0,0.8,0.7,0.32,0.69,0.59
ENSHBUT00000002957_ENSHBUG00000009336,0.57,0.67,0.71,0.67,0.67,0.66,0.82,0.8,1.0,0.69,0.29,0.69,0.59
ENSPNYT00000023877_ENSPNYG00000017592,0.58,0.66,0.68,0.65,0.58,0.58,0.71,0.7,0.69,1.0,0.27,0.68,0.57
ENSSFOT00015011609_ENSSFOG00015007396,0.51,0.7,0.69,0.59,0.54,0.56,0.29,0.32,0.29,0.27,1.0,0.74,0.61
ENSNBRT00000019573_ENSNBRG00000014712,0.59,0.69,0.72,0.68,0.67,0.63,0.68,0.69,0.69,0.68,0.74,1.0,0.6
ENSECRT00000032473_ENSECRG00000021534,0.52,0.62,0.63,0.6,0.6,0.55,0.58,0.59,0.59,0.57,0.61,0.6,1.0
