,ENSAOCT00000007595_ENSAOCG00000008194,ENSAPET00000018704_ENSAPEG00000013020,ENSAPOT00000020766_ENSAPOG00000015496,ENSSPAT00000031596_ENSSPAG00000023317,ENSTRUT00000049746_ENSTRUG00000022248,ENSTRUT00000034211_ENSTRUG00000022248,ENSPNYT00000019011_ENSPNYG00000014016,ENSHBUT00000026493_ENSHBUG00000019720,ENSACLT00000037744_ENSACLG00000024968,ENSMZET00005027168_ENSMZEG00005019635,ENSNBRT00000030760_ENSNBRG00000022839,ENSONIT00000018810_ENSONIG00000014928,ENSACIT00000030691_ENSACIG00000023117,ENSPRNT00000039112_ENSPRNG00000018380,ENSORLT00000037502_ENSORLG00000009612,ENSORLT00000012053_ENSORLG00000009612
ENSAOCT00000007595_ENSAOCG00000008194,1.0,0.98,0.89,0.81,0.45,0.49,0.79,0.79,0.79,0.79,0.77,0.8,0.81,0.73,0.59,0.59
ENSAPET00000018704_ENSAPEG00000013020,0.98,1.0,0.88,0.8,0.46,0.5,0.78,0.78,0.78,0.78,0.76,0.79,0.81,0.73,0.58,0.58
ENSAPOT00000020766_ENSAPOG00000015496,0.89,0.88,1.0,0.74,0.44,0.47,0.72,0.72,0.72,0.72,0.71,0.72,0.75,0.66,0.53,0.53
ENSSPAT00000031596_ENSSPAG00000023317,0.81,0.8,0.74,1.0,0.5,0.52,0.76,0.76,0.75,0.75,0.74,0.76,0.77,0.72,0.55,0.55
ENSTRUT00000049746_ENSTRUG00000022248,0.45,0.46,0.44,0.5,1.0,0.83,0.45,0.45,0.45,0.45,0.44,0.45,0.46,0.45,0.31,0.31
ENSTRUT00000034211_ENSTRUG00000022248,0.49,0.5,0.47,0.52,0.83,1.0,0.49,0.49,0.49,0.49,0.48,0.49,0.5,0.49,0.36,0.36
ENSPNYT00000019011_ENSPNYG00000014016,0.79,0.78,0.72,0.76,0.45,0.49,1.0,1.0,1.0,0.99,0.96,0.97,0.89,0.75,0.59,0.59
ENSHBUT00000026493_ENSHBUG00000019720,0.79,0.78,0.72,0.76,0.45,0.49,1.0,1.0,1.0,0.99,0.96,0.97,0.89,0.75,0.59,0.59
ENSACLT00000037744_ENSACLG00000024968,0.79,0.78,0.72,0.75,0.45,0.49,1.0,1.0,1.0,1.0,0.95,0.96,0.89,0.75,0.59,0.59
ENSMZET00005027168_ENSMZEG00005019635,0.79,0.78,0.72,0.75,0.45,0.49,0.99,0.99,1.0,1.0,0.95,0.96,0.89,0.75,0.59,0.59
ENSNBRT00000030760_ENSNBRG00000022839,0.77,0.76,0.71,0.74,0.44,0.48,0.96,0.96,0.95,0.95,1.0,0.94,0.88,0.74,0.59,0.59
ENSONIT00000018810_ENSONIG00000014928,0.8,0.79,0.72,0.76,0.45,0.49,0.97,0.97,0.96,0.96,0.94,1.0,0.9,0.75,0.59,0.59
ENSACIT00000030691_ENSACIG00000023117,0.81,0.81,0.75,0.77,0.46,0.5,0.89,0.89,0.89,0.89,0.88,0.9,1.0,0.78,0.59,0.59
ENSPRNT00000039112_ENSPRNG00000018380,0.73,0.73,0.66,0.72,0.45,0.49,0.75,0.75,0.75,0.75,0.74,0.75,0.78,1.0,0.55,0.55
ENSORLT00000037502_ENSORLG00000009612,0.59,0.58,0.53,0.55,0.31,0.36,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.55,1.0,1.0
ENSORLT00000012053_ENSORLG00000009612,0.59,0.58,0.53,0.55,0.31,0.36,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.55,1.0,1.0
