,ENSELUT00000019698_ENSELUG00000001696,ENSMALT00000015184_ENSMALG00000010446,ENSHBUT00000005730_ENSHBUG00000007572,ENSMALT00000006971_ENSMALG00000004868,ENSORLT00000029415_ENSORLG00000024839,ENSPNYT00000003834_ENSPNYG00000002924,ENSPNYT00000003841_ENSPNYG00000002924,ENSGWIT00000029454_ENSGWIG00000014147,ENSGWIT00000029455_ENSGWIG00000014147,ENSGWIT00000029458_ENSGWIG00000014147,ENSMAMT00000024001_ENSMAMG00000015753,ENSATET00000002141_ENSATEG00000001520,ENSATET00000002155_ENSATEG00000001520,ENSLCAT00010014090_ENSLCAG00010006558,ENSLBET00000024235_ENSLBEG00000017662,ENSIPUT00000004246_ENSIPUG00000002867,ENSPKIT00000014576_ENSPKIG00000013304,ENSLOCT00000004310_ENSLOCG00000003631,ENSECRT00000034308_ENSECRG00000022734,ENSECRT00000034314_ENSECRG00000022734,ENSEBUT00000008988_ENSEBUG00000005491,ENSPTET00000024393_ENSPTEG00000018066,ENSPTET00000012414_ENSPTEG00000009256,C04E6.5.1_WBGene00015422,YIL156W_mRNA_YIL156W
ENSELUT00000019698_ENSELUG00000001696,1.0,0.51,0.29,1e-18,0.32,1e-18,0.28,0.32,0.32,0.32,1e-18,1e-18,1e-18,1e-18,1e-18,0.18,0.24,0.25,1e-18,1e-18,1e-18,0.17,0.17,1e-18,0.22
ENSMALT00000015184_ENSMALG00000010446,0.51,1.0,0.29,1e-18,0.3,1e-18,0.29,0.26,0.26,0.26,1e-18,1e-18,1e-18,1e-18,1e-18,0.19,0.21,0.32,1e-18,1e-18,1e-18,0.19,0.21,1e-18,0.28
ENSHBUT00000005730_ENSHBUG00000007572,0.29,0.29,1.0,0.24,0.22,1e-18,0.26,0.29,0.29,0.29,1e-18,1e-18,1e-18,1e-18,1e-18,0.26,0.21,0.29,1e-18,1e-18,1e-18,0.13,0.12,1e-18,0.21
ENSMALT00000006971_ENSMALG00000004868,1e-18,1e-18,0.24,1.0,0.14,0.19,0.17,0.17,0.17,0.17,0.16,0.2,0.2,0.16,0.19,0.13,0.17,0.15,0.19,0.19,0.25,1e-18,1e-18,0.23,1e-18
ENSORLT00000029415_ENSORLG00000024839,0.32,0.3,0.22,0.14,1.0,0.45,0.48,0.44,0.44,0.45,0.36,0.38,0.38,0.36,0.36,0.31,0.41,0.37,0.14,0.14,0.2,0.14,0.19,0.09,0.4
ENSPNYT00000003834_ENSPNYG00000002924,1e-18,1e-18,1e-18,0.19,0.45,1.0,0.86,0.41,0.42,0.41,0.4,0.38,0.38,0.39,0.39,0.29,0.41,0.33,0.12,0.12,0.24,1e-18,1e-18,0.22,1e-18
ENSPNYT00000003841_ENSPNYG00000002924,0.28,0.29,0.26,0.17,0.48,0.86,1.0,0.46,0.47,0.46,0.38,0.35,0.35,0.37,0.37,0.32,0.38,0.37,0.12,0.12,0.23,0.17,0.15,0.19,0.34
ENSGWIT00000029454_ENSGWIG00000014147,0.32,0.26,0.29,0.17,0.44,0.41,0.46,1.0,0.91,0.93,0.38,0.4,0.4,0.38,0.39,0.31,0.32,0.34,0.19,0.19,0.32,0.16,0.17,0.1,0.38
ENSGWIT00000029455_ENSGWIG00000014147,0.32,0.26,0.29,0.17,0.44,0.42,0.47,0.91,1.0,0.91,0.39,0.41,0.41,0.38,0.39,0.31,0.34,0.34,0.13,0.14,0.32,0.16,0.17,0.1,0.38
ENSGWIT00000029458_ENSGWIG00000014147,0.32,0.26,0.29,0.17,0.45,0.41,0.46,0.93,0.91,1.0,0.39,0.4,0.4,0.38,0.39,0.31,0.32,0.35,0.19,0.19,0.32,0.16,0.17,0.1,0.38
