,ENSPPAT00000063775_ENSPPAG00000043059,ENSPPAT00000063781_ENSPPAG00000043059,ENSPPAT00000063784_ENSPPAG00000043059,ENSPTRT00000108846_ENSPTRG00000023082,ENSPTRT00000010398_ENSPTRG00000023082,ENSPTRT00000105323_ENSPTRG00000023082,ENSGGOT00000058405_ENSGGOG00000004068,ENSGGOT00000051295_ENSGGOG00000004068,ENST00000534834_ENSG00000198393,ENST00000544181_ENSG00000198393,ENST00000328654_ENSG00000198393,ENST00000540238_ENSG00000198393,ENSPPYT00000006098_ENSPPYG00000005151,ENSNLET00000031868_ENSNLEG00000012466,ENSNLET00000015898_ENSNLEG00000012466,ENSNLET00000040813_ENSNLEG00000012466,ENSPTET00000044277_ENSPTEG00000030959
ENSPPAT00000063775_ENSPPAG00000043059,1.0,0.95,0.92,1.0,0.95,0.92,1.0,0.92,1.0,0.9,0.95,0.88,0.91,0.99,0.94,0.91,0.92
ENSPPAT00000063781_ENSPPAG00000043059,0.95,1.0,0.9,0.95,1.0,0.9,0.95,0.9,0.95,0.94,1.0,0.92,0.89,0.94,0.99,0.89,0.97
ENSPPAT00000063784_ENSPPAG00000043059,0.92,0.9,1.0,0.92,0.9,1.0,0.92,1.0,0.92,0.87,0.9,0.84,0.87,0.91,0.89,0.99,0.87
ENSPTRT00000108846_ENSPTRG00000023082,1.0,0.95,0.92,1.0,0.95,0.92,1.0,0.92,1.0,0.9,0.95,0.88,0.91,0.99,0.94,0.91,0.92
ENSPTRT00000010398_ENSPTRG00000023082,0.95,1.0,0.9,0.95,1.0,0.9,0.95,0.9,0.95,0.94,1.0,0.92,0.89,0.94,0.99,0.89,0.97
ENSPTRT00000105323_ENSPTRG00000023082,0.92,0.9,1.0,0.92,0.9,1.0,0.92,1.0,0.92,0.87,0.9,0.84,0.87,0.91,0.89,0.99,0.87
ENSGGOT00000058405_ENSGGOG00000004068,1.0,0.95,0.92,1.0,0.95,0.92,1.0,0.92,1.0,0.9,0.95,0.88,0.91,0.99,0.94,0.91,0.92
ENSGGOT00000051295_ENSGGOG00000004068,0.92,0.9,1.0,0.92,0.9,1.0,0.92,1.0,0.92,0.86,0.9,0.84,0.87,0.91,0.89,0.99,0.87
ENST00000534834_ENSG00000198393,1.0,0.95,0.92,1.0,0.95,0.92,1.0,0.92,1.0,0.9,0.95,0.88,0.91,0.99,0.94,0.91,0.92
ENST00000544181_ENSG00000198393,0.9,0.94,0.87,0.9,0.94,0.87,0.9,0.86,0.9,1.0,0.94,0.9,0.89,0.89,0.93,0.86,0.91
ENST00000328654_ENSG00000198393,0.95,1.0,0.9,0.95,1.0,0.9,0.95,0.9,0.95,0.94,1.0,0.92,0.89,0.94,0.99,0.89,0.97
ENST00000540238_ENSG00000198393,0.88,0.92,0.84,0.88,0.92,0.84,0.88,0.84,0.88,0.9,0.92,1.0,0.84,0.87,0.92,0.83,0.89
ENSPPYT00000006098_ENSPPYG00000005151,0.91,0.89,0.87,0.91,0.89,0.87,0.91,0.87,0.91,0.89,0.89,0.84,1.0,0.9,0.88,0.87,0.87
ENSNLET00000031868_ENSNLEG00000012466,0.99,0.94,0.91,0.99,0.94,0.91,0.99,0.91,0.99,0.89,0.94,0.87,0.9,1.0,0.95,0.92,0.92
ENSNLET00000015898_ENSNLEG00000012466,0.94,0.99,0.89,0.94,0.99,0.89,0.94,0.89,0.94,0.93,0.99,0.92,0.88,0.95,1.0,0.9,0.97
ENSNLET00000040813_ENSNLEG00000012466,0.91,0.89,0.99,0.91,0.89,0.99,0.91,0.99,0.91,0.86,0.89,0.83,0.87,0.92,0.9,1.0,0.87
ENSPTET00000044277_ENSPTEG00000030959,0.92,0.97,0.87,0.92,0.97,0.87,0.92,0.87,0.92,0.91,0.97,0.89,0.87,0.92,0.97,0.87,1.0
