,ENSDCDT00000014157_ENSDCDG00000005697,ENSCHAT00000019987_ENSCHAG00000007673,ENSCHAT00000020010_ENSCHAG00000007673,ENSCHAT00000020459_ENSCHAG00000007673,ENSIPUT00000033507_ENSIPUG00000021667,ENSEEET00000042639_ENSEEEG00000019908,ENSEEET00000042748_ENSEEEG00000019908,ENSEEET00000042749_ENSEEEG00000019908,ENSEEET00000042772_ENSEEEG00000019908,ENSAMXT00000040778_ENSAMXG00000008241,ENSAMXT00000008466_ENSAMXG00000008241
ENSDCDT00000014157_ENSDCDG00000005697,1.0,0.89,0.73,0.77,0.85,0.75,0.86,0.77,0.78,0.78,0.78
ENSCHAT00000019987_ENSCHAG00000007673,0.89,1.0,0.83,0.87,0.86,0.75,0.85,0.77,0.77,0.79,0.79
ENSCHAT00000020010_ENSCHAG00000007673,0.73,0.83,1.0,0.78,0.7,0.66,0.7,0.69,0.68,0.65,0.7
ENSCHAT00000020459_ENSCHAG00000007673,0.77,0.87,0.78,1.0,0.74,0.71,0.75,0.67,0.73,0.68,0.81
ENSIPUT00000033507_ENSIPUG00000021667,0.85,0.86,0.7,0.74,1.0,0.79,0.89,0.81,0.81,0.82,0.82
ENSEEET00000042639_ENSEEEG00000019908,0.75,0.75,0.66,0.71,0.79,1.0,0.88,0.79,0.91,0.72,0.79
ENSEEET00000042748_ENSEEEG00000019908,0.86,0.85,0.7,0.75,0.89,0.88,1.0,0.9,0.9,0.82,0.83
ENSEEET00000042749_ENSEEEG00000019908,0.77,0.77,0.69,0.67,0.81,0.79,0.9,1.0,0.82,0.81,0.75
ENSEEET00000042772_ENSEEEG00000019908,0.78,0.77,0.68,0.73,0.81,0.91,0.9,0.82,1.0,0.74,0.82
ENSAMXT00000040778_ENSAMXG00000008241,0.78,0.79,0.65,0.68,0.82,0.72,0.82,0.81,0.74,1.0,0.84
ENSAMXT00000008466_ENSAMXG00000008241,0.78,0.79,0.7,0.81,0.82,0.79,0.83,0.75,0.82,0.84,1.0
