,ENSCABT00000019905_ENSCABG00000013483,ENSGAGT00000026083_ENSGAGG00000016784,ENSCPBT00000018232_ENSCPBG00000011385,ENSCPRT00005001336_ENSCPRG00005000879,ENSCPRT00005001340_ENSCPRG00005000879,ENSPVIT00000002506_ENSPVIG00000001684,ENSSMRT00000013331_ENSSMRG00000008991,ENSEEUT00000006495_ENSEEUG00000006507,ENSSART00000011453_ENSSARG00000011442,ENSPTRT00000008205_ENSPTRG00000004428,ENSPPAT00000028670_ENSPPAG00000025837,ENST00000326621_ENSG00000019102,ENST00000403470_ENSG00000019102,ENSGGOT00000005821_ENSGGOG00000005793,ENSPPYT00000004776_ENSPPYG00000004019,ENSNLET00000009488_ENSNLEG00000007438,ENSMLET00000044242_ENSMLEG00000034586,ENSCATT00000039978_ENSCATG00000031866,ENSPANT00000008897_ENSPANG00000023741,ENSMFAT00000014011_ENSMFAG00000046060,ENSMNET00000060836_ENSMNEG00000041317,ENSTGET00000041000_ENSTGEG00000027548,ENSCSAT00000000395_ENSCSAG00000002377,ENSCANT00000014713_ENSCANG00000013117,ENSPTET00000008868_ENSPTEG00000006664,ENSRBIT00000000755_ENSRBIG00000000677,ENSRROT00000041875_ENSRROG00000032958,ENSCCAT00000051997_ENSCCAG00000035089,ENSSBOT00000025909_ENSSBOG00000021464,ENSCJAT00000015614_ENSCJAG00000007995,ENSANAT00000056737_ENSANAG00000036762,ENSTSYT00000011575_ENSTSYG00000011576,ENSPSMT00000002830_ENSPSMG00000001874,ENSMICT00000001692_ENSMICG00000001695,ENSPCOT00000019346_ENSPCOG00000015699,ENSOGAT00000015711_ENSOGAG00000015706,ENSDORT00000002738_ENSDORG00000002740,ENSCLAT00000022427_ENSCLAG00000015241,ENSODET00000006751_ENSODEG00000004967,ENSCPOT00000000604_ENSCPOG00000000599,ENSCAPT00000019492_ENSCAPG00000015778,ENSHGLT00100006574_ENSHGLG00100004860,ENSHGLT00000004394_ENSHGLG00000003169,ENSFDAT00000014237_ENSFDAG00000010404,ENSMUST00000002008_ENSMUSG00000001943,ENSMUST00000215957_ENSMUSG00000001943,ENSMUST00000215271_ENSMUSG00000001943
ENSCABT00000019905_ENSCABG00000013483,1.0,0.61,0.62,0.43,0.56,0.55,0.6,0.38,0.29,0.55,0.54,0.55,0.6,0.54,0.54,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.54,0.54,0.54,0.54,0.54,0.53,0.54,0.53,0.53,0.54,0.59,0.5,0.54,0.54,0.53,0.49,0.49,0.53,0.46,0.49,0.49,0.52,0.53,0.4,0.44
ENSGAGT00000026083_ENSGAGG00000016784,0.61,1.0,0.71,0.39,0.47,0.45,0.39,0.29,0.26,0.36,0.36,0.36,0.38,0.35,0.35,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.35,0.37,0.35,0.35,0.35,0.33,0.33,0.34,0.34,0.34,0.33,0.33,0.33,0.34,0.27,0.39
ENSCPBT00000018232_ENSCPBG00000011385,0.62,0.71,1.0,0.38,0.48,0.48,0.41,0.32,0.28,0.38,0.38,0.38,0.4,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.38,0.38,0.37,0.37,0.37,0.39,0.37,0.37,0.37,0.36,0.35,0.35,0.36,0.37,0.35,0.35,0.36,0.37,0.28,0.41
ENSCPRT00005001336_ENSCPRG00005000879,0.43,0.39,0.38,1.0,0.53,0.34,0.37,0.29,0.23,0.33,0.33,0.33,0.31,0.34,0.33,0.33,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.34,0.3,0.33,0.33,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.32,0.31,0.33,0.27
ENSCPRT00005001340_ENSCPRG00005000879,0.56,0.47,0.48,0.53,1.0,0.52,0.51,0.34,0.32,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.46,0.46,0.47,0.46,0.47,0.47,0.46,0.46,0.43,0.43,0.45,0.46,0.44,0.44,0.46,0.45,0.32,0.43
ENSPVIT00000002506_ENSPVIG00000001684,0.55,0.45,0.48,0.34,0.52,1.0,0.56,0.34,0.28,0.45,0.45,0.45,0.49,0.45,0.45,0.45,0.44,0.45,0.45,0.44,0.44,0.45,0.44,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.45,0.48,0.44,0.44,0.43,0.45,0.41,0.41,0.44,0.44,0.42,0.42,0.45,0.44,0.29,0.41
ENSSMRT00000013331_ENSSMRG00000008991,0.6,0.39,0.41,0.37,0.51,0.56,1.0,0.39,0.3,0.58,0.58,0.58,0.54,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.57,0.57,0.58,0.53,0.54,0.58,0.57,0.58,0.52,0.52,0.58,0.51,0.53,0.52,0.57,0.58,0.44,0.47
ENSEEUT00000006495_ENSEEUG00000006507,0.38,0.29,0.32,0.29,0.34,0.34,0.39,1.0,0.61,0.58,0.58,0.58,0.56,0.58,0.58,0.59,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.54,0.55,0.59,0.57,0.56,0.55,0.54,0.56,0.52,0.54,0.54,0.56,0.56,0.5,0.56
ENSSART00000011453_ENSSARG00000011442,0.29,0.26,0.28,0.23,0.32,0.28,0.3,0.61,1.0,0.49,0.48,0.49,0.46,0.48,0.48,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.48,0.48,0.49,0.49,0.49,0.48,0.48,0.44,0.48,0.48,0.48,0.46,0.47,0.46,0.48,0.48,0.47,0.47,0.47,0.48,0.41,0.49
ENSPTRT00000008205_ENSPTRG00000004428,0.55,0.36,0.38,0.33,0.47,0.45,0.58,0.58,0.49,1.0,0.89,0.89,0.85,0.89,0.89,0.89,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.86,0.86,0.86,0.86,0.83,0.79,0.79,0.83,0.82,0.79,0.75,0.74,0.79,0.7,0.75,0.75,0.8,0.79,0.63,0.68
