,ENSCHAT00000035784_ENSCHAG00000015727,ENSCHAT00000035868_ENSCHAG00000015727,ENSCHAT00000035892_ENSCHAG00000015727,ENSDCDT00000039808_ENSDCDG00000021467,ENSDCDT00000039811_ENSDCDG00000021467,ENSEEET00000024157_ENSEEEG00000011580,ENSEEET00000024158_ENSEEEG00000011580,ENSEEET00000024161_ENSEEEG00000011580,ENSIPUT00000014631_ENSIPUG00000009584,ENSPNAT00000022921_ENSPNAG00000020833,ENSAMXT00000010873_ENSAMXG00000010584,ENSDART00000158046_ENSDARG00000102167,ENSDART00000180030_ENSDARG00000102167,ENSHHUT00000020049_ENSHHUG00000012084,ENSHHUT00000058392_ENSHHUG00000033688,ENSELUT00000034877_ENSELUG00000022493,ENSXMAT00000042306_ENSXMAG00000026912,ENSXCOT00000011951_ENSXCOG00000008931,ENSPRET00000027115_ENSPREG00000018136,ENSPFOT00000000113_ENSPFOG00000000128,ENSPLAT00000022559_ENSPLAG00000017965,ENSCVAT00000020604_ENSCVAG00000015584,ENSCVAT00000030617_ENSCVAG00000015584
ENSCHAT00000035784_ENSCHAG00000015727,1.0,0.93,0.92,0.69,0.68,0.65,0.62,0.62,0.64,0.66,0.59,0.65,0.65,0.71,0.66,0.65,0.61,0.49,0.6,0.54,0.51,0.6,0.6
ENSCHAT00000035868_ENSCHAG00000015727,0.93,1.0,0.93,0.69,0.68,0.64,0.62,0.61,0.66,0.67,0.61,0.66,0.66,0.72,0.67,0.66,0.61,0.51,0.61,0.54,0.51,0.61,0.61
ENSCHAT00000035892_ENSCHAG00000015727,0.92,0.93,1.0,0.67,0.67,0.62,0.6,0.59,0.64,0.65,0.6,0.64,0.64,0.7,0.66,0.65,0.6,0.5,0.59,0.53,0.5,0.59,0.59
ENSDCDT00000039808_ENSDCDG00000021467,0.69,0.69,0.67,1.0,0.93,0.66,0.63,0.63,0.65,0.65,0.58,0.67,0.67,0.69,0.64,0.68,0.62,0.5,0.62,0.56,0.52,0.6,0.6
ENSDCDT00000039811_ENSDCDG00000021467,0.68,0.68,0.67,0.93,1.0,0.65,0.62,0.63,0.63,0.63,0.56,0.66,0.66,0.68,0.64,0.67,0.62,0.51,0.61,0.57,0.52,0.59,0.59
ENSEEET00000024157_ENSEEEG00000011580,0.65,0.64,0.62,0.66,0.65,1.0,0.92,0.92,0.72,0.71,0.64,0.68,0.68,0.66,0.62,0.66,0.57,0.46,0.57,0.52,0.45,0.56,0.56
ENSEEET00000024158_ENSEEEG00000011580,0.62,0.62,0.6,0.63,0.62,0.92,1.0,0.89,0.69,0.68,0.63,0.65,0.65,0.63,0.6,0.63,0.54,0.46,0.54,0.5,0.44,0.54,0.54
ENSEEET00000024161_ENSEEEG00000011580,0.62,0.61,0.59,0.63,0.63,0.92,0.89,1.0,0.68,0.68,0.61,0.64,0.64,0.62,0.58,0.62,0.54,0.44,0.54,0.52,0.46,0.54,0.54
ENSIPUT00000014631_ENSIPUG00000009584,0.64,0.66,0.64,0.65,0.63,0.72,0.69,0.68,1.0,0.71,0.65,0.66,0.66,0.65,0.61,0.64,0.56,0.44,0.56,0.49,0.46,0.56,0.56
ENSPNAT00000022921_ENSPNAG00000020833,0.66,0.67,0.65,0.65,0.63,0.71,0.68,0.68,0.71,1.0,0.72,0.65,0.65,0.67,0.63,0.63,0.57,0.46,0.57,0.49,0.47,0.57,0.57
